Date,Open,High,Low,Close,Volume,Adj Close,Returns
1999-01-22,21.0,23.43744,18.62496,19.68744,67867200,1.532059,
1999-01-25,21.24996,21.99996,19.68744,21.75,12762000,1.692566,0.0235313384119
1999-01-26,21.99996,22.437479,19.74996,20.06256,8580000,1.561251,-0.0880637964796
1999-01-27,20.12496,20.625,18.99996,20.00004,6109200,1.556385,-0.00620721730627
1999-01-28,20.00004,20.12496,19.812479,19.937521,5688000,1.55152,-0.00312594374811
1999-01-29,19.937521,20.00004,18.99996,18.99996,6100800,1.47856,-0.0470249536038
1999-02-01,18.99996,19.5,18.99996,19.37496,3867600,1.507742,0.0197368836566
1999-02-02,18.99996,19.5,17.312521,17.87496,6602400,1.391013,-0.0592106509698
1999-02-03,17.625,18.50004,17.49996,18.24996,1878000,1.420196,0.0354587234043
1999-02-04,18.50004,19.74996,18.24996,19.25004,4548000,1.498021,0.0405404528855
1999-02-05,19.562521,20.00004,19.062479,19.812479,3421200,1.54179,0.0127773920345
1999-02-08,19.937521,20.00004,19.125,19.125,3852000,1.48829,-0.0407533614635
1999-02-09,19.5,19.62504,18.12504,18.375,2174400,1.429926,-0.0576923076923
1999-02-10,18.375,18.87504,17.87496,18.18744,3705600,1.41533,-0.0102073469388
1999-02-11,18.24996,20.49996,18.24996,19.74996,3306000,1.536924,0.0821919609687
1999-02-12,20.00004,21.0,20.00004,20.87496,2743200,1.624471,0.0437459125082
1999-02-16,21.24996,22.125,18.87504,21.0,5275200,1.634201,-0.0117628456712
1999-02-17,20.49996,20.75004,19.5,19.875,1693200,1.546655,-0.0304859131432
1999-02-18,20.49996,20.75004,19.62504,20.187479,1767600,1.570972,-0.0152430053522
1999-02-19,20.00004,21.24996,19.74996,20.87496,1884000,1.624471,0.0437459125082
1999-02-22,21.24996,21.50004,19.875,21.0,5131200,1.634201,-0.0117628456712
1999-02-23,21.50004,22.437479,20.25,21.99996,3452400,1.712017,0.0232520497636
1999-02-24,25.250041,26.25,23.187479,23.75004,15319200,1.848207,-0.059405883737
1999-02-25,24.75,25.5,22.62504,23.00004,3728400,1.789843,-0.0707054545455
1999-02-26,23.25,24.0,21.75,21.93744,4315200,1.707152,-0.0564541935484
1999-03-01,22.5,23.00004,21.0,22.062479,2304000,1.716882,-0.0194453777778
1999-03-02,21.99996,22.125,21.50004,21.87504,1381200,1.702296,-0.00567819214217
1999-03-03,21.99996,21.99996,20.25,20.37504,1534800,1.585567,-0.0738601342912
1999-03-04,21.375,21.50004,19.74996,19.937521,1434000,1.55152,-0.0672504795322
1999-03-05,20.12496,21.12504,20.12496,21.062521,1969200,1.639067,0.0465869745828
1999-03-08,20.49996,21.99996,20.12496,21.375,1897200,1.663383,0.0426849613365
1999-03-09,21.312479,22.37496,21.312479,22.062479,3579600,1.716882,0.0351906505104
1999-03-10,22.37496,22.37496,21.375,21.687479,5883600,1.6877,-0.0307254627494
1999-03-11,21.312479,21.687479,20.75004,20.75004,1357200,1.61475,-0.0263901257099
1999-03-12,20.87496,20.87496,20.00004,20.37504,2269200,1.585567,-0.023948309362
1999-03-15,20.87496,21.50004,20.75004,21.24996,2720400,1.653653,0.0179641062785
1999-03-16,21.375,21.62496,20.37504,20.562479,1978800,1.600154,-0.0380126783626
1999-03-17,20.75004,21.12504,20.187479,20.687521,1284000,1.609884,-0.00301295804731
1999-03-18,20.75004,21.24996,20.25,20.937479,1158000,1.629336,0.0090331874059
1999-03-19,20.87496,21.62496,20.87496,21.0,2632800,1.634201,0.00598995159751
1999-03-22,21.437521,21.50004,20.37504,20.37504,916800,1.585567,-0.0495617473681
1999-03-23,20.49996,20.49996,18.75,19.125,4099200,1.48829,-0.0670713503831
1999-03-24,18.99996,19.125,18.24996,18.99996,1521600,1.47856,0.0
