Date,Open,High,Low,Close,Volume,Adj Close,Returns
2013-06-19,15.21,16.030001,14.96,15.53,7717000,15.280512,
2013-06-20,16.25,16.299999,15.36,15.44,1874600,15.191958,-0.0498461538462
2013-06-21,15.98,15.98,15.46,15.8,635300,15.546175,-0.0112640801001
2013-06-24,15.79,15.79,15.19,15.52,758300,15.270673,-0.017099430019
2013-06-25,15.5,15.67,15.35,15.66,564400,15.408424,0.0103225806452
2013-06-26,15.54,15.55,15.31,15.47,901000,15.221477,-0.0045045045045
2013-06-27,14.78,15.74,14.66,15.37,3258000,15.123083,0.0399188092016
2013-06-28,15.29,15.68,15.25,15.38,1793700,15.132922,0.0058862001308
2013-07-01,15.48,15.5,14.84,14.87,4343500,14.631115,-0.0394056847545
2013-07-02,14.68,15.19,14.67,14.99,8682500,14.749187,0.0211171662125
2013-07-03,14.88,15.12,14.84,14.97,2265100,14.729509,0.00604838709677
2013-07-05,14.96,15.94,14.96,15.61,3470900,15.359227,0.043449197861
2013-07-08,15.83,16.08,15.55,16.02,4010700,15.762641,0.0120025268478
2013-07-09,15.81,16.02,15.67,15.73,3656200,15.477299,-0.00506008855155
2013-07-10,15.5,15.6,15.22,15.45,3010500,15.201797,-0.00322580645161
2013-07-11,15.8,15.8,15.06,15.21,3630300,14.965653,-0.0373417721519
2013-07-12,15.0,15.18,14.97,14.99,3042300,14.749187,-0.000666666666667
2013-07-15,15.0,15.08,14.52,14.8,5331400,14.56224,-0.0133333333333
2013-07-16,14.71,15.47,14.7,15.39,2711100,15.142762,0.0462270564242
2013-07-17,15.28,16.120001,15.28,16.02,3737700,15.762641,0.0484293193717
2013-07-18,16.040001,16.25,15.46,15.6,2827900,15.349388,-0.0274314820803
2013-07-19,15.37,16.26,15.37,16.120001,3735400,15.861035,0.0487964216005
2013-07-22,16.15,16.26,15.75,15.9,2159200,15.644568,-0.015479876161
2013-07-23,15.85,16.049999,15.71,15.85,2104900,15.595372,0.0
2013-07-24,15.79,16.049999,15.62,15.92,2205100,15.664247,0.00823305889804
