Date,Open,High,Low,Close,Volume,Adj Close,Returns
1991-12-11,10.75,10.75,10.5,10.5,9408500,10.5,
1991-12-12,10.5,10.625,10.5,10.5,970700,10.5,0.0
1991-12-13,10.625,10.75,10.375,10.75,1528200,10.75,0.0117647058824
1991-12-16,10.75,10.75,9.875,10.125,857700,10.125,-0.0581395348837
1991-12-17,10.25,10.25,9.75,10.0,1596300,10.0,-0.0243902439024
1991-12-18,10.0,10.5,9.875,10.25,640700,10.25,0.025
1991-12-19,10.375,10.375,10.0,10.125,285800,10.125,-0.0240963855422
1991-12-20,10.25,10.375,10.0,10.125,452000,10.125,-0.0121951219512
1991-12-23,10.125,10.625,10.125,10.5,783300,10.5,0.037037037037
1991-12-24,10.75,11.125,10.75,11.125,1362800,11.125,0.0348837209302
1991-12-26,11.125,11.75,11.0,11.75,1172700,11.75,0.0561797752809
1991-12-27,11.875,12.0,11.5,11.5,766100,11.5,-0.0315789473684
1991-12-30,11.5,12.0,11.5,11.75,898500,11.75,0.0217391304348
1991-12-31,11.75,12.125,11.625,12.0,788100,12.0,0.0212765957447
1992-01-02,11.875,11.875,11.5,11.625,546200,11.625,-0.0210526315789
1992-01-03,11.625,12.25,11.625,12.0,693300,12.0,0.0322580645161
1992-01-06,12.0,12.5,11.625,12.375,1023600,12.375,0.03125
1992-01-07,12.25,12.75,12.25,12.75,864600,12.75,0.0408163265306
1992-01-08,12.5,13.25,12.5,12.75,941800,12.75,0.02
1992-01-09,13.0,13.0,12.625,13.0,448400,13.0,0.0
1992-01-10,12.875,13.0,12.625,12.875,516100,12.875,0.0
1992-01-13,12.75,12.875,12.625,12.75,273200,12.75,0.0
1992-01-14,12.625,12.875,12.625,12.875,468100,12.875,0.019801980198
1992-01-15,12.875,13.625,12.75,13.375,482500,13.375,0.0388349514563
1992-01-16,14.25,14.5,13.5,13.875,910200,13.875,-0.0263157894737
1992-01-17,13.875,14.0,13.5,13.875,475300,13.875,0.0
1992-01-20,13.75,13.75,13.5,13.625,184500,13.625,-0.00909090909091
1992-01-21,13.5,13.625,12.5,13.125,550400,13.125,-0.0277777777778
1992-01-22,12.75,13.0,12.625,12.875,250200,12.875,0.00980392156863
1992-01-23,13.0,13.125,12.875,13.0,282500,13.0,0.0
1992-01-24,13.0,13.0,12.625,12.625,264800,12.625,-0.0288461538462
1992-01-27,12.75,12.875,12.625,12.75,466500,12.75,0.0
1992-01-28,12.75,12.875,12.625,12.875,291700,12.875,0.00980392156863
1992-01-29,12.875,13.5,12.375,12.375,636900,12.375,-0.0388349514563
1992-01-30,12.625,13.0,12.625,13.0,271900,13.0,0.029702970297
1992-01-31,12.875,13.0,12.5,12.75,139100,12.75,-0.00970873786408
1992-02-03,12.875,12.875,12.75,12.75,109200,12.75,-0.00970873786408
