Date,Open,High,Low,Close,Volume,Adj Close,Returns
1985-07-01,31.749961,32.249972,31.749961,31.749961,110500,0.829132,
1985-07-02,31.874963,32.374974,31.874963,32.374974,86800,0.845454,0.0156866378166
1985-07-03,32.374974,32.624978,32.374974,32.499976,74900,0.848718,0.00386106873785
1985-07-05,32.499976,32.624978,31.874963,31.874963,141600,0.832397,-0.0192311834323
1985-07-08,31.874963,31.999967,31.250044,31.874963,69400,0.832397,0.0
1985-07-09,31.874963,32.249972,31.749961,31.874963,146200,0.832397,0.0
1985-07-10,31.874963,32.12497,31.749961,31.874963,145200,0.832397,0.0
1985-07-11,31.874963,32.249972,31.624959,31.999967,210100,0.835661,0.00392169866989
1985-07-12,31.999967,32.249972,31.874963,32.249972,97700,0.84219,0.00781266430681
1985-07-15,32.249972,32.249972,31.874963,32.249972,103200,0.84219,0.0
1985-07-16,32.249972,32.499976,32.12497,32.499976,133400,0.848718,0.00775206874598
1985-07-17,32.499976,32.749981,32.374974,32.374974,339000,0.845454,-0.0038462182249
1985-07-18,32.374974,32.624978,32.12497,32.499976,118700,0.848718,0.00386106873785
1985-07-19,32.499976,32.499976,31.999967,32.249972,227500,0.84219,-0.0076924364498
1985-07-22,32.249972,32.249972,31.999967,32.12497,3675100,0.838925,-0.00387603437299
1985-07-23,32.12497,32.12497,31.749961,31.999967,146200,0.835661,-0.00389114760263
1985-07-24,31.999967,31.999967,31.624959,31.999967,106900,0.835661,0.0
1985-07-25,31.125041,31.125041,30.750035,31.000039,103200,0.82607,-0.00401612322374
1985-07-26,31.000039,31.374954,30.750035,31.374954,74900,0.83606,0.012094017043
1985-07-29,31.374954,31.374954,30.875037,30.875037,77600,0.822739,-0.0159336329226
1985-07-30,30.875037,31.000039,30.750035,30.875037,32800,0.822739,0.0
1985-07-31,30.875037,31.000039,30.50003,30.875037,93200,0.822739,0.0
1985-08-01,30.875037,31.125041,30.750035,31.000039,116000,0.82607,0.00404864292146
1985-08-02,30.750035,30.750035,30.250024,30.375026,62100,0.809415,-0.0121954007532
1985-08-05,30.375026,30.50003,28.749995,28.875,176300,0.769443,-0.0493835297458
1985-08-06,28.875,29.125004,28.624993,28.624993,262200,0.762781,-0.00865825108225
1985-08-07,28.624993,29.250006,28.249986,29.000002,190000,0.772774,0.0131007542954
1985-08-08,29.000002,29.125004,28.749995,28.749995,88600,0.766112,-0.00862093043994
1985-08-09,28.749995,29.000002,28.749995,28.749995,63900,0.766112,0.0
1985-08-12,28.749995,29.000002,28.749995,28.875,182700,0.769443,0.00434800075617
1985-08-13,28.875,29.125004,28.875,28.875,87700,0.769443,0.0
