Date,Open,High,Low,Close,Volume,Adj Close,Returns
1981-12-31,23.687495,23.999991,23.374999,23.999991,431000,2.153228,
1982-01-04,23.999991,24.12501,23.749994,23.999991,329100,2.153228,0.0
1982-01-05,23.749994,23.874994,23.624997,23.624997,382600,2.119585,-0.00526303290856
1982-01-06,23.624997,23.749994,23.499998,23.749994,281300,2.130799,0.00529087897874
1982-01-07,23.624997,23.749994,23.499998,23.749994,168400,2.130799,0.00529087897874
1982-01-08,24.12501,24.750002,23.499998,23.499998,157800,2.10837,-0.0259072224219
1982-01-11,23.374999,23.624997,23.000006,23.000006,284300,2.063512,-0.0160424819697
1982-01-12,23.000006,23.125003,22.875006,23.125003,241700,2.074726,0.00543465075618
1982-01-13,22.875006,23.125003,22.62501,22.875006,197100,2.052297,0.0
1982-01-14,22.62501,22.875006,22.374992,22.374992,295300,2.007437,-0.0110505144528
1982-01-15,22.750007,23.000006,22.374992,22.750007,204200,2.041082,0.0
1982-01-18,22.750007,22.875006,22.62501,22.875006,238800,2.052297,0.00549445984786
1982-01-19,23.000006,23.250002,22.750007,23.125003,198000,2.074726,0.00543465075618
1982-01-20,23.125003,23.125003,23.000006,23.125003,171500,2.074726,0.0
1982-01-21,22.875006,23.000006,22.62501,22.875006,181700,2.052297,0.0
1982-01-22,22.62501,22.875006,22.249995,22.374992,457900,2.007437,-0.0110505144528
1982-01-25,21.999997,22.249995,21.625003,21.999997,398300,1.973793,0.0
1982-01-26,21.999997,22.249995,21.75,21.874999,441800,1.962579,-0.00568172804751
1982-01-27,21.75,21.874999,21.625003,21.874999,228400,1.962579,0.00574708045977
1982-01-28,22.374992,23.125003,21.625003,23.125003,288600,2.074726,0.0335200566776
1982-01-29,22.750007,23.125003,22.374992,22.500011,224000,2.018653,-0.0109888317837
1982-02-01,22.249995,22.500011,21.874999,21.874999,198200,1.962579,-0.0168537565963
1982-02-02,21.999997,22.124996,21.75,21.874999,133600,1.962579,-0.00568172804751
1982-02-03,21.874999,21.999997,21.75,21.999997,108800,1.973793,0.00571419454693
1982-02-04,22.124996,22.249995,21.874999,21.999997,141300,1.973793,-0.00564967333779
1982-02-05,22.124996,22.249995,21.874999,21.999997,154200,1.973793,-0.00564967333779
1982-02-08,21.999997,22.124996,21.75,21.75,184200,1.951364,-0.0113635015496
1982-02-09,21.500004,21.625003,21.375005,21.500004,264900,1.928935,0.0
