Date,Open,High,Low,Close,Volume,Adj Close,Returns
1975-01-02,11.5,11.75008,11.5,11.75008,315200,0.157385,
1975-01-03,11.75008,12.75008,11.24992,12.5,1184000,0.16743,0.0638225441869
1975-01-06,12.5,12.75008,12.24992,12.5,678400,0.16743,0.0
1975-01-07,12.5,12.5,12.0,12.24992,262400,0.16408,-0.0200064
1975-01-08,12.24992,12.62496,12.0,12.0,280000,0.160732,-0.0204017658891
1975-01-09,12.0,12.24992,11.75008,12.24992,171200,0.16408,0.0208266666667
1975-01-10,12.24992,12.62496,12.24992,12.5,358400,0.16743,0.0204148271989
1975-01-13,12.5,12.5,12.12496,12.24992,144000,0.16408,-0.0200064
1975-01-14,12.24992,12.5,12.24992,12.5,216000,0.16743,0.0204148271989
1975-01-15,12.5,13.12496,12.12496,13.12496,480000,0.175801,0.0499968
1975-01-16,13.12496,13.37504,13.12496,13.37504,584000,0.17915,0.0190537723544
1975-01-17,13.37504,13.62496,13.0,13.0,379200,0.174127,-0.028040289973
1975-01-20,13.0,13.12496,12.5,13.12496,323200,0.175801,0.00961230769231
1975-01-21,13.12496,13.37504,13.0,13.0,264000,0.174127,-0.00952079092051
1975-01-22,13.0,13.0,12.75008,13.0,224000,0.174127,0.0
1975-01-23,13.0,13.24992,13.0,13.12496,211200,0.175801,0.00961230769231
1975-01-24,13.24992,13.37504,13.24992,13.24992,174400,0.177474,0.0
1975-01-27,13.37504,13.87504,13.37504,13.75008,798400,0.184174,0.028040289973
1975-01-28,13.75008,14.24992,13.75008,13.87504,691200,0.185847,0.00908794712467
1975-01-29,13.87504,14.24992,13.62496,13.75008,542400,0.184174,-0.00900610016259
1975-01-30,13.75008,14.12496,13.62496,13.62496,483200,0.182498,-0.00909958342061
1975-01-31,13.62496,13.87504,13.37504,13.37504,870400,0.17915,-0.018342806144
1975-02-03,13.37504,14.24992,13.37504,13.87504,598400,0.185847,0.0373830657703
1975-02-04,13.87504,14.12496,13.37504,13.75008,350400,0.184174,-0.00900610016259
1975-02-05,13.75008,14.24992,13.75008,13.87504,275200,0.185847,0.00908794712467
1975-02-06,13.87504,14.24992,13.37504,13.37504,360000,0.17915,-0.0360359321487
1975-02-07,13.37504,15.12496,13.37504,15.12496,1408000,0.202589,0.130834748905
1975-02-10,15.12496,15.62496,15.12496,15.12496,907200,0.202589,0.0
1975-02-11,15.12496,15.12496,14.37504,15.12496,736000,0.202589,0.0
1975-02-12,15.12496,15.37504,14.62496,15.37504,483200,0.205939,0.016534258603
1975-02-13,15.37504,15.87504,15.37504,15.62496,638400,0.209286,0.0162549170604
1975-02-14,15.62496,15.62496,15.12496,15.24992,616000,0.204263,-0.0240026214467
1975-02-18,15.24992,15.62496,14.87504,15.12496,430400,0.202589,-0.00819414134632
1975-02-19,15.12496,15.24992,15.12496,15.24992,603200,0.204263,0.00826184003131
1975-02-20,15.24992,15.62496,15.12496,15.62496,1395200,0.209286,0.0245929158973
1975-02-21,15.62496,15.87504,15.62496,15.75008,472000,0.210962,0.00800770049971
1975-02-24,15.62496,15.62496,14.87504,14.87504,320000,0.201159,-0.0479950028672
1975-02-25,14.87504,14.87504,14.62496,14.62496,323200,0.197777,-0.0168120556314
1975-02-26,14.62496,15.12496,14.37504,15.12496,355200,0.204538,0.034188127694
1975-02-27,15.12496,15.62496,15.12496,15.24992,376000,0.206228,0.00826184003131
1975-02-28,15.12496,15.12496,14.87504,14.87504,158400,0.201159,-0.0165236800626
1975-03-03,15.12496,15.37504,15.12496,15.24992,283200,0.206228,0.00826184003131
1975-03-04,15.62496,16.75008,15.62496,16.24992,1248000,0.219751,0.0399975423937
1975-03-05,16.24992,16.37504,15.37504,16.0,867200,0.216372,-0.0153797680235
1975-03-06,16.0,16.0,15.75008,16.0,331200,0.216372,0.0
1975-03-07,16.0,16.5,15.87504,16.0,352000,0.216372,0.0
1975-03-10,16.0,16.24992,15.75008,15.87504,192000,0.214682,-0.00781
1975-03-11,15.87504,16.0,15.37504,15.37504,427200,0.20792,-0.0314959836322
1975-03-12,15.37504,15.62496,15.12496,15.12496,200000,0.204538,-0.0162653235374
1975-03-13,15.12496,15.24992,14.87504,15.12496,339200,0.204538,0.0
1975-03-14,15.12496,15.87504,14.87504,15.87504,576000,0.214682,0.0495921972686
1975-03-17,16.0,16.5,16.0,16.24992,686400,0.219751,0.01562
1975-03-18,16.24992,16.5,16.0,16.0,438400,0.216372,-0.0153797680235
1975-03-19,16.0,16.24992,15.62496,15.75008,283200,0.212992,-0.01562
1975-03-20,15.62496,15.62496,15.24992,15.24992,587200,0.206228,-0.0240026214467
1975-03-21,15.12496,15.12496,14.62496,14.62496,611200,0.197777,-0.0330579386656
1975-03-24,14.37504,14.37504,13.87504,14.37504,371200,0.194397,0.0
1975-03-25,14.37504,14.62496,13.75008,14.24992,363200,0.192705,-0.00870397578024
1975-03-26,14.62496,15.62496,14.62496,15.24992,534400,0.206228,0.0427324245673
1975-03-27,15.24992,16.24992,15.12496,16.0,648000,0.216372,0.0491858317945
1975-03-31,16.0,16.24992,15.87504,16.0,400000,0.216372,0.0
