Date,Open,High,Low,Close,Volume,Adj Close,Returns
1983-04-06,29.5,29.75,28.625,28.625,169200,4.017746,
1983-04-07,28.875,29.0,28.5,28.5,46400,4.000202,-0.012987012987
1983-04-08,28.875,29.0,28.625,29.0,148400,4.070381,0.004329004329
1983-04-11,29.75,30.5,29.375,30.5,138000,4.280918,0.0252100840336
1983-04-12,30.5,31.5,30.5,31.5,109200,4.421276,0.0327868852459
1983-04-13,31.75,31.875,31.625,31.875,95600,4.47391,0.00393700787402
1983-04-14,31.625,31.625,31.0,31.25,150400,4.386186,-0.0118577075099
1983-04-15,31.0,31.125,30.25,30.25,216800,4.245828,-0.0241935483871
1983-04-18,30.25,30.75,29.875,30.75,190800,4.328887,0.0165289256198
1983-04-19,30.75,31.125,30.375,31.0,103600,4.364081,0.00813008130081
1983-04-20,30.75,31.125,30.75,31.0,161200,4.364081,0.00813008130081
1983-04-21,31.125,32.0,31.0,31.75,323600,4.469663,0.0200803212851
1983-04-22,31.625,31.625,30.75,31.0,130000,4.364081,-0.0197628458498
1983-04-25,30.25,30.75,29.75,29.75,175200,4.18811,-0.0165289256198
1983-04-26,29.5,30.0,29.0,29.125,170400,4.100124,-0.0127118644068
1983-04-27,28.75,29.5,27.875,28.125,191600,3.959347,-0.0217391304348
1983-04-28,28.5,29.0,28.0,28.625,959600,4.029736,0.00438596491228
1983-04-29,28.875,29.125,28.5,28.875,400800,4.06493,0.0
1983-05-02,28.5,29.0,28.0,29.0,140400,4.082527,0.0175438596491
1983-05-03,28.0,28.375,27.75,28.125,214400,3.959347,0.00446428571429
1983-05-04,28.625,29.0,28.25,28.5,188400,4.012139,-0.00436681222707
1983-05-05,28.5,28.625,28.25,28.25,92800,3.976945,-0.00877192982456
1983-05-06,28.375,29.875,28.375,29.75,522800,4.18811,0.0484581497797
1983-05-09,29.75,29.875,29.375,29.75,167600,4.18811,0.0
1983-05-10,29.625,30.0,29.125,29.25,318800,4.117721,-0.0126582278481
1983-05-11,29.5,29.5,28.0,28.5,630000,4.012139,-0.0338983050847
