Date,Open,High,Low,Close,Volume,Adj Close,Returns
1997-11-21,23.5,23.5,22.75,23.0,3821400,9.954736,
1997-11-24,23.0,23.0,22.25,22.75,541600,9.846533,-0.0108695652174
1997-11-25,22.875,23.0,22.6875,23.0,425000,9.954736,0.00546448087432
1997-11-26,23.0,23.0,22.75,22.75,165200,9.846533,-0.0108695652174
1997-11-28,22.75,23.0,22.75,23.0,60500,9.954736,0.010989010989
1997-12-01,23.0625,23.125,23.0,23.0625,120300,9.981787,0.0
1997-12-02,23.125,23.125,22.875,23.0,164200,9.954736,-0.00540540540541
1997-12-03,23.0625,23.0625,22.9375,23.0,540000,9.954736,-0.00271002710027
1997-12-04,23.0,23.0625,23.0,23.0,43800,9.954736,0.0
1997-12-05,22.875,23.375,22.875,23.0625,147500,9.981787,0.00819672131148
1997-12-08,23.0,23.25,23.0,23.1875,74900,10.035889,0.00815217391304
1997-12-09,23.125,23.1875,23.0,23.1875,61000,10.035889,0.0027027027027
1997-12-10,23.125,23.25,23.0625,23.0625,104500,9.981787,-0.0027027027027
1997-12-11,23.0,23.125,23.0,23.0625,153600,9.981787,0.00271739130435
1997-12-12,23.0625,23.1875,23.0625,23.1875,59900,10.035889,0.00542005420054
1997-12-15,23.125,23.1875,23.0625,23.1875,24400,10.035889,0.0027027027027
1997-12-16,23.1875,23.75,23.1875,23.625,107900,10.28468,0.0188679245283
1997-12-17,23.75,24.25,23.6875,24.1875,63900,10.529554,0.0184210526316
1997-12-18,24.125,24.25,24.125,24.25,35700,10.556762,0.00518134715026
1997-12-19,24.25,24.25,23.75,23.875,134400,10.393513,-0.0154639175258
1997-12-22,23.9375,24.125,23.875,24.0,34400,10.447929,0.00261096605744
1997-12-23,24.0,24.1875,24.0,24.0,88500,10.447929,0.0
1997-12-24,23.9375,24.0,23.8125,24.0,63300,10.447929,0.00261096605744
1997-12-26,23.875,23.875,23.5625,23.6875,34600,10.311889,-0.00785340314136
1997-12-29,23.875,24.0625,23.75,23.8125,159600,10.366305,-0.00261780104712
1997-12-30,24.0,24.3125,23.6875,24.3125,52400,10.58397,0.0130208333333
1997-12-31,24.375,25.125,24.375,25.125,215700,10.937676,0.0307692307692
1998-01-02,25.0,25.0,24.625,24.875,52000,10.828843,-0.005
1998-01-05,24.75,24.9375,24.625,24.625,42300,10.720011,-0.00505050505051
1998-01-06,24.75,24.75,24.625,24.6875,26900,10.747219,-0.00252525252525
1998-01-07,24.6875,24.75,24.4375,24.625,49500,10.720011,-0.00253164556962
1998-01-08,24.5,24.75,24.375,24.5625,95700,10.692803,0.00255102040816
1998-01-09,24.5,24.5,24.125,24.375,37800,10.611178,-0.00510204081633
1998-01-12,24.125,24.4375,23.75,24.4375,24500,10.638386,0.0129533678756
1998-01-13,24.5,24.625,24.4375,24.5625,190300,10.692803,0.00255102040816
1998-01-14,24.5,24.75,24.25,24.75,201800,10.774427,0.0102040816327
1998-01-15,24.75,24.75,24.5,24.5,39200,10.665595,-0.010101010101
1998-01-16,24.5625,24.5625,24.375,24.5,13600,10.665595,-0.00254452926209
1998-01-20,24.625,24.75,24.5625,24.625,63200,10.720011,0.0
1998-01-21,24.6875,24.875,24.5625,24.75,90400,10.774427,0.00253164556962
1998-01-22,24.875,24.875,24.625,24.6875,99600,10.747219,-0.00753768844221
1998-01-23,24.75,24.75,24.4375,24.4375,11200,10.638386,-0.0126262626263
1998-01-26,24.3125,24.375,24.125,24.125,50500,10.502346,-0.00771208226221
1998-01-27,24.25,24.5,24.0,24.25,17300,10.556762,0.0
1998-01-28,24.125,24.125,23.875,24.0,68700,10.447929,-0.00518134715026
1998-01-29,23.75,24.125,23.75,24.0,67700,10.447929,0.0105263157895
1998-01-30,24.0,24.5,24.0,24.5,33000,10.665595,0.0208333333333
1998-02-02,24.5,24.75,24.4375,24.75,31000,10.774427,0.0102040816327
1998-02-03,24.625,24.75,24.5,24.5,18300,10.665595,-0.00507614213198
1998-02-04,24.5625,24.5625,24.375,24.375,29200,10.611178,-0.00763358778626
1998-02-05,24.375,24.625,24.375,24.5,10900,10.665595,0.00512820512821
1998-02-06,24.5,24.5,24.125,24.5,129200,10.665595,0.0
1998-02-09,24.1875,24.3125,23.9375,24.3125,101100,10.58397,0.00516795865633
1998-02-10,24.375,24.625,24.3125,24.625,35000,10.720011,0.0102564102564
1998-02-11,24.625,24.625,24.4375,24.625,40400,10.720011,0.0
1998-02-12,24.5,24.625,24.3125,24.5,34500,10.665595,0.0
1998-02-13,24.5625,24.625,24.375,24.5,73100,10.665595,-0.00254452926209
1998-02-17,24.625,24.8125,24.5,24.8125,110500,10.801635,0.00761421319797
1998-02-18,24.6875,24.6875,23.875,24.125,85500,10.502346,-0.0227848101266
1998-02-19,24.25,24.25,24.0,24.0,7900,10.447929,-0.0103092783505
1998-02-20,24.0,24.375,24.0,24.1875,82700,10.529554,0.0078125
1998-02-23,24.125,24.25,24.0,24.0625,26300,10.475138,-0.00259067357513
1998-02-24,24.0625,24.1875,23.875,23.875,8700,10.393513,-0.00779220779221
1998-02-25,23.875,23.9375,23.75,23.75,45600,10.339097,-0.00523560209424
1998-02-26,23.75,23.875,23.625,23.625,21300,10.28468,-0.00526315789474
1998-02-27,23.625,23.8125,23.5,23.5,42700,10.230264,-0.00529100529101
1998-03-02,23.75,23.75,23.4375,23.4375,102800,10.203056,-0.0131578947368
1998-03-03,23.4375,23.6875,23.4375,23.5625,24500,10.257472,0.00533333333333
1998-03-04,23.625,23.625,23.375,23.375,108100,10.175848,-0.010582010582
1998-03-05,23.375,23.5,23.375,23.4375,43100,10.203056,0.00267379679144
1998-03-06,23.4375,23.8125,23.4375,23.5,17400,10.230264,0.00266666666667
1998-03-09,23.5,24.1875,23.5,24.0,105300,10.447929,0.0212765957447
1998-03-10,24.125,24.25,24.0,24.0,89800,10.447929,-0.00518134715026
1998-03-11,24.0,24.1875,24.0,24.1875,8200,10.529554,0.0078125
1998-03-12,24.1875,24.1875,24.0,24.0,103000,10.447929,-0.0077519379845
1998-03-13,23.8125,24.0,23.8125,23.875,438900,10.393513,0.00262467191601
1998-03-16,23.625,23.625,23.25,23.5625,16000,10.406543,-0.0026455026455
1998-03-17,23.4375,23.5625,23.375,23.5,15300,10.378939,0.00266666666667
1998-03-18,23.5,23.625,23.5,23.5,39800,10.378939,0.0
1998-03-19,23.5,23.875,23.5,23.875,100200,10.54456,0.0159574468085
1998-03-20,23.8125,24.375,23.8125,24.25,137800,10.710182,0.0183727034121
1998-03-23,24.25,24.5,24.25,24.375,13400,10.765389,0.00515463917526
1998-03-24,24.5,24.5,24.25,24.25,10800,10.710182,-0.0102040816327
