Date,Open,High,Low,Close,Volume,Adj Close,Returns
1983-04-06,61.5,61.75,61.0,61.5,960000,1.446505,
1983-04-07,61.75,61.75,61.25,61.5,464000,1.446505,-0.00404858299595
1983-04-08,61.5,61.5,60.0,60.25,219200,1.417105,-0.020325203252
1983-04-11,60.25,60.75,60.0,60.25,387200,1.417105,0.0
1983-04-12,60.75,61.25,60.5,61.25,313600,1.440625,0.0082304526749
1983-04-13,61.5,62.5,61.5,62.5,401600,1.470026,0.0162601626016
1983-04-14,63.0,63.25,62.624962,63.0,316800,1.481786,0.0
1983-04-15,63.25,63.375038,62.624962,62.624962,286400,1.472965,-0.00988202371542
1983-04-18,62.624962,62.875038,62.218719,62.875038,337600,1.478847,0.00399323196396
1983-04-19,62.875038,63.624962,62.375038,63.624962,494400,1.496485,0.0119272134674
1983-04-20,63.624962,63.875038,63.5,63.75,198400,1.499426,0.00196523496548
1983-04-21,63.75,64.25,63.25,63.25,465600,1.487666,-0.0078431372549
1983-04-22,63.375038,64.0,63.0,63.25,182400,1.487666,-0.00197298501028
1983-04-25,63.25,64.0,62.5,63.5,468800,1.493546,0.00395256916996
1983-04-26,63.875038,64.25,63.5,64.0,272000,1.505306,0.00195635108663
1983-04-27,64.75,65.5,64.0,64.375038,387200,1.514127,-0.00579091891892
1983-04-28,64.5,64.75,64.25,64.624962,571200,1.520006,0.00193739534884
1983-04-29,65.0,65.375038,64.624962,65.375038,619200,1.537648,0.00576981538462
1983-05-02,65.375038,65.875038,64.75,64.875038,670400,1.525887,-0.00764817911081
1983-05-03,64.375038,64.624962,64.0,64.624962,428800,1.520006,0.00388231227141
1983-05-04,64.124962,64.5,63.624962,63.875038,451200,1.516211,-0.003897452602
1983-05-05,63.5,64.124962,62.75,63.0,740800,1.495441,-0.00787401574803
1983-05-06,63.25,65.25,63.25,64.75,803200,1.536981,0.0237154150198
1983-05-09,64.25,65.0,64.0,64.875038,553600,1.539949,0.00972821789883
1983-05-10,65.124962,65.124962,64.5,64.5,492800,1.531046,-0.00959635108885
1983-05-11,64.624962,64.75,64.0,64.375038,252800,1.52808,-0.00386729821211
1983-05-12,64.375038,64.5,63.5,63.624962,396800,1.510275,-0.0116516591415
1983-05-13,63.875038,63.875038,63.375038,63.75,225600,1.513243,-0.0019575409098
1983-05-16,63.5,64.0,63.0,64.0,356800,1.519178,0.00787401574803
1983-05-17,64.0,64.25,63.624962,64.25,288000,1.525112,0.00390625
1983-05-18,64.124962,66.25,64.124962,64.5,825600,1.531046,0.00584854927477
1983-05-19,63.75,63.75,62.75,63.25,1417600,1.501375,-0.0078431372549
1983-05-20,63.25,64.124962,63.0,64.124962,321600,1.522144,0.0138333913043
1983-05-23,64.25,65.0,64.124962,64.624962,488000,1.534012,0.0058359844358
1983-05-24,64.75,65.875038,64.75,65.875038,355200,1.563686,0.0173751042471
1983-05-25,65.5,65.875038,65.25,65.75,580800,1.560718,0.00381679389313
1983-05-26,65.5,68.0,65.25,67.25,1388800,1.596323,0.0267175572519
1983-05-27,67.25,67.25,66.5,66.624962,209600,1.581487,-0.00929424535316
1983-05-31,66.624962,66.75,65.25,65.5,601600,1.554783,-0.0168849927449
1983-06-01,65.0,65.624962,65.0,65.624962,488000,1.55775,0.0096148
1983-06-02,65.75,65.875038,63.75,64.5,366400,1.531046,-0.0190114068441
1983-06-03,64.25,64.75,63.5,64.5,1065600,1.531046,0.00389105058366
1983-06-06,65.0,65.25,64.875038,65.124962,5444800,1.545881,0.00192249230769
1983-06-07,65.375038,65.375038,64.5,64.75,457600,1.536981,-0.00956080515012
1983-06-08,64.75,64.875038,64.124962,64.124962,444800,1.522144,-0.0096530965251
1983-06-09,64.25,64.375038,63.75,64.124962,427200,1.522144,-0.00194611673152
1983-06-10,64.375038,65.0,64.25,65.0,1878400,1.542915,0.00970814184218
1983-06-13,65.0,65.5,65.0,65.25,1062400,1.548849,0.00384615384615
1983-06-14,65.25,65.75,65.25,65.75,272000,1.560718,0.00766283524904
1983-06-15,65.75,66.0,65.624962,65.875038,592000,1.563686,0.00190171863118
1983-06-16,66.0,66.5,66.0,66.5,628800,1.578521,0.00757575757576
1983-06-17,66.5,66.624962,66.0,66.0,1081600,1.566652,-0.00751879699248
1983-06-20,65.75,66.25,65.624962,65.875038,222400,1.563686,0.00190171863118
1983-06-21,65.624962,65.875038,64.75,65.5,340800,1.554783,-0.00190418395976
1983-06-22,65.375038,65.75,65.0,65.5,435200,1.554783,0.00191146351609
1983-06-23,65.5,65.75,65.124962,65.124962,145600,1.545881,-0.00572577099237
1983-06-24,65.124962,65.5,65.0,65.5,212800,1.554783,0.00575874424311
1983-06-27,65.124962,65.375038,65.0,65.25,609600,1.548849,0.00191997041012
1983-06-28,65.5,65.75,64.75,64.75,428800,1.536981,-0.0114503816794
