Date,Open,High,Low,Close,Volume,Adj Close,Returns
1985-04-08,25.0,25.0,24.5,24.75,4340000,1.169861,
1985-04-09,24.75,25.125,24.625,25.0,2136400,1.181678,0.010101010101
1985-04-10,25.0,25.875,25.0,25.75,1830000,1.217128,0.03
1985-04-11,25.75,25.875,25.625,25.75,988800,1.217128,0.0
1985-04-12,25.75,26.0,25.125,25.25,1182000,1.193495,-0.0194174757282
1985-04-15,25.375,25.5,25.25,25.375,535600,1.199403,0.0
1985-04-16,25.375,25.625,25.0,25.125,690400,1.187586,-0.00985221674877
1985-04-17,24.875,25.25,24.875,25.0,1061600,1.181678,0.00502512562814
1985-04-18,24.875,25.0,24.75,24.875,1284400,1.175769,0.0
1985-04-19,24.875,25.0,24.75,24.875,434400,1.175769,0.0
1985-04-22,24.75,24.875,24.625,24.625,471200,1.163953,-0.00505050505051
1985-04-23,24.625,25.0,24.625,25.0,376800,1.181678,0.0152284263959
1985-04-24,24.875,25.0,24.75,24.875,295600,1.175769,0.0
1985-04-25,24.875,25.0,24.5,24.75,649600,1.169861,-0.00502512562814
1985-04-26,24.125,24.625,23.875,24.375,1395200,1.152136,0.0103626943005
1985-04-29,24.125,24.25,24.125,24.125,513600,1.140319,0.0
1985-04-30,24.125,24.25,24.0,24.125,687600,1.140319,0.0
1985-05-01,24.125,24.25,24.0,24.125,392400,1.140319,0.0
1985-05-02,24.25,24.375,24.0,24.25,449600,1.146227,0.0
1985-05-03,24.5,24.5,24.0,24.5,341200,1.158044,0.0
1985-05-06,24.375,25.25,24.375,25.125,608800,1.187586,0.0307692307692
1985-05-07,25.125,25.5,25.125,25.375,454400,1.199403,0.00995024875622
1985-05-08,25.375,25.5,25.125,25.25,136400,1.193495,-0.00492610837438
1985-05-09,25.125,25.375,25.0,25.25,420400,1.193495,0.00497512437811
1985-05-10,25.25,26.0,25.125,25.875,268400,1.223036,0.0247524752475
1985-05-13,25.625,25.75,25.5,25.5,274000,1.205311,-0.00487804878049
1985-05-14,25.75,25.75,25.625,25.75,189600,1.217128,0.0
1985-05-15,25.625,25.75,25.5,25.625,595200,1.21122,0.0
1985-05-16,25.625,25.75,25.5,25.625,290000,1.21122,0.0
1985-05-17,25.5,25.875,25.5,25.75,492800,1.217128,0.00980392156863
1985-05-20,26.0,26.5,26.0,26.375,586800,1.24667,0.0144230769231
1985-05-21,26.25,26.625,26.125,26.25,572400,1.240762,0.0
1985-05-22,25.75,26.125,25.625,25.75,413600,1.217128,0.0
1985-05-23,25.75,25.75,25.5,25.625,254800,1.21122,-0.00485436893204
1985-05-24,25.5,26.0,25.5,25.75,186800,1.217128,0.00980392156863
1985-05-28,25.75,26.25,25.75,26.25,192400,1.240762,0.0194174757282
1985-05-29,26.125,26.5,26.125,26.5,282000,1.252578,0.0143540669856
1985-05-30,26.375,26.5,26.25,26.5,181600,1.252578,0.00473933649289
1985-05-31,26.25,26.75,26.25,26.75,3320800,1.264395,0.0190476190476
1985-06-03,27.0,27.0,26.75,26.875,4040000,1.270304,-0.00462962962963
1985-06-04,26.25,26.25,25.875,26.25,424000,1.27103,0.0
1985-06-05,26.125,26.75,26.0,26.125,602000,1.264977,0.0
1985-06-06,26.125,26.5,26.0,26.375,820400,1.277082,0.00956937799043
1985-06-07,26.375,26.5,26.375,26.375,484400,1.277082,0.0
1985-06-10,26.375,26.625,26.375,26.5,534400,1.283135,0.00473933649289
1985-06-11,26.5,26.625,26.375,26.5,442400,1.283135,0.0
1985-06-12,26.5,26.625,26.375,26.625,674000,1.289187,0.00471698113208
1985-06-13,26.5,26.625,26.0,26.25,426000,1.27103,-0.00943396226415
1985-06-14,26.25,26.375,26.125,26.375,259600,1.277082,0.0047619047619
1985-06-17,26.375,26.625,26.375,26.625,416400,1.289187,0.00947867298578
1985-06-18,26.5,26.75,26.5,26.75,481200,1.29524,0.00943396226415
1985-06-19,26.75,26.875,26.75,26.75,324800,1.29524,0.0
1985-06-20,26.625,26.875,26.625,26.875,378800,1.301292,0.0093896713615
1985-06-21,26.5,26.5,26.5,26.5,225200,1.283135,0.0
1985-06-24,26.5,26.75,26.5,26.75,256000,1.29524,0.00943396226415
1985-06-25,26.625,27.25,26.625,27.0,690000,1.307345,0.0140845070423
