Date,Open,High,Low,Close,Volume,Adj Close,Returns
2001-12-13,29.1,30.0,29.0,29.299999,49466000,21.602113,
2001-12-14,29.9,30.1,29.52,29.68,9676300,21.882278,-0.00735785953177
2001-12-17,29.950001,29.950001,29.4,29.450001,5110900,21.712706,-0.0166944902606
2001-12-18,29.5,29.950001,29.389999,29.950001,5167700,22.081342,0.0152542711864
2001-12-19,29.85,30.190001,29.620001,30.15,3693200,22.228796,0.0100502512563
2001-12-20,30.25,30.98,30.120001,30.17,3914200,22.243542,-0.00264462809917
2001-12-21,30.4,30.99,30.25,30.99,3429100,22.848106,0.0194078947368
2001-12-24,30.75,31.49,30.75,31.450001,976900,23.187253,0.0227642601626
2001-12-26,31.5,32.740002,31.5,32.200001,2456300,23.740208,0.0222222539683
2001-12-27,32.200001,32.970001,31.52,32.849998,4447500,24.219434,0.0201862416091
2001-12-28,32.860001,33.099998,32.580002,32.939999,4174800,24.285789,0.00243450996852
2001-12-31,33.110001,33.740002,32.720001,33.189999,5532800,24.470107,0.00241612798502
2002-01-02,32.610001,32.799999,31.120001,31.299999,5168900,23.07666,-0.0401717865633
2002-01-03,31.299999,32.75,30.82,31.25,2906500,23.039797,-0.00159741219161
2002-01-04,31.200001,32.0,31.1,31.950001,3086000,23.555889,0.024038460768
2002-01-07,31.75,32.049999,31.370001,31.950001,2449300,23.555889,0.00629924409449
2002-01-08,31.25,31.85,31.25,31.780001,1766500,23.430553,0.016960032
2002-01-09,31.950001,31.950001,31.25,31.299999,1639100,23.07666,-0.020344349911
2002-01-10,31.120001,31.68,31.01,31.01,1689400,22.862852,-0.00353473639027
2002-01-11,31.01,31.15,30.75,30.9,1966200,22.781751,-0.0035472428249
2002-01-14,30.75,30.75,29.530001,30.049999,3160000,22.155069,-0.0227642601626
2002-01-15,30.4,31.120001,29.92,30.780001,1962400,22.693279,0.0125000328947
2002-01-16,30.58,31.15,30.450001,30.68,1881100,22.619552,0.00327011118378
2002-01-17,30.879999,31.0,30.299999,30.52,1739800,22.501588,-0.0116579990822
2002-01-18,30.4,30.450001,29.75,30.25,1531400,22.302524,-0.00493421052632
2002-01-22,30.49,31.25,30.4,31.25,2322700,23.039797,0.0249262053132
2002-01-23,31.65,31.700001,30.52,30.52,2460800,22.501588,-0.0357030015798
2002-01-24,30.6,30.67,30.0,30.25,3064100,22.302524,-0.0114379084967
2002-01-25,30.0,30.5,29.9,30.43,2373600,22.435233,0.0143333333333
2002-01-28,30.65,31.040001,30.549999,30.93,2450800,22.80387,0.00913539967374
2002-01-29,30.0,30.889999,30.0,30.389999,2512800,22.405742,0.0129999666667
2002-01-30,30.5,30.57,29.799999,30.15,3533700,22.228796,-0.0114754098361
2002-01-31,30.48,31.18,30.33,31.049999,3986900,22.892342,0.0187007545932
2002-02-01,30.950001,30.950001,30.4,30.6,3200100,22.56057,-0.0113085941419
2002-02-04,30.6,30.98,30.5,30.879999,3193400,22.767006,0.00915029411765
2002-02-05,30.85,31.6,30.76,31.049999,2397200,22.892342,0.00648294975689
2002-02-06,31.200001,31.200001,30.889999,31.15,2107700,22.96607,-0.00160259610248
2002-02-07,30.950001,31.049999,30.52,30.620001,1801500,22.575316,-0.0106623582985
2002-02-08,30.57,31.030001,30.549999,31.030001,1399300,22.877598,0.0150474648348
2002-02-11,30.700001,31.889999,30.67,31.76,1904300,23.415807,0.0345276535984
2002-02-12,31.41,31.85,31.25,31.5,2038700,23.224116,0.00286532951289
2002-02-13,31.200001,32.220001,30.860001,32.09,3779900,23.659107,0.0285256080601
2002-02-14,32.049999,32.279999,31.9,32.029999,2200800,23.61487,-0.000624024980469
2002-02-15,31.83,31.93,31.030001,31.5,1649600,23.224116,-0.0103675777568
2002-02-19,31.0,31.1,30.0,30.26,2983900,22.309897,-0.0238709677419
2002-02-20,30.5,30.73,30.1,30.65,2283100,22.597433,0.00491803278689
2002-02-21,30.450001,30.870001,30.450001,30.84,1929100,22.737515,0.0128078485121
2002-02-22,30.549999,30.65,30.0,30.24,1655900,22.295151,-0.0101472671079
2002-02-25,30.25,30.32,30.07,30.280001,2355800,22.324643,0.000991768595041
2002-02-26,30.379999,30.690001,30.33,30.5,2309100,22.486842,0.00395000013002
2002-02-27,30.6,30.610001,30.299999,30.35,2937000,22.376251,-0.00816993464052
2002-02-28,30.35,30.75,30.35,30.57,2012600,22.538451,0.00724876441516
2002-03-01,30.690001,30.889999,30.4,30.85,2189500,22.744888,0.00521339181449
2002-03-04,30.879999,31.48,30.700001,30.700001,2321500,22.634297,-0.00582895096596
2002-03-05,30.700001,31.49,30.41,31.440001,3350200,23.17988,0.0241042337425
2002-03-06,31.0,31.4,31.0,31.4,1593000,23.150388,0.0129032258065
2002-03-07,31.200001,31.67,31.1,31.57,2412800,23.275725,0.0118589419276
2002-03-08,31.85,32.060001,31.450001,31.75,2561600,23.408434,-0.00313971742543
2002-03-11,31.85,31.9,31.200001,31.35,2237500,23.113525,-0.0156985871272
2002-03-12,31.0,31.35,30.690001,30.9,2054000,22.781751,-0.00322580645161
2002-03-13,30.629999,30.9,30.6,30.629999,2077400,22.582687,0.0
2002-03-14,30.700001,31.0,30.700001,30.969999,2493400,22.83336,0.00879472284056
2002-03-15,30.690001,31.379999,30.690001,31.1,3211200,22.929207,0.013359367437
2002-03-18,31.549999,31.6,30.950001,31.389999,2275600,23.143015,-0.00507131553316
2002-03-19,31.299999,31.780001,31.290001,31.4,2259500,23.150388,0.00319492022987
2002-03-20,31.25,31.49,31.219999,31.35,2410100,23.113525,0.0032
2002-03-21,31.17,31.34,30.99,31.25,2524800,23.039797,0.00256657042028
2002-03-22,30.85,31.299999,30.83,31.25,1674300,23.039797,0.0129659643436
2002-03-25,31.200001,31.450001,31.139999,31.209999,930200,23.010306,0.000320448707678
2002-03-26,31.049999,31.48,31.049999,31.43,1693800,23.172507,0.0122383578821
2002-03-27,31.25,31.49,31.23,31.370001,1764400,23.128271,0.003840032
2002-03-28,31.370001,31.389999,30.950001,31.049999,2681600,22.892342,-0.0102008922473
2002-04-01,31.15,31.299999,30.93,31.049999,1553000,22.892342,-0.00321030497592
2002-04-02,31.0,31.4,30.99,31.35,1753400,23.113525,0.0112903225806
2002-04-03,31.27,31.49,31.25,31.35,1495100,23.113525,0.00255836264791
2002-04-04,31.35,31.860001,31.27,31.84,2076000,23.474789,0.015629984051
2002-04-05,31.950001,32.700001,31.85,32.310001,4725700,23.821308,0.0112676052811
2002-04-08,32.310001,32.950001,32.200001,32.720001,3018900,24.12359,0.0126895693999
2002-04-09,32.970001,33.110001,32.779999,33.0,2337500,24.330026,0.000909887749169
2002-04-10,32.849998,33.200001,32.57,32.790001,1632600,24.175199,-0.00182639280526
2002-04-11,32.790001,32.990002,32.549999,32.599998,1634600,24.035115,-0.00579454084189
2002-04-12,32.5,33.02,32.5,32.509998,1411400,23.968761,0.000307630769231
2002-04-15,32.599998,32.700001,32.049999,32.07,1747700,23.644361,-0.0162576083594
2002-04-16,32.349998,32.599998,32.150002,32.599998,2570900,24.035115,0.00772797574825
2002-04-17,32.5,32.599998,32.200001,32.220001,941600,23.754954,-0.00861535384615
2002-04-18,32.299999,32.369999,31.66,31.85,1454600,23.482162,-0.0139318580165
2002-04-19,31.85,32.110001,31.799999,31.9,1913500,23.519025,0.00156985871272
2002-04-22,32.0,32.75,31.9,32.75,1806000,24.145708,0.0234375
2002-04-23,32.75,33.099998,32.189999,32.599998,2370800,24.035115,-0.00458021374046
2002-04-24,32.5,33.09,32.48,32.900002,2491200,24.2563,0.0123077538462
2002-04-25,32.400002,32.950001,32.139999,32.48,1359300,23.946643,0.00246907392166
2002-04-26,32.48,32.48,31.700001,31.77,2279200,23.42318,-0.0218596059113
2002-04-29,31.85,32.049999,31.85,32.0,1452400,23.592752,0.00470957613815
2002-04-30,32.0,32.200001,31.75,32.099998,1590700,23.666479,0.0031249375
