Date,Open,High,Low,Close,Volume,Adj Close,Returns
1980-11-18,14.125,14.5,14.125,14.125,3200,3.391737,
1980-11-19,14.25,14.625,14.25,14.25,8000,3.421752,0.0
1980-11-20,14.25,14.25,14.125,14.125,16600,3.391737,-0.00877192982456
1980-11-21,14.625,14.875,14.625,14.625,18700,3.511798,0.0
1980-11-24,14.5,14.5,14.125,14.125,40900,3.391737,-0.0258620689655
1980-11-25,13.75,13.75,13.5,13.5,25800,3.24166,-0.0181818181818
1980-11-26,14.125,14.5,14.125,14.125,75000,3.391737,0.0
1980-11-28,14.375,14.5,14.375,14.375,19300,3.451767,0.0
1980-12-01,14.375,14.375,14.0,14.0,26200,3.361721,-0.0260869565217
1980-12-02,13.5,13.5,13.0,13.0,20000,3.121598,-0.037037037037
1980-12-03,13.125,13.5,13.125,13.125,10500,3.151614,0.0
1980-12-04,13.125,13.25,12.75,12.75,13700,3.061568,-0.0285714285714
1980-12-05,12.75,13.25,12.75,12.75,11000,3.061568,0.0
1980-12-08,12.25,12.25,11.75,11.75,8700,2.821445,-0.0408163265306
1980-12-09,11.75,12.5,11.75,11.75,38700,2.821445,0.0
1980-12-10,12.75,13.5,12.75,12.75,10800,3.061568,0.0
1980-12-11,12.75,13.25,12.5,12.5,10800,3.001537,-0.0196078431373
1980-12-12,12.75,13.25,12.75,12.75,4500,3.061568,0.0
1980-12-15,12.75,12.75,12.0,12.0,8000,2.881475,-0.0588235294118
1980-12-16,12.0,12.5,12.0,12.0,7500,2.881475,0.0
1980-12-17,12.0,12.5,12.0,12.0,7000,2.881475,0.0
1980-12-18,12.0,12.5,11.75,11.75,10600,2.821445,-0.0208333333333
1980-12-19,12.0,12.5,12.0,12.0,18700,2.881475,0.0
1980-12-22,12.25,12.75,12.25,12.25,16800,2.941506,0.0
1980-12-23,12.25,12.5,12.25,12.25,8600,2.941506,0.0
1980-12-24,12.25,12.75,12.25,12.25,9200,2.941506,0.0
1980-12-26,12.5,13.0,12.5,12.5,3900,3.001537,0.0
1980-12-29,12.5,13.0,12.5,12.5,4400,3.001537,0.0
1980-12-30,12.5,13.0,12.5,12.5,13400,3.001537,0.0
1980-12-31,12.5,12.75,12.25,12.25,7800,2.941506,-0.02
1981-01-02,12.75,13.0,12.75,12.75,8000,3.061568,0.0
1981-01-05,13.0,13.5,13.0,13.0,9400,3.121598,0.0
1981-01-06,13.0,13.5,13.0,13.0,10200,3.121598,0.0
1981-01-07,13.0,13.0,12.25,12.25,17100,2.941506,-0.0576923076923
1981-01-08,12.5,13.0,12.5,12.5,7800,3.001537,0.0
1981-01-09,13.0,13.5,13.0,13.0,5600,3.121598,0.0
1981-01-12,13.0,13.5,13.0,13.0,11400,3.121598,0.0
1981-01-13,13.5,14.0,13.5,13.5,5000,3.24166,0.0
1981-01-14,13.75,14.25,13.75,13.75,7100,3.30169,0.0
1981-01-15,13.75,14.25,13.75,13.75,3300,3.30169,0.0
1981-01-16,13.75,14.25,13.75,13.75,6800,3.30169,0.0
1981-01-19,13.75,14.25,13.75,13.75,7600,3.30169,0.0
1981-01-20,13.75,14.25,13.5,13.5,6800,3.24166,-0.0181818181818
1981-01-21,13.75,14.25,13.75,13.75,2600,3.30169,0.0
1981-01-22,13.75,14.0,13.5,13.5,7700,3.24166,-0.0181818181818
1981-01-23,13.75,14.25,13.75,13.75,7900,3.30169,0.0
1981-01-26,13.75,14.0,13.5,13.5,3200,3.24166,-0.0181818181818
1981-01-27,13.75,14.25,13.75,13.75,4100,3.30169,0.0
1981-01-28,13.75,14.25,13.5,13.5,7800,3.24166,-0.0181818181818
1981-01-29,13.5,14.0,13.5,13.5,2300,3.24166,0.0
1981-01-30,13.5,14.0,13.5,13.5,4700,3.24166,0.0
1981-02-02,13.5,13.75,13.25,13.25,8500,3.181629,-0.0185185185185
1981-02-03,13.25,13.75,13.25,13.25,3100,3.181629,0.0
1981-02-04,13.5,14.0,13.5,13.5,6100,3.24166,0.0
1981-02-05,13.5,14.0,13.5,13.5,4600,3.24166,0.0
1981-02-06,13.5,14.0,13.5,13.5,5300,3.24166,0.0
1981-02-09,13.5,14.0,13.5,13.5,3800,3.24166,0.0
1981-02-10,13.5,14.0,13.5,13.5,4300,3.24166,0.0
1981-02-11,13.5,14.0,13.5,13.5,2700,3.24166,0.0
1981-02-12,13.5,14.0,13.5,13.5,3000,3.24166,0.0
1981-02-13,13.5,14.0,13.5,13.5,7600,3.24166,0.0
1981-02-17,13.5,13.75,13.25,13.25,4400,3.181629,-0.0185185185185
1981-02-18,13.5,13.75,13.5,13.5,4000,3.24166,0.0
1981-02-19,13.5,14.0,13.5,13.5,12600,3.24166,0.0
1981-02-20,13.5,14.0,13.5,13.5,3400,3.24166,0.0
1981-02-23,13.5,14.0,13.5,13.5,1900,3.24166,0.0
1981-02-24,13.5,13.75,13.25,13.25,4800,3.181629,-0.0185185185185
1981-02-25,13.25,13.5,13.0,13.0,13100,3.121598,-0.0188679245283
1981-02-26,13.0,13.5,13.0,13.0,15900,3.121598,0.0
1981-02-27,13.0,13.5,13.0,13.0,2200,3.121598,0.0
1981-03-02,13.0,13.5,13.0,13.0,3100,3.121598,0.0
1981-03-03,13.0,13.5,12.75,12.75,5100,3.061568,-0.0192307692308
1981-03-04,12.75,13.25,12.75,12.75,4400,3.061568,0.0
1981-03-05,12.75,13.25,12.75,12.75,4600,3.061568,0.0
1981-03-06,12.5,12.5,12.0,12.0,7500,2.881475,-0.04
1981-03-09,12.5,12.75,12.5,12.5,6400,3.001537,0.0
1981-03-10,12.5,12.75,12.25,12.25,4200,2.941506,-0.02
1981-03-11,12.25,12.75,12.25,12.25,4500,2.941506,0.0
1981-03-12,12.25,12.75,12.25,12.25,11000,2.941506,0.0
1981-03-13,12.25,12.75,12.25,12.25,5200,2.941506,0.0
1981-03-16,12.5,12.75,12.5,12.5,5100,3.001537,0.0
1981-03-17,12.5,13.0,12.5,12.5,5400,3.001537,0.0
1981-03-18,12.5,13.0,12.5,12.5,2200,3.001537,0.0
1981-03-19,12.75,13.25,12.75,12.75,8100,3.061568,0.0
1981-03-20,12.75,13.25,12.5,12.5,3200,3.001537,-0.0196078431373
1981-03-23,12.75,13.25,12.75,12.75,3500,3.061568,0.0
1981-03-24,13.0,13.5,13.0,13.0,8600,3.121598,0.0
1981-03-25,13.0,13.5,13.0,13.0,4000,3.121598,0.0
1981-03-26,13.25,13.75,13.25,13.25,3100,3.181629,0.0
1981-03-27,13.75,14.25,13.75,13.75,7300,3.30169,0.0
1981-03-30,13.75,14.25,13.75,13.75,5800,3.30169,0.0
1981-03-31,13.75,14.25,13.75,13.75,14100,3.30169,0.0
1981-04-01,13.75,14.25,13.625,13.625,6100,3.271675,-0.00909090909091
1981-04-02,13.75,14.25,13.75,13.75,5800,3.30169,0.0
1981-04-03,13.75,14.25,13.75,13.75,4900,3.30169,0.0
1981-04-06,13.75,14.25,13.75,13.75,4700,3.30169,0.0
1981-04-07,13.75,14.25,13.625,13.625,10000,3.271675,-0.00909090909091
1981-04-08,13.625,14.25,13.625,13.625,4500,3.271675,0.0
1981-04-09,13.625,14.25,13.625,13.625,5900,3.271675,0.0
1981-04-10,14.0,14.75,14.0,14.0,3500,3.361721,0.0
1981-04-13,14.0,14.75,14.0,14.0,3200,3.361721,0.0
1981-04-14,14.0,14.25,13.75,13.75,4300,3.30169,-0.0178571428571
1981-04-15,14.0,14.5,14.0,14.0,3900,3.361721,0.0
1981-04-16,14.0,14.5,13.75,13.75,4100,3.30169,-0.0178571428571
1981-04-20,13.25,13.25,12.75,12.75,7100,3.061568,-0.0377358490566
1981-04-21,13.0,13.25,13.0,13.0,2500,3.121598,0.0
1981-04-22,13.25,13.75,13.25,13.25,4500,3.181629,0.0
1981-04-23,13.25,13.75,13.25,13.25,3300,3.181629,0.0
1981-04-24,13.25,13.75,13.25,13.25,2300,3.181629,0.0
1981-04-27,13.25,13.5,13.0,13.0,5400,3.121598,-0.0188679245283
1981-04-28,13.0,13.5,13.0,13.0,3700,3.121598,0.0
1981-04-29,13.0,13.25,13.0,13.0,3100,3.121598,0.0
1981-04-30,13.0,13.0,12.75,12.75,2200,3.061568,-0.0192307692308
1981-05-01,12.75,12.75,12.25,12.25,3600,2.941506,-0.0392156862745
1981-05-04,12.0,12.0,11.75,11.75,2800,2.821445,-0.0208333333333
1981-05-05,11.75,12.0,11.5,11.5,7300,2.761414,-0.0212765957447
1981-05-06,11.5,12.0,11.5,11.5,5900,2.761414,0.0
1981-05-07,11.75,12.25,11.75,11.75,7500,2.821445,0.0
1981-05-08,11.75,12.5,11.75,11.75,4800,2.821445,0.0
1981-05-11,11.75,12.25,11.75,11.75,5100,2.821445,0.0
1981-05-12,11.75,12.25,11.75,11.75,3800,2.821445,0.0
1981-05-13,11.75,12.25,11.75,11.75,1600,2.821445,0.0
1981-05-14,11.75,12.25,11.75,11.75,1900,2.821445,0.0
1981-05-15,11.75,12.0,11.5,11.5,3600,2.761414,-0.0212765957447
1981-05-18,11.5,12.0,11.5,11.5,2400,2.761414,0.0
1981-05-19,11.5,12.0,11.5,11.5,2200,2.761414,0.0
1981-05-20,11.5,12.0,11.25,11.25,3600,2.701383,-0.0217391304348
1981-05-21,11.5,11.75,11.5,11.5,4300,2.761414,0.0
1981-05-22,11.5,11.75,11.25,11.25,2500,2.701383,-0.0217391304348
1981-05-26,11.25,11.75,11.25,11.25,2800,2.701383,0.0
1981-05-27,11.25,11.75,11.25,11.25,3700,2.701383,0.0
1981-05-28,11.5,11.75,11.5,11.5,3300,2.761414,0.0
1981-05-29,11.5,12.25,11.5,11.5,3000,2.761414,0.0
1981-06-01,11.5,12.25,11.5,11.5,2200,2.761414,0.0
1981-06-02,11.5,12.25,11.5,11.5,1900,2.761414,0.0
1981-06-03,11.5,11.75,11.25,11.25,5800,2.701383,-0.0217391304348
1981-06-04,11.25,11.75,11.25,11.25,2000,2.701383,0.0
1981-06-05,11.5,11.75,11.5,11.5,2000,2.761414,0.0
1981-06-08,11.5,12.0,11.5,11.5,3800,2.761414,0.0
1981-06-09,11.5,12.0,11.5,11.5,2100,2.761414,0.0
1981-06-10,11.5,12.0,11.25,11.25,3400,2.701383,-0.0217391304348
1981-06-11,11.25,11.75,11.25,11.25,7900,2.701383,0.0
1981-06-12,11.25,11.75,11.25,11.25,3100,2.701383,0.0
1981-06-15,11.25,11.75,11.25,11.25,6500,2.701383,0.0
