Date,Open,High,Low,Close,Volume,Adj Close,Returns
1992-06-17,17.0,17.5,15.5,15.875,902000,5.325782,
1992-06-18,15.875,15.875,15.0,15.625,421400,5.241911,-0.0157480314961
1992-06-19,15.625,15.875,15.5,15.75,453400,5.283847,0.008
1992-06-22,15.75,15.75,15.125,15.25,597200,5.116106,-0.031746031746
1992-06-23,15.25,15.5,15.25,15.375,853800,5.158041,0.00819672131148
1992-06-24,15.375,15.5,15.0,15.125,357600,5.07417,-0.0162601626016
1992-06-25,15.375,15.625,15.375,15.375,785000,5.158041,0.0
1992-06-26,15.375,15.5,15.25,15.5,435000,5.199976,0.00813008130081
1992-06-29,15.375,15.625,15.25,15.625,386600,5.241911,0.0162601626016
1992-06-30,15.625,16.125,15.625,16.125,884400,5.409653,0.032
1992-07-01,15.75,15.875,15.625,15.75,552600,5.283847,0.0
1992-07-02,15.875,16.125,15.375,16.125,1788200,5.409653,0.0157480314961
1992-07-06,15.875,15.875,15.375,15.5,580400,5.199976,-0.0236220472441
1992-07-07,15.625,15.625,14.375,14.625,1147000,4.906429,-0.064
1992-07-08,14.75,14.75,13.625,13.875,1192800,4.654817,-0.0593220338983
1992-07-09,13.875,14.625,13.875,14.625,2136600,4.906429,0.0540540540541
1992-07-10,14.375,14.5,14.125,14.25,866200,4.780623,-0.00869565217391
1992-07-13,14.25,14.5,14.25,14.375,846600,4.822558,0.00877192982456
1992-07-14,14.25,14.5,14.25,14.5,990000,4.864494,0.0175438596491
1992-07-15,14.5,14.75,14.5,14.625,1080400,4.906429,0.00862068965517
1992-07-16,14.5,14.625,14.25,14.375,2689000,4.822558,-0.00862068965517
1992-07-17,14.125,14.625,14.125,14.625,840400,4.906429,0.0353982300885
1992-07-20,13.875,14.375,13.75,14.25,1228200,4.780623,0.027027027027
1992-07-21,14.0,14.5,14.0,14.25,1279600,4.780623,0.0178571428571
1992-07-22,13.875,15.125,13.875,14.75,2743000,4.948364,0.0630630630631
1992-07-23,14.625,15.0,14.625,14.625,2203800,4.906429,0.0
1992-07-24,14.5,15.0,14.5,14.875,1404000,4.9903,0.0258620689655
1992-07-27,14.875,15.125,14.625,15.0,1308000,5.032235,0.00840336134454
1992-07-28,14.875,15.125,14.75,15.0,1134400,5.032235,0.00840336134454
1992-07-29,15.0,15.125,14.5,14.75,1697600,4.948364,-0.0166666666667
1992-07-30,14.875,15.0,14.5,15.0,912800,5.032235,0.00840336134454
1992-07-31,14.875,15.125,14.875,15.125,1303000,5.07417,0.0168067226891
1992-08-03,15.0,15.375,14.875,15.375,1616800,5.158041,0.025
1992-08-04,15.375,15.625,15.375,15.5,1457000,5.199976,0.00813008130081
1992-08-05,15.5,15.625,15.5,15.5,492000,5.199976,0.0
1992-08-06,15.375,15.5,15.0,15.25,1277800,5.116106,-0.00813008130081
1992-08-07,14.875,15.125,14.875,15.0,306200,5.032235,0.00840336134454
1992-08-10,14.625,15.0,14.5,14.875,593000,4.9903,0.017094017094
1992-08-11,14.875,14.875,14.5,14.5,1804800,4.864494,-0.0252100840336
1992-08-12,14.875,15.0,14.25,14.5,1591600,4.864494,-0.0252100840336
1992-08-13,14.625,15.125,14.625,15.0,1100600,5.032235,0.025641025641
1992-08-14,15.0,15.875,15.0,15.75,1476600,5.283847,0.05
1992-08-17,15.5,16.0,15.5,15.875,1461000,5.325782,0.0241935483871
1992-08-18,16.0,16.375,15.875,16.0,1660200,5.367717,0.0
1992-08-19,16.0,16.25,15.75,15.875,928000,5.325782,-0.0078125
1992-08-20,16.0,16.125,16.0,16.125,370400,5.409653,0.0078125
1992-08-21,16.0,16.625,16.0,16.5,3771600,5.535458,0.03125
1992-08-24,15.875,16.375,15.875,16.125,2085000,5.409653,0.0157480314961
1992-08-25,16.25,16.375,15.875,16.25,1168800,5.451588,0.0
1992-08-26,16.125,16.375,16.0,16.375,1347000,5.493523,0.015503875969
1992-08-27,16.375,16.5,16.25,16.25,764400,5.451588,-0.00763358778626
1992-08-28,16.125,16.25,16.0,16.125,516800,5.409653,0.0
1992-08-31,16.25,16.25,16.125,16.125,304000,5.409653,-0.00769230769231
1992-09-01,16.0,16.25,15.875,16.0,1067400,5.388436,0.0
1992-09-02,15.875,16.0,15.625,15.75,1153600,5.304242,-0.00787401574803
1992-09-03,15.75,15.875,15.625,15.625,474800,5.262144,-0.00793650793651
1992-09-04,15.75,15.75,15.375,15.375,461600,5.17795,-0.0238095238095
1992-09-08,15.5,15.625,15.375,15.375,693800,5.17795,-0.00806451612903
1992-09-09,15.5,15.875,15.5,15.875,474200,5.346339,0.0241935483871
1992-09-10,16.0,16.125,15.75,15.875,867200,5.346339,-0.0078125
1992-09-11,16.0,16.125,15.75,15.875,856600,5.346339,-0.0078125
1992-09-14,16.125,16.5,16.125,16.5,1092800,5.556824,0.0232558139535
1992-09-15,16.125,16.375,16.125,16.125,1036400,5.430533,0.0
1992-09-16,16.0,16.25,15.75,16.25,864000,5.47263,0.015625
1992-09-17,16.25,16.25,16.0,16.25,660000,5.47263,0.0
1992-09-18,16.25,16.375,16.125,16.375,1351400,5.514727,0.00769230769231
1992-09-21,16.25,16.375,16.125,16.25,491200,5.47263,0.0
1992-09-22,16.25,16.375,16.125,16.125,1030000,5.430533,-0.00769230769231
1992-09-23,16.0,16.125,15.625,15.875,714800,5.346339,-0.0078125
1992-09-24,15.875,16.375,15.875,16.25,639400,5.47263,0.0236220472441
1992-09-25,16.25,16.25,16.0,16.25,438800,5.47263,0.0
1992-09-28,16.125,16.375,16.125,16.375,217600,5.514727,0.015503875969
1992-09-29,16.375,16.375,16.125,16.125,313000,5.430533,-0.0152671755725
1992-09-30,16.25,16.25,15.875,16.0,675200,5.388436,-0.0153846153846
1992-10-01,15.875,16.0,15.5,15.75,727800,5.304242,-0.00787401574803
1992-10-02,15.75,16.0,15.5,15.75,376000,5.304242,0.0
1992-10-05,15.625,15.75,14.875,15.625,815800,5.262144,0.0
1992-10-06,15.5,15.625,15.0,15.5,600800,5.220047,0.0
1992-10-07,15.625,16.0,15.5,15.875,491400,5.346339,0.016
1992-10-08,15.875,16.125,15.875,16.0,327400,5.388436,0.00787401574803
1992-10-09,15.875,15.875,15.25,15.25,628200,5.135853,-0.0393700787402
1992-10-12,15.375,15.5,15.0,15.125,629600,5.093756,-0.0162601626016
1992-10-13,15.125,15.5,15.125,15.375,1432200,5.17795,0.0165289256198
1992-10-14,15.25,15.625,15.125,15.375,941200,5.17795,0.00819672131148
