Date,Open,High,Low,Close,Volume,Adj Close,Returns
1997-06-12,32.125,33.0,30.875,31.5,19963800,28.769614,
1997-06-13,31.75,32.875,31.75,32.375,3661100,29.56877,0.0196850393701
1997-06-16,32.25,32.5,30.625,30.875,2481700,28.198788,-0.0426356589147
1997-06-17,30.125,30.25,29.125,29.75,2283800,27.171302,-0.0124481327801
1997-06-18,29.75,29.75,28.125,28.375,1749900,25.915486,-0.046218487395
1997-06-19,28.5,29.625,28.25,29.375,1269900,26.828807,0.030701754386
1997-06-20,29.5,30.25,29.375,29.5,859100,26.942972,0.0
1997-06-23,29.875,29.875,28.125,28.25,725000,25.80132,-0.0543933054393
1997-06-24,28.5,29.625,27.125,28.875,1212100,26.372146,0.0131578947368
1997-06-25,29.125,29.125,28.125,28.6875,726600,26.200898,-0.0150214592275
1997-06-26,28.125,28.5,27.625,28.25,534500,25.80132,0.00444444444444
1997-06-27,28.125,28.375,27.1875,27.25,441500,24.887999,-0.0311111111111
1997-06-30,27.125,27.625,26.25,27.375,796900,25.002165,0.00921658986175
1997-07-01,27.25,27.3125,26.5,26.9375,621300,24.602587,-0.0114678899083
1997-07-02,26.9375,27.9375,26.625,27.8125,818700,25.401742,0.0324825986079
1997-07-03,27.5625,28.1875,26.75,28.0625,696800,25.630073,0.0181405895692
1997-07-07,28.5,28.625,27.0,27.125,1180500,24.773834,-0.0482456140351
1997-07-08,27.25,27.6875,27.125,27.6875,595000,25.287577,0.0160550458716
1997-07-09,27.6875,27.6875,26.375,26.625,958000,24.317174,-0.038374717833
1997-07-10,26.25,26.3125,25.125,25.5,1069200,23.289687,-0.0285714285714
1997-07-11,25.625,26.125,25.375,25.9375,674600,23.689265,0.0121951219512
1997-07-14,26.1875,26.25,25.4375,25.6875,471200,23.460935,-0.0190930787589
1997-07-15,25.3125,25.5625,25.0,25.4375,513000,23.232605,0.00493827160494
1997-07-16,25.5625,25.5625,23.75,23.8125,899600,21.748458,-0.0684596577017
1997-07-17,24.0,26.25,23.9375,26.0625,1286200,23.803431,0.0859375
1997-07-18,26.125,26.5,25.3125,25.875,346200,23.632183,-0.00956937799043
1997-07-21,25.8125,25.8125,25.0,25.3125,216600,23.11844,-0.0193704600484
1997-07-22,25.125,25.875,25.125,25.625,351200,23.403853,0.0199004975124
1997-07-23,25.625,26.125,25.0,25.0,507100,22.833027,-0.0243902439024
1997-07-24,25.0,25.75,24.25,24.625,412800,22.490532,-0.015
1997-07-25,24.875,25.0,24.1875,24.625,253000,22.490532,-0.0100502512563
1997-07-28,24.875,25.4375,24.375,25.25,953700,23.061357,0.0150753768844
1997-07-29,25.5,26.6875,25.5,26.6875,1028100,24.374256,0.046568627451
1997-07-30,26.8125,27.9375,26.6875,27.75,801700,25.34466,0.034965034965
1997-07-31,27.875,28.0,26.6875,26.8125,458400,24.488421,-0.0381165919283
1997-08-01,26.3125,27.0,26.25,26.625,250100,24.317174,0.0118764845606
1997-08-04,26.375,27.875,26.25,27.625,629700,25.230495,0.0473933649289
1997-08-05,28.125,28.4375,26.5,27.0625,1157400,24.716752,-0.0377777777778
1997-08-06,27.0625,27.125,26.25,26.5,350500,24.203009,-0.0207852193995
1997-08-07,26.5,26.6875,25.75,25.75,456200,23.518018,-0.0283018867925
1997-08-08,25.5,25.6875,24.75,25.25,576100,23.061357,-0.00980392156863
1997-08-11,25.375,25.375,24.5,24.75,370400,22.604697,-0.0246305418719
1997-08-12,25.0,25.4375,24.3125,24.3125,910300,22.205119,-0.0275
1997-08-13,24.5,25.1875,23.8125,24.375,416500,22.262201,-0.00510204081633
1997-08-14,24.625,24.75,23.9375,24.0,309000,21.919706,-0.0253807106599
1997-08-15,24.0,24.0,22.875,23.0625,1385300,21.063467,-0.0390625
1997-08-18,23.5625,23.6875,22.9375,23.5,551500,21.463045,-0.0026525198939
1997-08-19,23.375,24.25,23.375,24.25,380800,22.148036,0.0374331550802
1997-08-20,24.875,25.625,24.6875,25.625,621500,23.403853,0.0301507537688
1997-08-21,25.375,25.5625,24.5,24.75,479600,22.604697,-0.0246305418719
1997-08-22,24.125,24.625,24.0,24.5,408100,22.376366,0.0155440414508
1997-08-25,25.0,25.0625,24.1875,24.3125,230200,22.205119,-0.0275
1997-08-26,24.25,24.9375,24.125,24.6875,296300,22.547614,0.0180412371134
1997-08-27,24.9375,25.0,24.25,24.5,619500,22.376366,-0.0175438596491
1997-08-28,24.5,25.375,24.375,25.3125,492400,23.11844,0.0331632653061
1997-08-29,25.3125,26.875,25.25,26.25,686100,23.974678,0.037037037037
1997-09-02,26.375,26.4375,25.5,26.25,414700,23.974678,-0.00473933649289
1997-09-03,26.25,26.375,26.0,26.0625,265000,23.803431,-0.00714285714286
1997-09-04,26.0,26.3125,25.5,25.75,237400,23.518018,-0.00961538461538
1997-09-05,26.25,26.4375,25.5625,25.875,151100,23.632183,-0.0142857142857
1997-09-08,25.75,26.0,25.3125,25.375,91200,23.175522,-0.0145631067961
1997-09-09,25.25,25.5,24.625,24.875,318400,22.718862,-0.0148514851485
1997-09-10,24.875,24.875,24.1875,24.25,365900,22.148036,-0.0251256281407
1997-09-11,24.0,24.75,24.0,24.25,721200,22.148036,0.0104166666667
1997-09-12,24.375,24.625,24.0,24.4375,234000,22.319284,0.0025641025641
1997-09-15,24.6875,25.875,24.5,25.1875,855800,23.004275,0.020253164557
1997-09-16,25.625,25.9375,25.25,25.5,384100,23.289687,-0.00487804878049
1997-09-17,25.75,26.4375,25.625,26.4375,922000,24.145926,0.0266990291262
1997-09-18,26.8125,27.0625,26.0,26.0625,1183200,23.803431,-0.027972027972
1997-09-19,25.875,26.6875,25.4375,26.625,430300,24.317174,0.0289855072464
1997-09-22,26.5,27.75,26.125,27.625,754400,25.230495,0.0424528301887
1997-09-23,27.5625,27.625,26.875,27.3125,507200,24.945082,-0.00907029478458
1997-09-24,27.0,27.0,26.0,26.125,827400,23.860513,-0.0324074074074
1997-09-25,25.875,26.25,24.875,25.3125,1051200,23.11844,-0.0217391304348
1997-09-26,26.75,27.0,25.9375,26.125,1082500,23.860513,-0.0233644859813
1997-09-29,26.0,26.875,26.0,26.25,406300,23.974678,0.00961538461538
1997-09-30,26.3125,26.3125,26.0,26.1875,276700,23.917596,-0.00475059382423
1997-10-01,27.375,27.5,26.625,27.0,1058000,24.659669,-0.013698630137
1997-10-02,27.0,27.125,26.625,26.625,486200,24.317174,-0.0138888888889
1997-10-03,26.625,27.125,26.25,26.5,904600,24.203009,-0.00469483568075
1997-10-06,26.5,26.8125,26.0,26.625,451000,24.317174,0.00471698113208
1997-10-07,26.5,26.5,25.875,26.1875,418800,23.917596,-0.0117924528302
1997-10-08,25.9375,25.9375,25.3125,25.4375,444200,23.232605,-0.0192771084337
1997-10-09,25.1875,26.125,25.0,26.0,337600,23.746348,0.0322580645161
1997-10-10,25.75,26.4375,25.625,26.0,268400,23.746348,0.00970873786408
1997-10-13,26.375,26.5,26.0,26.25,233300,23.974678,-0.00473933649289
1997-10-14,26.25,26.375,25.75,26.0625,230300,23.803431,-0.00714285714286
1997-10-15,25.8125,26.0625,25.5,25.6875,223500,23.460935,-0.00484261501211
1997-10-16,25.9375,26.0,24.875,25.125,319300,22.947192,-0.0313253012048
1997-10-17,25.25,25.25,24.5,24.8125,236200,22.661779,-0.0173267326733
1997-10-20,24.5625,24.75,24.25,24.6875,153100,22.547614,0.00508905852417
1997-10-21,24.8125,25.625,24.75,25.4375,306500,23.232605,0.0251889168766
1997-10-22,25.4375,25.9375,25.0,25.9375,255200,23.689265,0.019656019656
1997-10-23,24.75,26.5,24.75,26.125,626800,23.860513,0.0555555555556
1997-10-24,27.0,27.25,26.5,26.875,814000,24.545504,-0.00462962962963
1997-10-27,26.0625,26.25,24.5,24.5,395900,22.376366,-0.0599520383693
1997-10-28,23.125,25.625,22.8125,25.5,1014000,23.289687,0.102702702703
1997-10-29,25.75,26.25,25.125,25.25,612200,23.061357,-0.0194174757282
1997-10-30,23.875,25.25,23.875,25.125,405100,22.947192,0.0523560209424
1997-10-31,25.3125,26.4375,25.3125,26.0,461600,23.746348,0.0271604938272
1997-11-03,26.6875,27.25,26.5625,27.25,607400,24.887999,0.0210772833724
1997-11-04,27.875,28.1875,26.75,28.0,1999800,25.57299,0.00448430493274
