Date,Open,High,Low,Close,Volume,Adj Close,Returns
1985-07-01,38.124962,38.5,38.124962,38.375038,72800,2.713362,
1985-07-02,38.375038,38.375038,37.75,37.75,253600,2.669168,-0.0162876190507
1985-07-03,37.75,38.875038,36.5,37.0,307200,2.616138,-0.0198675496689
1985-07-05,37.0,37.0,36.75,37.0,567200,2.616138,0.0
1985-07-08,37.0,37.5,36.875038,37.5,336000,2.651491,0.0135135135135
1985-07-09,37.5,37.624962,37.375038,37.624962,250400,2.660327,0.00333232
1985-07-10,37.624962,38.0,37.375038,38.0,229600,2.686844,0.00996779744256
1985-07-11,38.0,39.0,37.75,38.75,200000,2.739874,0.0197368421053
1985-07-12,38.75,39.25,38.75,39.0,231200,2.757551,0.00645161290323
1985-07-15,39.0,39.124962,38.25,38.375038,108800,2.713362,-0.0160246666667
1985-07-16,38.375038,38.75,38.124962,38.25,483200,2.704521,-0.00325831599177
1985-07-17,38.25,38.75,38.0,38.75,385600,2.739874,0.0130718954248
1985-07-18,38.75,39.0,38.5,38.75,188800,2.739874,0.0
1985-07-19,38.75,39.375038,38.75,39.0,189600,2.757551,0.00645161290323
1985-07-22,39.124962,39.624962,39.124962,39.375038,100800,2.784068,0.00639172505778
1985-07-23,39.375038,39.5,39.0,39.0,92000,2.757551,-0.00952476541102
1985-07-24,39.0,40.0,38.75,39.5,304000,2.792904,0.0128205128205
1985-07-25,39.5,39.875038,38.75,39.0,479200,2.757551,-0.0126582278481
1985-07-26,39.0,39.375038,39.0,39.25,110400,2.775227,0.00641025641026
1985-07-29,39.25,39.5,39.0,39.5,260000,2.792904,0.00636942675159
1985-07-30,39.5,39.624962,39.124962,39.375038,362400,2.784068,-0.00316359493671
1985-07-31,39.375038,39.624962,39.124962,39.124962,90400,2.766386,-0.00635113037859
1985-08-01,39.124962,39.5,39.124962,39.5,186400,2.792904,0.00958564509277
1985-08-02,39.5,39.5,39.25,39.25,81600,2.775227,-0.00632911392405
1985-08-05,39.25,39.375038,38.624962,38.75,152800,2.739874,-0.0127388535032
1985-08-06,38.75,39.124962,38.375038,38.624962,295200,2.731033,-0.00322678709677
1985-08-07,38.5,38.5,37.875038,37.875038,192000,2.678009,-0.0162327792208
1985-08-08,37.875038,38.624962,37.875038,38.624962,104000,2.731033,0.0197999537321
1985-08-09,38.624962,39.5,38.5,39.25,176000,2.775227,0.0161822295126
1985-08-12,39.25,39.375038,39.124962,39.25,28800,2.775227,0.0
1985-08-13,39.25,39.25,39.0,39.124962,87200,2.766386,-0.00318568152866
1985-08-14,39.124962,39.25,39.0,39.25,149600,2.775227,0.00319586252889
1985-08-15,39.25,39.375038,39.0,39.0,408800,2.757551,-0.00636942675159
1985-08-16,39.0,39.25,38.75,38.75,59200,2.739874,-0.00641025641026
1985-08-19,38.624962,38.624962,37.25,37.25,355200,2.633814,-0.0355977567046
1985-08-20,37.25,38.25,37.25,38.0,834400,2.686844,0.0201342281879
1985-08-21,38.0,38.0,37.75,38.0,114400,2.686844,0.0
1985-08-22,38.0,38.5,37.75,38.124962,251200,2.69568,0.00328847368421
1985-08-23,37.875038,37.875038,37.624962,37.624962,124800,2.660327,-0.00660266004222
1985-08-26,37.624962,37.875038,37.5,37.5,124000,2.667799,-0.00332125252379
1985-08-27,37.5,37.75,37.5,37.624962,196000,2.676689,0.00333232
1985-08-28,37.624962,37.75,37.624962,37.75,292000,2.685584,0.00332327245938
1985-08-29,37.624962,37.624962,37.5,37.5,278400,2.667799,-0.00332125252379
1985-08-30,37.5,37.624962,37.124962,37.25,145600,2.650014,-0.00666666666667
1985-09-03,37.25,37.5,36.875038,37.375038,274400,2.658909,0.00335672483221
1985-09-04,37.375038,37.5,37.124962,37.375038,88800,2.658909,0.0
1985-09-05,37.375038,37.75,37.124962,37.5,496000,2.667799,0.00334346148357
1985-09-06,37.5,37.5,37.124962,37.25,124000,2.650014,-0.00666666666667
1985-09-09,37.25,37.5,37.124962,37.5,197600,2.667799,0.00671140939597
1985-09-10,37.5,37.5,36.0,36.25,96000,2.578872,-0.0333333333333
1985-09-11,36.25,36.375038,35.0,35.5,134400,2.525517,-0.0206896551724
1985-09-12,35.5,35.75,33.25,33.5,256800,2.383234,-0.056338028169
1985-09-13,33.5,34.75,33.5,34.75,601600,2.472161,0.0373134328358
1985-09-16,35.0,35.875038,35.0,35.624962,946400,2.534406,0.0178560571429
1985-09-17,35.624962,35.624962,35.25,35.624962,448000,2.534406,0.0
1985-09-18,35.624962,35.75,35.25,35.624962,305600,2.534406,0.0
1985-09-19,35.624962,36.0,35.5,35.75,594400,2.543302,0.00350984234032
1985-09-20,35.75,36.124962,35.75,35.875038,188800,2.552197,0.00349756643357
1985-09-23,35.875038,36.5,35.875038,36.25,124800,2.578872,0.010451891368
1985-09-24,36.25,36.624962,36.124962,36.124962,328000,2.569977,-0.00344932413793
1985-09-25,36.124962,36.25,35.375038,35.5,420000,2.525517,-0.0173000043571
1985-09-26,35.5,35.5,34.75,35.375038,270400,2.516627,-0.00352005633803
1985-09-30,35.5,35.75,35.5,35.75,360800,2.543302,0.00704225352113
1985-10-01,35.75,35.875038,35.375038,35.624962,133600,2.534406,-0.00349756643357
1985-10-02,35.624962,35.75,35.124962,35.124962,606400,2.498836,-0.0140351026901
1985-10-03,35.124962,35.375038,35.0,35.25,67200,2.507731,0.00355980456292
1985-10-04,35.25,35.375038,35.0,35.0,138400,2.489946,-0.00709219858156
1985-10-07,35.0,35.0,34.75,34.75,192000,2.472161,-0.00714285714286
1985-10-08,34.75,34.75,34.375038,34.75,119200,2.472161,0.0
1985-10-09,34.75,35.0,34.624962,34.75,264800,2.472161,0.0
1985-10-10,34.75,34.75,34.375038,34.5,149600,2.454375,-0.00719424460432
1985-10-11,34.5,35.75,34.5,35.624962,401600,2.534406,0.0326075942029
1985-10-14,35.875038,36.375038,35.875038,36.25,103200,2.578872,0.010451891368
1985-10-15,36.5,37.0,36.5,36.75,646400,2.614443,0.00684931506849
1985-10-16,36.75,37.25,36.624962,37.124962,329600,2.641118,0.010203047619
1985-10-17,37.124962,37.124962,36.875038,36.875038,88800,2.623339,-0.00673196648659
1985-10-18,36.875038,37.25,36.875038,36.875038,69600,2.623339,0.0
1985-10-21,36.875038,37.25,36.75,37.0,362400,2.632228,0.00338879650782
1985-10-22,37.124962,37.375038,37.124962,37.25,171200,2.650014,0.00336803038344
1985-10-23,37.25,37.375038,36.875038,37.124962,110400,2.641118,-0.00335672483221
1985-10-24,37.124962,37.375038,37.0,37.25,172000,2.650014,0.00336803038344
1985-10-25,37.25,37.5,37.124962,37.5,420000,2.667799,0.00671140939597
1985-10-28,37.375038,37.375038,36.875038,37.0,290400,2.632228,-0.0100344513362
1985-10-29,37.0,37.5,37.0,37.375038,96000,2.658909,0.0101361621622
1985-10-30,37.375038,38.124962,37.25,37.875038,179200,2.69448,0.0133779128198
1985-10-31,38.0,38.25,38.0,38.0,96000,2.70337,0.0
1985-11-01,38.0,38.124962,37.5,37.5,394400,2.667799,-0.0131578947368
1985-11-04,37.5,38.0,37.5,38.0,208000,2.70337,0.0133333333333
1985-11-05,38.0,38.0,37.375038,37.875038,402400,2.69448,-0.00328847368421
1985-11-06,37.875038,38.5,37.875038,38.124962,1046400,2.71226,0.00659864684492
1985-11-07,38.124962,38.375038,37.875038,37.875038,311200,2.69448,-0.00655539014045
1985-11-08,37.875038,38.375038,37.75,38.375038,294400,2.73005,0.0132013068871
1985-11-11,38.375038,38.375038,38.124962,38.25,126400,2.721155,-0.00325831599177
