Date,Open,High,Low,Close,Volume,Adj Close,Returns
1985-07-01,39.0,39.50001,39.0,39.375,149400,5.730115,
1985-07-02,39.375,39.50001,38.75001,39.0,50100,5.675543,-0.00952380952381
1985-07-03,39.12501,39.50001,39.12501,39.50001,30300,5.748307,0.00958466208699
1985-07-05,39.50001,40.5,39.50001,40.5,47700,5.893833,0.0253161961225
1985-07-08,40.5,40.875,40.125,40.125,66300,5.83926,-0.00925925925926
1985-07-09,40.125,40.25001,39.50001,39.50001,80700,5.748307,-0.0155760747664
1985-07-10,39.375,39.375,39.0,39.0,21300,5.675543,-0.00952380952381
1985-07-11,39.0,39.375,38.87499,39.24999,53100,5.711923,0.00641
1985-07-12,39.24999,39.375,38.625,39.0,79500,5.675543,-0.00636917359724
1985-07-15,38.75001,38.75001,38.37501,38.625,86700,5.62097,-0.0032260636836
1985-07-16,38.625,38.625,38.37501,38.625,59400,5.62097,0.0
1985-07-17,38.625,39.87501,38.49999,38.75001,234600,5.639162,0.00323650485437
1985-07-18,38.75001,38.87499,38.37501,38.75001,147600,5.639162,0.0
1985-07-19,38.75001,39.0,38.625,38.87499,246900,5.657351,0.00322528949025
1985-07-22,38.87499,39.0,38.625,38.87499,30600,5.657351,0.0
1985-07-23,38.87499,39.99999,38.75001,39.75,162900,5.784688,0.0225083016099
1985-07-24,39.75,39.99999,39.12501,39.12501,149400,5.693735,-0.0157230188679
1985-07-25,39.62499,39.99999,39.62499,39.75,70800,5.784688,0.00315482729459
1985-07-26,39.75,40.37499,39.75,40.125,22500,5.83926,0.00943396226415
1985-07-29,40.25001,40.62501,40.25001,40.37499,62100,5.875641,0.00310509239625
1985-07-30,40.37499,40.5,40.125,40.125,68400,5.83926,-0.00619170431993
1985-07-31,40.125,40.37499,39.99999,40.25001,63600,5.857453,0.00311551401869
1985-08-01,40.25001,40.62501,40.125,40.62501,60000,5.912025,0.00931676787161
1985-08-02,40.62501,41.00001,40.5,40.875,100800,5.948405,0.00615359848527
1985-08-05,40.875,41.00001,40.5,40.62501,54900,5.912025,-0.00611596330275
1985-08-06,40.62501,40.875,40.5,40.5,72600,5.893833,-0.00307716847331
1985-08-07,40.5,40.5,39.75,39.75,45600,5.784688,-0.0185185185185
1985-08-08,39.75,40.25001,39.62499,39.87501,101700,5.80288,0.00314490566038
1985-08-09,39.87501,40.25001,39.87501,39.99999,40800,5.821068,0.00313429388482
1985-08-12,39.99999,39.99999,39.12501,39.12501,41700,5.693735,-0.0218745054686
1985-08-13,39.24999,39.87501,39.24999,39.50001,66000,5.748307,0.00636993792865
1985-08-14,39.375,39.375,38.75001,38.75001,18000,5.680871,-0.0158727619048
1985-08-15,38.75001,39.0,38.75001,38.75001,34500,5.680871,0.0
1985-08-16,38.75001,38.87499,38.625,38.625,54000,5.662545,-0.0032260636836
1985-08-19,38.75001,39.0,38.75001,38.75001,37200,5.680871,0.0
1985-08-20,38.75001,39.375,38.75001,39.375,27000,5.772497,0.0161287700313
1985-08-21,39.24999,39.24999,38.75001,38.75001,32100,5.680871,-0.0127383471945
1985-08-22,38.75001,38.87499,37.62501,37.62501,56400,5.515943,-0.0290322505723
1985-08-23,37.62501,37.62501,37.25001,37.37499,71400,5.479289,-0.00664504806776
1985-08-26,37.37499,37.875,37.37499,37.62501,27300,5.515943,0.00668950011759
1985-08-27,37.62501,38.37501,37.62501,38.37501,19800,5.625895,0.0199335495193
1985-08-28,38.37501,38.49999,37.5,37.62501,147900,5.515943,-0.0195439688485
1985-08-29,37.62501,38.00001,37.62501,38.00001,94200,5.570919,0.00996677475966
1985-08-30,38.12499,38.625,38.12499,38.49999,54600,5.644218,0.00983606815372
1985-09-03,38.49999,39.0,38.37501,39.0,64500,5.717521,0.0129872761006
1985-09-04,39.0,39.12501,38.75001,38.75001,52800,5.680871,-0.00641
1985-09-05,38.75001,39.0,38.12499,38.12499,112200,5.589242,-0.0161295442246
1985-09-06,38.25,39.24999,38.25,38.49999,132300,5.644218,0.00653568627451
1985-09-09,38.49999,38.49999,38.25,38.25,58200,5.607568,-0.0064932484398
1985-09-10,38.25,38.49999,38.00001,38.00001,54600,5.570919,-0.00653568627451
1985-09-11,38.00001,38.00001,37.25001,37.25001,109200,5.460967,-0.0197368369114
1985-09-12,37.25001,37.25001,36.75,36.99999,49200,5.424313,-0.00671194450686
1985-09-13,36.99999,36.99999,36.375,36.375,127500,5.332688,-0.0168916261869
1985-09-16,36.50001,37.125,36.50001,36.75,29100,5.387664,0.00684903921944
1985-09-17,36.75,37.125,36.75,36.87501,23100,5.405991,0.00340163265306
1985-09-18,36.87501,36.99999,36.50001,36.50001,52500,5.351014,-0.0101694887676
1985-09-19,36.50001,37.25001,36.50001,36.50001,77400,5.351014,0.0
1985-09-20,36.24999,36.24999,34.25001,34.5,256800,5.057807,-0.0482755995243
1985-09-23,34.5,35.12499,34.5,35.00001,150000,5.13111,0.0144930434783
1985-09-24,35.00001,35.00001,34.25001,34.37499,330900,5.03948,-0.0178577091835
1985-09-25,34.37499,34.74999,34.37499,34.74999,23400,5.094456,0.0109090940826
1985-09-26,34.74999,35.00001,34.62501,34.875,96000,5.112783,0.00359741110717
1985-09-30,34.875,35.00001,34.74999,35.00001,98100,5.13111,0.00358451612903
1985-10-01,35.00001,35.25,34.62501,34.62501,147900,5.076134,-0.0107142826531
1985-10-02,34.62501,34.875,33.75,33.99999,269100,4.984504,-0.0180511139203
1985-10-03,33.99999,33.99999,33.62499,33.75,196200,4.947855,-0.00735264922137
1985-10-04,33.75,33.99999,33.62499,33.87501,28800,4.966181,0.003704
1985-10-07,33.87501,34.25001,33.75,34.25001,84300,5.021157,0.0110701074332
1985-10-08,34.25001,34.37499,33.75,34.37499,396600,5.03948,0.00364905002947
1985-10-09,34.37499,34.875,34.25001,34.74999,126000,5.094456,0.0109090940826
1985-10-10,34.74999,34.74999,34.37499,34.62501,114300,5.076134,-0.00359654779757
1985-10-11,34.62501,34.74999,34.25001,34.5,84900,5.057807,-0.0036103960692
1985-10-14,34.5,34.74999,34.5,34.74999,34200,5.094456,0.00724608695652
1985-10-15,34.74999,34.875,34.25001,34.37499,120600,5.03948,-0.0107913700119
1985-10-16,34.37499,34.37499,33.99999,34.25001,53100,5.021157,-0.00363578287586
1985-10-17,34.875,35.49999,34.875,35.00001,375600,5.13111,0.00358451612903
1985-10-18,35.00001,35.00001,34.5,34.5,67800,5.057807,-0.0142859959183
1985-10-21,34.62501,35.00001,34.62501,34.74999,54000,5.094456,0.00360952964346
1985-10-22,34.74999,35.25,34.62501,35.00001,154800,5.13111,0.00719482221434
1985-10-23,35.00001,35.00001,34.62501,35.00001,224100,5.13111,0.0
1985-10-24,35.00001,35.00001,34.62501,34.875,101700,5.112783,-0.00357171326522
1985-10-25,34.875,35.00001,34.25001,34.74999,60900,5.094456,-0.00358451612903
1985-10-28,34.74999,34.74999,34.25001,34.25001,84600,5.021157,-0.0143879178095
1985-10-29,34.25001,34.875,34.25001,34.62501,32700,5.076134,0.0109489019127
1985-10-30,34.62501,34.875,34.37499,34.62501,405300,5.076134,0.0
1985-10-31,34.875,35.25,34.875,35.00001,134700,5.13111,0.00358451612903
1985-11-01,35.00001,35.37501,34.875,35.12499,437700,5.149432,0.00357085612261
1985-11-04,35.12499,35.625,35.12499,35.25,232500,5.167759,0.00355900457196
1985-11-05,35.12499,35.12499,34.74999,35.12499,89100,5.149432,0.0
1985-11-06,35.12499,35.25,34.74999,34.74999,122100,5.094456,-0.0106761596231
1985-11-07,34.74999,35.00001,34.74999,35.00001,135600,5.13111,0.00719482221434
1985-11-08,35.00001,35.49999,34.37499,35.49999,114000,5.204409,0.0142851387757
1985-11-11,35.49999,35.75001,35.00001,35.25,216600,5.167759,-0.00704197381464
1985-11-12,35.75001,36.50001,35.75001,36.0,248700,5.277712,0.00699272531672
1985-11-13,36.0,36.0,35.625,35.75001,142500,5.283626,-0.00694416666667
1985-11-14,35.75001,36.375,35.75001,36.375,144000,5.375996,0.0174822328721
1985-11-15,36.375,36.87501,36.0,36.50001,57900,5.394471,0.00343670103093
1985-11-18,36.50001,36.99999,36.12501,36.62499,196800,5.412943,0.00342410865093
1985-11-19,36.75,37.62501,36.75,37.5,113700,5.542264,0.0204081632653
1985-11-20,37.5,38.12499,37.37499,38.12499,47400,5.634633,0.0166664
1985-11-21,38.12499,39.24999,38.12499,39.24999,67800,5.800901,0.0295082044612
1985-11-22,39.24999,39.24999,38.87499,39.0,200100,5.763954,-0.00636917359724
1985-11-25,39.0,39.12501,38.37501,38.49999,80100,5.690056,-0.0128207692308
1985-11-26,38.49999,38.75001,38.25,38.37501,147600,5.671585,-0.00324623460941
1985-11-27,38.37501,38.625,37.875,38.625,221400,5.708532,0.00651439569657
1985-11-29,38.625,39.0,37.875,38.49999,122700,5.690056,-0.00323650485437
1985-12-02,38.49999,38.625,37.37499,37.875,46500,5.597686,-0.01623351071
1985-12-03,38.12499,38.625,38.12499,38.625,70800,5.708532,0.0131150198334
1985-12-04,38.625,39.87501,38.49999,39.62499,190800,5.856324,0.0258897087379
1985-12-05,39.62499,39.87501,39.24999,39.87501,50400,5.893275,0.00630965458919
1985-12-06,39.87501,40.25001,39.62499,40.25001,110100,5.948698,0.00940438635627
1985-12-09,40.25001,40.37499,39.50001,40.37499,257100,5.967169,0.00310509239625
1985-12-10,40.125,40.125,39.62499,39.99999,204600,5.911747,-0.00311551401869
1985-12-11,39.99999,41.625,39.99999,41.49999,89700,6.133437,0.037500009375
1985-12-12,41.49999,42.0,40.74999,40.74999,96900,6.022592,-0.0180722935114
1985-12-13,40.74999,41.12499,40.25001,40.74999,199200,6.022592,0.0
1985-12-16,40.74999,42.0,40.5,41.625,132900,6.151913,0.0214726433062
1985-12-17,41.625,42.0,41.49999,41.49999,60000,6.133437,-0.00300324324324
1985-12-18,41.49999,41.75001,41.12499,41.37501,282600,6.114966,-0.00301156699074
1985-12-19,41.49999,42.375,41.49999,41.625,95100,6.151913,0.00301228988248
1985-12-20,41.625,42.0,41.625,41.625,130800,6.151913,0.0
1985-12-23,41.49999,41.49999,40.5,40.62501,50700,6.00412,-0.0210838605021
1985-12-24,40.62501,40.74999,39.99999,40.25001,31500,5.948698,-0.00923076695858
1985-12-26,40.25001,40.62501,39.99999,39.99999,11100,5.911747,-0.00621167547536
1985-12-27,40.25001,41.37501,40.25001,41.37501,74100,6.114966,0.0279503036148
1985-12-30,41.37501,41.625,40.62501,41.49999,37200,6.133437,0.0030206639225
1985-12-31,41.49999,41.87499,41.12499,41.87499,79200,6.18886,0.0090361467557
1986-01-02,41.87499,42.0,41.00001,42.0,146700,6.207335,0.00298531414575
1986-01-03,42.0,42.75,41.87499,42.62499,42300,6.299705,0.0148807142857
1986-01-06,42.62499,42.75,42.375,42.75,39000,6.318181,0.0029327866118
1986-01-07,42.75,43.5,42.75,42.75,93900,6.318181,0.0
1986-01-08,42.75,43.25001,42.24999,42.24999,91800,6.244282,-0.0116961403509
1986-01-09,41.75001,41.75001,40.74999,41.625,218100,6.151913,-0.00299425077982
1986-01-10,41.625,42.24999,41.12499,41.12499,130800,6.078015,-0.0120122522523
1986-01-13,41.12499,42.50001,41.00001,42.24999,178800,6.244282,0.0273556297521
1986-01-14,42.12501,42.12501,41.625,41.625,51300,6.151913,-0.0118696707728
1986-01-15,41.75001,42.375,41.75001,41.75001,72600,6.170388,0.0
1986-01-16,41.75001,42.24999,41.625,42.24999,132000,6.244282,0.0119755659939
1986-01-17,42.24999,42.75,42.0,42.75,117300,6.318181,0.0118345590141
1986-01-20,42.75,43.5,42.375,43.5,135900,6.429026,0.0175438596491
1986-01-21,43.5,43.875,43.25001,43.25001,98700,6.392079,-0.00574689655172
1986-01-22,43.25001,43.25001,42.50001,42.50001,44700,6.281234,-0.0173410364529
1986-01-23,42.12501,42.12501,41.00001,41.49999,82500,6.133437,-0.0148372665075
1986-01-24,41.625,42.375,41.625,42.375,90900,6.262758,0.018018018018
1986-01-27,42.62499,43.74999,42.62499,43.25001,78900,6.392079,0.0146632292465
1986-01-28,43.5,44.25,43.5,44.25,160800,6.539871,0.0172413793103
1986-01-29,44.25,44.49999,42.99999,42.99999,95700,6.355128,-0.0282488135593
1986-01-30,42.99999,43.37499,42.62499,42.62499,60300,6.299705,-0.00872093226068
1986-01-31,42.62499,42.62499,42.375,42.62499,216600,6.299705,0.0
1986-02-03,42.62499,43.37499,42.50001,43.37499,217500,6.41055,0.0175953120458
1986-02-04,43.25001,43.25001,41.49999,42.24999,181500,6.244282,-0.0231218443649
1986-02-05,42.24999,43.5,42.24999,43.5,399600,6.429026,0.0295860425056
1986-02-06,43.62501,45.24999,43.62501,44.75001,381600,6.613769,0.0257879597048
1986-02-07,44.75001,46.25001,44.625,45.99999,95400,6.798509,0.0279325077246
1986-02-10,45.99999,46.37499,45.75,45.99999,60900,6.798509,0.0
1986-02-11,45.99999,46.37499,45.87501,45.99999,86100,6.841642,0.0
1986-02-12,45.99999,46.74999,45.75,46.37499,114600,6.897416,0.00815217568526
1986-02-13,46.37499,46.74999,46.125,46.5,66600,6.916009,0.00269563400445
1986-02-14,46.5,47.87499,46.5,47.87499,151200,7.120513,0.0295696774194
1986-02-18,47.87499,47.87499,47.37501,47.75001,158400,7.101925,-0.00261054884816
1986-02-19,47.37501,47.37501,46.5,46.875,167100,6.971783,-0.0105542985637
1986-02-20,46.875,47.00001,46.62501,47.00001,124800,6.990376,0.00266688
1986-02-21,47.00001,48.50001,46.875,48.50001,176400,7.213473,0.0319148868266
1986-02-24,48.50001,48.87501,47.12499,47.49999,159900,7.064739,-0.0206189648208
1986-02-25,47.49999,47.49999,47.00001,47.49999,109500,7.064739,0.0
1986-02-26,47.49999,48.24999,46.875,47.49999,269400,7.064739,0.0
1986-02-27,47.49999,47.625,46.875,47.49999,114900,7.064739,0.0
1986-02-28,47.49999,47.75001,46.74999,47.75001,109200,7.101925,0.00526358005549
1986-03-03,47.625,47.625,46.37499,46.5,82200,6.916009,-0.0236220472441
1986-03-04,46.5,46.5,45.50001,45.50001,334800,6.767279,-0.0215051612903
1986-03-05,45.50001,46.37499,45.375,46.37499,552600,6.897416,0.0192303254439
1986-03-06,46.37499,47.00001,45.99999,46.5,166800,6.916009,0.00269563400445
1986-03-07,46.5,46.74999,46.25001,46.74999,164100,6.953191,0.00537612903226
1986-03-10,47.00001,47.87499,47.00001,47.87499,67200,7.120513,0.0186165917837
1986-03-11,47.87499,48.50001,47.25,48.50001,91500,7.213473,0.0130552507687
1986-03-12,48.50001,50.00001,48.375,49.74999,98400,7.399385,0.0257727781912
1986-03-13,49.37499,49.37499,48.75,48.75,302100,7.250655,-0.0126580278801
1986-03-14,48.87501,49.74999,48.87501,49.74999,120000,7.399385,0.0179024004292
1986-03-17,49.74999,49.875,49.125,49.74999,159000,7.399385,0.0
1986-03-18,49.74999,50.12499,49.37499,50.00001,130200,7.43657,0.00502552864835
1986-03-19,50.00001,50.49999,49.875,50.12499,145800,7.455159,0.00249959950008
1986-03-20,50.12499,50.37501,49.5,49.62501,78900,7.380796,-0.0099746653316
1986-03-21,49.62501,50.75001,49.62501,50.75001,121800,7.548119,0.0226700206207
1986-03-24,50.75001,51.0,50.25,50.49999,55800,7.510933,-0.00492650149231
1986-03-25,50.49999,51.24999,50.00001,51.24999,71100,7.622482,0.0148514880894
1986-03-26,51.75,52.5,51.75,51.75,175500,7.696849,0.0
1986-03-27,51.75,52.37499,51.62499,51.99999,99600,7.73403,0.00483072463768
1986-03-31,50.87499,52.125,50.87499,51.12501,80400,7.603893,0.00491439900037
1986-04-01,51.12501,51.12501,49.25001,49.25001,146100,7.325022,-0.0366748094524
1986-04-02,49.25001,49.74999,48.75,49.37499,66000,7.343611,0.00253766445936
1986-04-03,49.37499,49.37499,46.875,47.00001,207000,6.990376,-0.0481008705014
1986-04-04,47.00001,47.25,45.75,46.25001,215400,6.878828,-0.0159574434133
1986-04-07,46.37499,47.75001,46.37499,46.875,120000,6.971783,0.0107818891174
1986-04-08,46.875,48.99999,46.5,48.99999,96600,7.287836,0.04533312
1986-04-09,49.25001,50.25,49.25001,49.5,169800,7.362203,0.00507593805565
1986-04-10,49.5,49.875,49.25001,49.5,75600,7.362203,0.0
1986-04-11,49.5,49.875,49.5,49.5,67500,7.362203,0.0
1986-04-14,49.5,49.74999,49.37499,49.37499,99600,7.343611,-0.00252545454545
1986-04-15,49.37499,49.62501,49.125,49.5,79800,7.362203,0.00253184861405
1986-04-16,49.5,49.5,48.99999,49.5,113700,7.362203,0.0
1986-04-17,49.5,50.87499,49.25001,50.87499,229500,7.566708,0.0277775757576
1986-04-18,50.87499,52.37499,49.5,51.50001,171000,7.659668,0.0122854078202
1986-04-21,51.50001,51.99999,50.75001,51.87501,99900,7.715442,0.00728155198416
1986-04-22,51.87501,53.12499,51.75,52.37499,483300,7.789805,0.00963816681674
1986-04-23,52.37499,54.375,51.75,54.0,238500,8.031495,0.031026449838
1986-04-24,54.0,54.50001,53.625,54.50001,182100,8.105862,0.00925944444444
1986-04-25,54.50001,55.74999,54.24999,55.5,804300,8.254592,0.0183484370003
1986-04-28,55.5,56.25,54.99999,55.25001,299400,8.21741,-0.00450432432432
1986-04-29,55.25001,55.74999,53.49999,54.50001,132900,8.105862,-0.0135746581765
1986-04-30,54.50001,54.99999,53.75001,54.0,74400,8.031495,-0.00917449372945
1986-05-01,53.75001,53.75001,51.75,52.37499,122700,7.789805,-0.0255817626825
1986-05-02,52.37499,52.875,52.125,52.37499,162600,7.789805,0.0
1986-05-05,52.37499,52.875,51.99999,52.37499,126600,7.789805,0.0
1986-05-06,52.37499,52.875,52.125,52.74999,84600,7.845579,0.00715990590165
1986-05-07,52.74999,54.75,52.74999,54.75,218700,8.143043,0.0379148887042
1986-05-08,54.75,56.00001,54.50001,54.87501,140700,8.161636,0.00228328767123
1986-05-09,54.87501,55.25001,54.24999,55.125,142500,8.198817,0.00455562559351
1986-05-12,55.125,55.25001,54.24999,54.99999,116700,8.180225,-0.00226775510204
1986-05-13,54.99999,55.25001,54.50001,54.87501,108000,8.161636,-0.00227236404952
1986-05-14,54.87501,55.25001,54.375,55.125,114600,8.242378,0.00455562559351
1986-05-15,55.125,55.5,54.75,54.87501,273900,8.204999,-0.00453496598639
1986-05-16,54.87501,55.125,53.87499,54.62499,93000,8.167616,-0.00455617229045
1986-05-19,54.62499,55.74999,54.24999,55.25001,205200,8.26107,0.0114420158246
1986-05-20,55.25001,56.75001,54.99999,56.49999,78300,8.447969,0.0226240683033
1986-05-21,56.49999,57.75,56.49999,57.0,74400,8.522731,0.0088497360796
1986-05-22,56.87499,56.87499,56.12499,56.625,117000,8.466661,-0.00439542934425
1986-05-23,56.625,57.50001,56.37501,57.24999,108900,8.56011,0.0110373509934
1986-05-27,57.24999,58.74999,57.24999,58.74999,105600,8.784393,0.026200877939
1986-05-28,58.74999,59.49999,58.5,59.49999,152100,8.896534,0.0127659596197
1986-05-29,59.49999,59.75001,59.00001,59.25,139200,8.859155,-0.00420151331118
1986-05-30,59.25,59.625,58.74999,59.25,237000,8.859155,0.0
1986-06-02,59.25,59.25,58.37499,58.37499,84600,8.728322,-0.0147681012658
1986-06-03,58.37499,58.37499,57.75,58.25001,36300,8.709635,-0.00214098537747
1986-06-04,58.125,58.125,57.375,57.62499,57600,8.616181,-0.00860232258065
1986-06-05,57.62499,58.37499,56.49999,58.37499,84900,8.728322,0.0130151866404
