Date,Open,High,Low,Close,Volume,Adj Close,Returns
1996-08-23,9.5,9.5,9.0,9.25,5035200,2.3125,
1996-08-26,9.25,9.25,9.125,9.25,590000,2.3125,0.0
1996-08-27,9.25,10.0,9.125,9.875,936800,2.46875,0.0675675675676
1996-08-28,10.0,11.0,9.75,10.25,766400,2.5625,0.025
1996-08-29,10.25,10.5,10.0,10.0,594400,2.5,-0.0243902439024
1996-08-30,10.0,10.0,9.375,9.75,178400,2.4375,-0.025
1996-09-03,9.75,9.75,8.75,9.125,329200,2.28125,-0.0641025641026
1996-09-04,9.0,9.5,9.0,9.5,162000,2.375,0.0555555555556
1996-09-05,9.5,9.5,9.0,9.125,132000,2.28125,-0.0394736842105
1996-09-06,8.875,9.125,8.75,9.0,190800,2.25,0.0140845070423
1996-09-09,9.25,10.125,9.25,9.5,254000,2.375,0.027027027027
1996-09-10,9.5,9.5,9.25,9.25,14400,2.3125,-0.0263157894737
1996-09-11,9.25,9.625,9.25,9.375,233600,2.34375,0.0135135135135
1996-09-12,9.375,10.0,9.375,9.375,32800,2.34375,0.0
1996-09-13,9.375,9.5,9.25,9.375,78800,2.34375,0.0
1996-09-16,9.25,9.5,9.25,9.375,146400,2.34375,0.0135135135135
1996-09-17,9.25,9.5,9.25,9.25,172400,2.3125,0.0
1996-09-18,9.5,9.5,9.0,9.0,88800,2.25,-0.0526315789474
1996-09-19,8.75,8.75,8.75,8.75,6000,2.1875,0.0
1996-09-20,9.125,9.375,9.0,9.125,15200,2.28125,0.0
1996-09-23,8.875,9.375,8.875,8.875,33600,2.21875,0.0
1996-09-24,8.875,9.375,8.75,8.75,214000,2.1875,-0.0140845070423
1996-09-25,9.25,9.375,9.0,9.375,60800,2.34375,0.0135135135135
1996-09-26,9.375,9.5,9.125,9.5,117200,2.375,0.0133333333333
1996-09-27,9.5,9.81248,9.25,9.375,106800,2.34375,-0.0131578947368
1996-09-30,9.75,9.75,9.125,9.125,46000,2.28125,-0.0641025641026
1996-10-01,9.25,9.25,8.75,8.75,46400,2.1875,-0.0540540540541
1996-10-02,9.125,9.125,8.875,9.125,58000,2.28125,0.0
1996-10-03,9.125,9.125,9.125,9.125,6800,2.28125,0.0
1996-10-04,9.125,9.125,8.75,8.875,60000,2.21875,-0.027397260274
1996-10-07,8.75,8.875,8.75,8.875,154000,2.21875,0.0142857142857
1996-10-08,8.75,9.25,8.75,8.75,290800,2.1875,0.0
1996-10-09,9.0,9.0,8.375,8.375,166000,2.09375,-0.0694444444444
1996-10-10,8.375,8.75,8.375,8.5,98000,2.125,0.0149253731343
1996-10-11,8.5,8.875,8.25,8.25,99200,2.0625,-0.0294117647059
1996-10-14,8.25,8.75,8.25,8.375,112800,2.09375,0.0151515151515
1996-10-15,8.75,8.75,8.375,8.5,99200,2.125,-0.0285714285714
1996-10-16,8.375,8.75,8.0,8.0,182800,2.0,-0.044776119403
1996-10-17,8.0,8.375,7.625,7.625,100000,1.90625,-0.046875
1996-10-18,8.0,8.25,7.875,8.25,163200,2.0625,0.03125
1996-10-21,8.25,8.25,8.0,8.125,66400,2.03125,-0.0151515151515
1996-10-22,8.25,8.25,7.875,7.875,43200,1.96875,-0.0454545454545
1996-10-23,7.875,8.25,7.875,8.25,13600,2.0625,0.047619047619
1996-10-24,8.25,8.25,7.75,7.75,52800,1.9375,-0.0606060606061
1996-10-25,8.0,8.0,7.75,8.0,288800,2.0,0.0
1996-10-28,7.875,8.0,7.75,7.875,74800,1.96875,0.0
1996-10-29,8.25,8.25,7.875,7.875,15200,1.96875,-0.0454545454545
1996-10-30,7.875,8.125,7.875,7.875,15600,1.96875,0.0
1996-10-31,8.25,8.25,7.375,7.375,2316000,1.84375,-0.106060606061
1996-11-01,7.625,7.75,7.5,7.625,234000,1.90625,0.0
1996-11-04,7.5,7.75,7.5,7.75,123200,1.9375,0.0333333333333
1996-11-05,7.75,7.75,7.75,7.75,0,1.9375,0.0
1996-11-06,7.75,8.0,7.5,7.75,50000,1.9375,0.0
1996-11-07,8.0,8.5,7.75,8.5,116000,2.125,0.0625
1996-11-08,8.625,8.75,8.25,8.25,9200,2.0625,-0.0434782608696
1996-11-11,8.75,8.75,8.375,8.5,14800,2.125,-0.0285714285714
1996-11-12,8.375,8.5,8.375,8.5,9200,2.125,0.0149253731343
1996-11-13,8.5,8.75,8.25,8.375,810000,2.09375,-0.0147058823529
1996-11-14,8.375,8.375,8.375,8.375,12000,2.09375,0.0
1996-11-15,8.375,8.375,8.25,8.25,53600,2.0625,-0.0149253731343
1996-11-18,8.625,8.75,8.0,8.5,774400,2.125,-0.0144927536232
1996-11-19,8.25,8.25,7.75,7.75,22400,1.9375,-0.0606060606061
1996-11-20,7.75,8.0,7.75,8.0,8000,2.0,0.0322580645161
1996-11-21,8.25,8.25,7.625,7.625,86400,1.90625,-0.0757575757576
1996-11-22,7.625,7.875,7.5,7.68752,23600,1.92188,0.0081993442623
1996-11-25,7.875,8.0,7.875,8.0,50400,2.0,0.015873015873
1996-11-26,7.75,8.0,7.75,8.0,4400,2.0,0.0322580645161
1996-11-27,7.75,8.0,7.75,7.75,27200,1.9375,0.0
1996-11-29,7.875,7.875,7.875,7.875,400,1.96875,0.0
1996-12-02,7.875,7.875,7.625,7.625,40800,1.90625,-0.031746031746
1996-12-03,7.625,7.75,7.25,7.75,50800,1.9375,0.016393442623
1996-12-04,7.75,8.125,7.5,8.0,25200,2.0,0.0322580645161
1996-12-05,7.625,7.75,7.625,7.75,58000,1.9375,0.016393442623
1996-12-06,7.75,7.75,7.75,7.75,0,1.9375,0.0
1996-12-09,7.375,7.375,7.375,7.375,24000,1.84375,0.0
1996-12-10,7.75,7.75,7.25,7.75,24400,1.9375,0.0
1996-12-11,7.25,7.5,7.0,7.06248,72000,1.76562,-0.0258648275862
1996-12-12,7.5,7.5,7.5,7.5,4400,1.875,0.0
1996-12-13,7.25,7.25,7.0,7.0,40000,1.75,-0.0344827586207
1996-12-16,7.0,7.375,7.0,7.125,140000,1.78125,0.0178571428571
