Date,Open,High,Low,Close,Volume,Adj Close,Returns
1989-12-07,48.999962,49.250038,48.0,48.500038,1550400,3.548728,
1989-12-08,48.0,48.0,47.499959,47.750041,3147600,3.493851,-0.00520747916667
1989-12-11,47.750041,47.750041,45.75,45.999959,3522000,3.365799,-0.0366509004673
1989-12-12,45.624959,45.75,43.250041,45.0,8536800,3.292632,-0.0136977438161
1989-12-13,45.0,46.250041,45.0,45.500041,3883200,3.32922,0.0111120222222
1989-12-14,44.750041,45.0,43.250041,44.499959,4324800,3.256044,-0.00558841946089
1989-12-15,45.500041,45.500041,42.999959,43.5,4028400,3.182878,-0.0439569054454
1989-12-18,43.749959,44.25,41.499959,42.500041,4743600,3.109711,-0.0285695810595
1989-12-19,42.249959,43.250041,41.750041,42.0,4917600,3.073123,-0.00591619509027
1989-12-20,42.249959,42.999959,41.750041,42.999959,2875200,3.14629,0.0177514965162
1989-12-21,43.250041,45.500041,42.75,45.0,4282800,3.292632,0.0404614414123
1989-12-22,45.0,45.500041,44.750041,45.249959,854400,3.310921,0.00555464444444
1989-12-26,45.75,46.250041,45.500041,46.125,868800,3.374948,0.00819672131148
1989-12-27,46.5,47.750041,46.5,47.750041,4851600,3.493851,0.0268826021505
1989-12-28,47.750041,48.0,47.499959,47.750041,5246400,3.493851,0.0
1989-12-29,47.750041,48.75,47.25,48.249962,3492000,3.53043,0.0104695407487
1990-01-02,48.249962,48.75,47.499959,48.75,3856800,3.567018,0.0103634900272
1990-01-03,48.999962,49.250038,47.25,47.499959,4083600,3.475553,-0.0306123298626
1990-01-04,46.749959,47.000041,45.75,46.5,5923200,3.402386,-0.00534672126664
1990-01-05,46.250041,46.625041,45.500041,45.999959,3644400,3.365799,-0.00540717358499
1990-01-08,45.999959,47.750041,45.75,47.25,2162400,3.457264,0.0271748285689
1990-01-09,48.0,48.0,46.749959,47.000041,3871200,3.438974,-0.0208324791667
1990-01-10,46.5,47.000041,46.250041,46.749959,3364800,3.420676,0.00537546236559
1990-01-11,47.000041,47.750041,46.749959,47.25,1318800,3.457264,0.0053182719564
1990-01-12,46.749959,47.000041,45.999959,46.250041,2371200,3.384097,-0.0106934425333
1990-01-15,45.999959,46.250041,43.749959,44.000041,2976000,3.219465,-0.0434765170117
