Date,Open,High,Low,Close,Volume,Adj Close,Returns
1986-07-09,55.375038,56.124962,55.375038,55.875038,232000,2.365459,
1986-07-10,56.124962,56.124962,55.375038,55.624962,715200,2.354872,-0.00890869200054
1986-07-11,55.5,55.624962,55.5,55.624962,152000,2.354872,0.00225156756757
1986-07-14,55.375038,55.5,54.75008,54.75008,598400,2.317834,-0.0112859155058
1986-07-15,54.624962,54.75008,54.0,54.24992,187200,2.29666,-0.00686576221325
1986-07-16,54.24992,54.624962,54.124962,54.624962,238400,2.312537,0.00691322678448
1986-07-17,54.375038,54.875038,54.24992,54.875038,1124800,2.323124,0.00919539587264
1986-07-18,55.0,55.75008,54.875038,55.5,364800,2.349582,0.00909090909091
1986-07-21,55.24992,55.375038,54.24992,54.24992,209600,2.29666,-0.0180995737188
1986-07-22,54.624962,55.0,54.5,54.75008,350400,2.317834,0.0022904912959
1986-07-23,54.875038,54.875038,54.624962,54.875038,192000,2.323124,0.0
1986-07-24,54.875038,54.875038,54.624962,54.624962,420800,2.312537,-0.00455719046609
1986-07-25,54.75008,54.875038,54.5,54.5,323200,2.307247,-0.00456766455866
1986-07-28,54.5,54.5,52.75008,52.875038,424000,2.238454,-0.0298158165138
1986-07-29,52.875038,52.875038,52.375038,52.375038,158400,2.217287,-0.00945625797943
1986-07-30,52.124962,52.24992,51.75008,52.0,235200,2.20141,-0.0023973542657
1986-07-31,51.875038,52.0,49.624962,49.75008,587200,2.10616,-0.0409630157765
1986-08-01,49.875038,49.875038,49.5,49.875038,41600,2.11145,0.0
1986-08-04,49.875038,49.875038,49.5,49.624962,238400,2.100863,-0.00501405131762
1986-08-05,49.5,49.5,48.375038,48.375038,321600,2.047948,-0.0227265050505
1986-08-06,24.5,25.25,24.25,25.12496,438400,2.12732,0.0255085714286
1986-08-07,25.0,25.0,24.75,25.0,294400,2.11674,0.0
1986-08-08,25.0,25.0,24.75,25.0,167200,2.11674,0.0
1986-08-11,25.0,25.0,24.75,25.0,329600,2.11674,0.0
1986-08-12,25.12496,25.5,24.87504,25.37504,444000,2.148495,0.00995344868211
1986-08-13,25.5,25.5,25.25,25.37504,608800,2.148495,-0.00490039215686
1986-08-14,25.37504,25.87504,25.25,25.87504,300800,2.190829,0.0197044024364
1986-08-15,25.87504,26.0,25.75,26.0,253600,2.20141,0.00482936451499
1986-08-18,26.0,26.0,25.37504,25.62496,339200,2.169655,-0.0144246153846
1986-08-19,25.62496,25.87504,25.5,25.75,795200,2.180242,0.00487961737306
1986-08-20,25.62496,25.75,25.5,25.75,296000,2.180242,0.00487961737306
1986-08-21,25.75,25.75,25.25,25.25,231200,2.137908,-0.0194174757282
1986-08-22,25.37504,25.62496,25.12496,25.62496,156800,2.169655,0.00984904851382
1986-08-25,25.62496,25.75,25.37504,25.62496,188000,2.169655,0.0
1986-08-26,25.62496,25.87504,25.5,25.75,254400,2.180242,0.00487961737306
1986-08-27,25.75,26.5,25.75,26.25,819200,2.222577,0.0194174757282
1986-08-28,26.0,26.37504,26.0,26.0,371200,2.20141,0.0
1986-08-29,25.87504,26.12496,25.87504,26.0,621600,2.20141,0.00482936451499
1986-09-02,26.12496,26.25,25.87504,26.0,192800,2.20141,-0.00478316521824
1986-09-03,26.0,26.12496,25.25,25.37504,171200,2.148495,-0.0240369230769
1986-09-04,25.25,25.37504,25.25,25.37504,315200,2.148495,0.00495207920792
1986-09-05,25.25,25.37504,24.25,24.5,8400000,2.074405,-0.029702970297
1986-09-08,24.5,24.5,22.87504,23.0,328800,1.947401,-0.0612244897959
1986-09-09,22.87504,23.37504,22.5,22.87504,820000,1.936821,0.0
1986-09-10,22.75,22.75,22.37504,22.5,341600,1.905066,-0.010989010989
1986-09-11,22.37504,22.5,21.0,21.0,523200,1.778062,-0.0614541918137
1986-09-12,21.12496,21.12496,19.25,20.62496,1635200,1.746307,-0.0236686838697
1986-09-15,20.62496,21.5,20.37504,20.75,640000,1.756894,0.00606255721223
1986-09-16,21.0,21.0,20.75,21.0,710400,1.778062,0.0
1986-09-17,21.0,22.12496,20.87504,22.12496,665600,1.873312,0.0535695238095
1986-09-18,22.0,22.62496,21.75,22.12496,335200,1.873312,0.00568
1986-09-19,22.25,22.25,21.75,22.12496,263200,1.873312,-0.0056197752809
1986-09-22,22.12496,24.75,22.12496,24.62496,1414400,2.084986,0.112994554566
1986-09-23,24.37504,24.62496,23.5,23.75,244000,2.010903,-0.0256426245865
1986-09-24,23.87504,24.12496,23.62496,24.0,412800,2.032071,0.0052339179327
1986-09-25,24.0,24.12496,22.87504,23.12496,753600,1.957981,-0.03646
1986-09-26,23.12496,23.12496,22.62496,22.62496,240000,1.915646,-0.0216216590212
1986-09-29,22.87504,22.87504,22.0,22.0,689600,1.862731,-0.0382530478635
1986-09-30,22.0,22.12496,21.75,21.87504,1217600,1.852151,-0.00568
1986-10-01,21.75,22.0,21.75,21.75,96800,1.841564,0.0
1986-10-02,21.87504,21.87504,21.37504,21.37504,446400,1.809816,-0.0228571010613
1986-10-03,21.62496,21.62496,21.25,21.25,1569600,1.799229,-0.017339222824
1986-10-06,21.5,21.75,21.25,21.75,1093600,1.841564,0.0116279069767
1986-10-07,21.5,21.75,20.75,21.12496,1636000,1.788642,-0.0174437209302
1986-10-08,21.0,21.12496,20.5,20.62496,883200,1.746307,-0.017859047619
1986-10-09,20.62496,21.0,20.5,21.0,919200,1.778062,0.0181837928413
1986-10-10,20.87504,21.62496,20.75,21.37504,244000,1.809816,0.0239520499122
