Date,Open,High,Low,Close,Volume,Adj Close,Returns
1992-03-17,18.87504,18.87504,18.50004,18.50004,156000,1.523079,
1992-03-18,18.75,19.25004,18.62496,19.25004,617600,1.584825,0.0266688
1992-03-19,19.5,19.74996,19.25004,19.62504,984000,1.615698,0.00641230769231
1992-03-20,19.37496,19.875,19.37496,19.875,260000,1.636277,0.0258085694112
1992-03-23,20.00004,20.37504,20.00004,20.00004,658400,1.646572,0.0
1992-03-24,20.00004,20.87496,20.00004,20.49996,230400,1.687729,0.0249959500081
1992-03-25,20.37504,20.75004,20.37504,20.625,388800,1.698024,0.0122679513758
1992-03-26,20.49996,20.625,20.49996,20.49996,116000,1.687729,0.0
1992-03-27,20.49996,20.49996,20.37504,20.37504,219200,1.677445,-0.00609367042667
1992-03-30,20.37504,20.49996,20.25,20.25,128000,1.66715,-0.0061369204674
1992-03-31,20.25,20.25,20.12496,20.25,81600,1.66715,0.0
1992-04-01,20.25,20.37504,20.00004,20.25,864800,1.66715,0.0
1992-04-02,20.37504,20.37504,20.12496,20.12496,146400,1.656856,-0.0122738409348
1992-04-03,20.37504,20.37504,20.00004,20.00004,135200,1.646572,-0.0184048718432
1992-04-06,20.25,20.25,19.62504,20.00004,92000,1.646572,-0.0123437037037
1992-04-07,20.00004,20.25,20.00004,20.00004,197600,1.646572,0.0
1992-04-08,19.74996,19.74996,19.125,19.37496,48800,1.59511,-0.0189873802276
1992-04-09,19.5,20.49996,19.25004,20.12496,142400,1.656856,0.0320492307692
1992-04-10,20.37504,20.37504,20.25,20.25,67200,1.66715,-0.0061369204674
1992-04-13,20.37504,22.25004,20.37504,22.25004,316800,1.831811,0.092024359216
1992-04-14,21.99996,23.37504,21.75,22.74996,472800,1.872968,0.0340909710745
1992-04-15,22.875,22.875,22.37496,22.5,226400,1.852389,-0.016393442623
1992-04-16,22.25004,22.25004,21.50004,21.87504,55200,1.800937,-0.0168539022851
1992-04-20,21.99996,21.99996,20.00004,20.75004,132000,1.708318,-0.0568146487539
1992-04-21,20.625,21.375,20.625,21.375,224000,1.75977,0.0363636363636
1992-04-22,21.12504,21.62496,21.0,21.50004,70400,1.770064,0.0177514456777
1992-04-23,21.50004,21.62496,21.24996,21.62496,230400,1.780349,0.00581022174842
1992-04-24,21.62496,22.125,21.62496,22.125,72000,1.821516,0.0231232797656
1992-04-27,21.87504,21.87504,21.87504,21.87504,800,1.800937,0.0
1992-04-28,21.87504,21.87504,21.75,21.87504,159200,1.800937,0.0
1992-04-29,21.87504,21.99996,21.75,21.99996,142400,1.811222,0.00571061812916
1992-04-30,21.99996,23.00004,21.99996,22.74996,413600,1.872968,0.0340909710745
1992-05-01,22.74996,23.37504,22.5,23.37504,484800,1.92443,0.0274760922657
1992-05-04,23.25,23.37504,23.00004,23.37504,159200,1.92443,0.00537806451613
1992-05-05,23.37504,23.37504,23.37504,23.37504,0,1.92443,0.0
1992-05-06,24.999959,24.999959,24.249959,24.249959,187200,1.996461,-0.0300000492001
