Date,Open,High,Low,Close,Volume,Adj Close,Returns
1990-03-26,20.24992,20.24992,19.75008,19.75008,27200,0.913485,
1990-03-27,20.24992,20.24992,19.75008,19.75008,363200,0.913485,-0.0246835543054
1990-03-28,19.75008,20.24992,19.24992,19.24992,678400,0.890351,-0.025324454382
1990-03-29,20.0,20.0,19.5,19.62496,233600,0.907698,-0.018752
1990-03-30,19.5,20.0,19.5,20.0,139200,0.925044,0.025641025641
1990-04-02,19.75008,20.0,19.75008,19.75008,118400,0.913485,0.0
1990-04-03,20.24992,20.24992,19.75008,19.75008,830400,0.913485,-0.0246835543054
1990-04-04,20.0,20.0,19.75008,20.0,243200,0.925044,0.0
1990-04-05,20.0,20.0,20.0,20.0,24000,0.925044,0.0
1990-04-06,20.0,20.24992,20.0,20.0,518400,0.925044,0.0
1990-04-09,20.24992,20.24992,19.75008,20.0,211200,0.925044,-0.0123417771527
1990-04-10,19.75008,19.75008,18.5,19.75008,1732800,0.913485,0.0
1990-04-11,20.0,20.0,19.75008,19.75008,75200,0.913485,-0.012496
1990-04-12,20.0,20.0,19.75008,19.75008,243200,0.913485,-0.012496
1990-04-16,20.24992,20.24992,19.24992,19.24992,171200,0.890351,-0.0493829111424
1990-04-17,19.24992,19.75008,19.0,19.24992,521600,0.890351,0.0
1990-04-18,19.5,19.5,19.0,19.0,38400,0.878792,-0.025641025641
1990-04-19,19.0,19.5,19.0,19.24992,968000,0.890351,0.0131536842105
1990-04-20,19.24992,19.5,19.0,19.24992,470400,0.890351,0.0
1990-04-23,18.87504,19.24992,18.75008,18.75008,774400,0.867233,-0.00662038332104
1990-04-24,19.0,19.0,19.0,19.0,35200,0.878792,0.0
1990-04-25,19.0,19.24992,19.0,19.24992,153600,0.890351,0.0131536842105
1990-04-26,19.12496,19.24992,19.0,19.24992,94400,0.890351,0.00653386987476
1990-04-27,19.24992,20.0,19.24992,19.75008,705600,0.913485,0.0259824456413
1990-04-30,20.0,20.24992,19.75008,20.24992,80000,0.936604,0.012496
1990-05-01,20.0,20.24992,20.0,20.0,163200,0.925044,0.0
1990-05-02,20.24992,20.24992,20.0,20.0,113600,0.925044,-0.0123417771527
1990-05-03,20.37504,20.75008,20.24992,20.75008,332800,0.959737,0.0184068350295
1990-05-04,20.75008,21.0,20.75008,21.0,67200,0.971296,0.0120442909136
1990-05-07,20.87504,21.0,20.87504,21.0,84800,0.971296,0.00598609631407
1990-05-08,20.87504,21.0,20.75008,20.75008,121600,0.959737,-0.00598609631407
1990-05-09,21.0,21.0,20.75008,21.0,160000,0.971296,0.0
1990-05-10,20.75008,21.0,20.62496,20.87504,233600,0.965517,0.00602214545679
1990-05-11,21.24992,21.5,21.0,21.5,1302400,0.994423,0.0117685148932
1990-05-14,21.5,22.5,21.0,22.5,488000,1.040675,0.046511627907
1990-05-15,22.24992,23.0,22.24992,23.0,739200,1.063801,0.0337115818843
1990-05-16,23.0,23.24992,22.75008,23.0,1108800,1.063801,0.0
1990-05-17,23.0,23.0,22.5,22.5,124800,1.040675,-0.0217391304348
1990-05-18,22.5,23.24992,22.5,22.87504,550400,1.058021,0.0166684444444
1990-05-21,22.75008,24.75008,22.75008,24.24992,1976000,1.121612,0.0659268011365
1990-05-22,24.24992,24.24992,23.0,24.0,1502400,1.110053,-0.0103060133807
1990-05-23,24.0,24.0,23.5,23.5,67200,1.086927,-0.0208333333333
1990-05-24,23.5,24.24992,23.5,24.0,206400,1.110053,0.0212765957447
1990-05-25,23.0,23.75008,22.5,23.75008,308800,1.098494,0.032612173913
1990-05-29,23.75008,24.75008,23.75008,24.24992,366400,1.121612,0.0210458238456
1990-05-30,25.0,25.0,24.0,24.5,244800,1.133179,-0.02
1990-05-31,24.5,24.5,23.75008,23.75008,166400,1.098494,-0.0306089795918
1990-06-01,24.0,24.0,23.24992,23.24992,17600,1.07536,-0.0312533333333
1990-06-04,23.24992,23.5,23.0,23.5,44800,1.086927,0.0107561660427
1990-06-05,23.5,23.5,22.87504,23.0,462400,1.063801,-0.0212765957447
1990-06-06,22.75008,23.24992,22.5,23.24992,155200,1.07536,0.0219709117506
1990-06-07,23.75008,25.0,23.24992,23.5,1331200,1.086927,-0.0105296487422
1990-06-08,23.5,23.75008,23.0,23.37504,782400,1.081147,-0.00531744680851
1990-06-11,23.5,24.0,22.75008,23.5,1249600,1.086927,0.0
1990-06-12,23.5,23.5,23.5,23.5,17600,1.086927,0.0
1990-06-13,24.0,24.0,23.5,23.75008,62400,1.098494,-0.0104133333333
1990-06-14,24.0,24.0,24.0,24.0,17600,1.110053,0.0
1990-06-15,23.5,24.75008,23.5,24.24992,592000,1.121612,0.0319114893617
1990-06-18,24.75008,24.75008,23.75008,23.75008,185600,1.098494,-0.0404039098055
1990-06-19,23.5,24.0,23.24992,24.0,814400,1.110053,0.0212765957447
1990-06-20,24.24992,24.24992,24.0,24.0,177600,1.110053,-0.0103060133807
1990-06-21,24.24992,24.5,24.0,24.0,172800,1.110053,-0.0103060133807
1990-06-22,24.5,24.5,24.0,24.5,113600,1.133179,0.0
1990-06-25,24.75008,25.0,24.5,24.75008,200000,1.144746,0.0
1990-06-26,25.24992,25.75008,25.0,25.0,235200,1.156305,-0.00989785314171
1990-06-27,25.0,25.5,24.75008,24.75008,256000,1.144746,-0.0099968
1990-06-28,25.24992,25.24992,25.24992,25.24992,64000,1.167865,0.0
1990-06-29,25.24992,26.0,24.75008,25.75008,299200,1.190998,0.0198083795909
1990-07-02,26.0,26.75008,25.75008,26.5,971200,1.225684,0.0192307692308
1990-07-03,26.75008,27.5,26.24992,27.5,227200,1.271936,0.0280343086824
1990-07-05,27.5,27.62496,27.0,27.12496,772800,1.254589,-0.0136378181818
1990-07-06,27.0,27.0,26.75008,26.75008,80000,1.23725,-0.0092562962963
1990-07-09,26.75008,26.75008,25.75008,26.24992,388800,1.214117,-0.0186975141757
1990-07-10,25.75008,26.0,25.24992,25.5,812800,1.179431,-0.00971181448757
1990-07-11,25.5,26.24992,25.24992,26.24992,803200,1.214117,0.029408627451
1990-07-12,26.24992,26.24992,25.75008,26.24992,240000,1.214117,0.0
1990-07-13,26.24992,26.24992,25.75008,26.24992,168000,1.214117,0.0
1990-07-16,26.24992,26.5,26.0,26.5,555200,1.225684,0.00952688617718
1990-07-17,26.0,26.5,26.0,26.5,110400,1.225684,0.0192307692308
1990-07-18,26.5,26.5,26.5,26.5,3200,1.225684,0.0
1990-07-19,26.24992,26.24992,26.0,26.24992,32000,1.214117,0.0
1990-07-20,26.24992,26.5,26.0,26.0,32000,1.202558,-0.00952079092051
