Date,Open,High,Low,Close,Volume,Adj Close,Returns
1984-07-19,59.750038,59.874962,59.375038,59.375038,934800,1.128112,
1984-07-20,59.625,60.0,59.25,59.499962,1557600,1.130485,-0.00209707337526
1984-07-23,59.25,59.750038,58.749962,59.499962,3313200,1.130485,0.00421876793249
1984-07-24,59.750038,60.375,59.625,60.0,1549200,1.139986,0.00418346177453
1984-07-25,60.0,61.374962,59.874962,60.75,1828800,1.154236,0.0125
1984-07-26,60.75,62.000038,60.375,60.500038,4942800,1.149486,-0.00411460082305
1984-07-27,60.375,60.375,59.874962,59.874962,1039200,1.13761,-0.00828220289855
1984-07-30,59.750038,60.249962,59.499962,59.874962,1165200,1.13761,0.00209077691298
1984-07-31,59.874962,60.75,59.750038,60.75,1059600,1.154236,0.0146144226363
1984-08-01,60.500038,62.25,60.375,62.25,2842800,1.182735,0.0289249735678
1984-08-02,62.000038,64.875,60.500038,64.250038,3843600,1.220735,0.0362903003382
1984-08-03,63.999962,64.749962,63.249962,63.75,3099600,1.211235,-0.00390565856898
1984-08-06,63.500038,63.500038,62.000038,62.000038,2974800,1.177986,-0.0236220331081
1984-08-07,61.875,62.750038,61.749962,62.000038,3500400,1.177986,0.00202081616162
1984-08-08,62.124962,62.375038,61.749962,61.749962,2011200,1.173235,-0.006036220996
1984-08-09,61.875,62.750038,61.749962,62.375038,1474800,1.185111,0.00808142222222
1984-08-10,62.499962,63.249962,62.499962,62.750038,2324400,1.192236,0.00400121843274
1984-08-13,62.750038,62.874962,62.25,62.750038,1255200,1.192236,0.0
1984-08-14,62.499962,63.0,62.499962,62.625,1123200,1.18986,0.00200060921637
1984-08-15,62.375038,63.125038,62.25,62.499962,1593600,1.187484,0.00200278835902
1984-08-16,62.25,63.0,62.124962,62.750038,748800,1.192236,0.00803273895582
1984-08-17,62.874962,63.249962,62.25,62.750038,841200,1.192236,-0.00198686402387
1984-08-20,62.750038,63.624962,62.750038,63.624962,1508400,1.208859,0.0139430035086
1984-08-21,63.375,64.749962,63.249962,64.374962,2520000,1.223109,0.0157784930966
1984-08-22,64.125,64.5,63.999962,64.250038,916800,1.220735,0.00194991033138
1984-08-23,63.999962,64.125,63.75,63.875038,1303200,1.213611,-0.00195193865896
1984-08-24,63.875038,63.875038,63.500038,63.624962,3434400,1.208859,-0.0039150818196
1984-08-27,63.375,63.75,63.125038,63.375,800400,1.20411,0.0
1984-08-28,63.375,63.75,63.375,63.500038,672000,1.206486,0.00197298619329
1984-08-29,63.500038,63.875038,63.500038,63.500038,1238400,1.206486,0.0
1984-08-30,63.249962,63.500038,63.125038,63.375,860400,1.20411,0.00197688656319
1984-08-31,63.249962,63.500038,63.249962,63.500038,1142400,1.206486,0.00395377312638
1984-09-04,63.375,63.500038,63.125038,63.249962,488400,1.201734,-0.00197298619329
1984-09-05,63.0,63.125038,62.750038,62.750038,1646400,1.192236,-0.00396765079365
1984-09-06,63.125038,63.75,63.0,63.500038,9136800,1.206486,0.00594059048329
1984-09-07,63.624962,63.75,63.249962,63.249962,850800,1.201734,-0.00589391314686
1984-09-10,63.0,63.624962,62.874962,63.500038,5924400,1.206486,0.00793711111111
1984-09-11,63.125038,63.375,63.125038,63.125038,4959600,1.199361,0.0
1984-09-12,63.125038,63.500038,63.125038,63.375,520800,1.20411,0.00395979167569
1984-09-13,63.624962,64.250038,63.249962,63.999962,8888400,1.215984,0.00589391314686
1984-09-14,64.5,64.625038,64.125,64.374962,1719600,1.223109,-0.00193857364341
1984-09-17,64.125,64.625038,63.875038,64.250038,8122800,1.220735,0.00194991033138
1984-09-18,64.374962,64.5,64.125,64.125,1195200,1.21836,-0.00388290714642
1984-09-19,64.125,65.375038,63.999962,64.875,10376400,1.23261,0.0116959064327
1984-09-20,64.875,65.874962,64.749962,65.375038,4149600,1.24211,0.00770771483622
1984-09-21,65.375038,66.0,65.375038,65.625,17424000,1.246859,0.00382350829379
