Date,Open,High,Low,Close,Volume,Adj Close,Returns
1984-10-29,28.375,28.5,28.25,28.25,6184000,1.345805,
1984-10-30,28.125,28.375,28.0,28.375,335600,1.35176,0.00888888888889
1984-10-31,28.375,28.375,28.125,28.25,65600,1.345805,-0.00440528634361
1984-11-01,28.375,28.5,28.25,28.5,62400,1.357715,0.00440528634361
1984-11-02,28.5,28.625,28.375,28.5,504800,1.357715,0.0
1984-11-05,28.25,28.625,28.25,28.5,222000,1.357715,0.00884955752212
1984-11-06,28.75,28.75,28.625,28.625,136400,1.36367,-0.00434782608696
1984-11-07,28.75,28.75,28.125,28.5,178800,1.357715,-0.00869565217391
1984-11-08,28.375,28.625,28.375,28.625,44400,1.36367,0.00881057268722
1984-11-09,28.5,28.5,28.0,28.5,148400,1.357715,0.0
1984-11-12,28.25,28.625,28.25,28.625,86800,1.36367,0.0132743362832
1984-11-13,28.625,28.625,28.25,28.625,104800,1.36367,0.0
1984-11-14,28.375,28.5,28.125,28.375,120000,1.35176,0.0
1984-11-15,27.75,27.75,27.125,27.75,402000,1.321986,0.0
1984-11-16,27.75,28.0,27.5,28.0,212000,1.333895,0.00900900900901
1984-11-19,27.75,27.75,27.375,27.75,123200,1.321986,0.0
1984-11-20,27.625,27.625,27.375,27.625,180400,1.316031,0.0
1984-11-21,27.375,27.625,27.125,27.625,140400,1.316031,0.00913242009132
1984-11-23,27.5,27.75,27.25,27.5,133200,1.310076,0.0
1984-11-26,27.625,27.75,27.375,27.625,145600,1.316031,0.0
1984-11-27,27.375,27.5,27.375,27.5,536800,1.310076,0.00456621004566
1984-11-28,27.5,27.75,27.5,27.75,255200,1.321986,0.00909090909091
1984-11-29,27.875,27.875,27.625,27.875,57200,1.32794,0.0
1984-11-30,27.875,28.0,27.625,28.0,130000,1.333895,0.00448430493274
1984-12-03,28.0,28.0,27.75,28.0,170400,1.333895,0.0
1984-12-04,27.75,27.875,27.625,27.875,144000,1.32794,0.0045045045045
1984-12-05,27.875,27.875,27.5,27.75,153200,1.321986,-0.00448430493274
1984-12-06,27.75,27.875,27.375,27.625,84800,1.316031,-0.0045045045045
1984-12-07,27.625,27.625,27.375,27.5,267600,1.310076,-0.00452488687783
1984-12-10,27.625,28.0,27.5,27.875,204400,1.32794,0.00904977375566
1984-12-11,28.0,28.25,27.875,27.875,338800,1.32794,-0.00446428571429
1984-12-12,27.875,28.0,27.75,27.875,565600,1.32794,0.0
1984-12-13,27.875,27.875,27.125,27.75,71600,1.321986,-0.00448430493274
1984-12-14,27.875,28.125,27.75,28.125,325200,1.33985,0.00896860986547
1984-12-17,28.125,28.25,28.0,28.25,186800,1.345805,0.00444444444444
1984-12-18,28.375,29.0,28.375,29.0,238800,1.381534,0.0220264317181
1984-12-19,28.875,29.25,28.875,29.25,312000,1.393444,0.012987012987
1984-12-20,29.25,29.625,29.25,29.625,63200,1.411309,0.0128205128205
1984-12-21,29.625,30.5,29.5,30.5,110800,1.452993,0.0295358649789
1984-12-24,30.25,30.25,29.875,30.0,96000,1.429174,-0.00826446280992
1984-12-26,30.0,30.0,29.75,29.75,18000,1.417264,-0.00833333333333
1984-12-27,29.75,30.0,29.75,30.0,56400,1.429174,0.00840336134454
1984-12-28,30.25,30.25,29.875,29.875,43200,1.423219,-0.0123966942149
1984-12-31,29.75,30.0,29.625,29.75,57200,1.417264,0.0
1985-01-02,30.0,30.0,29.75,29.875,78400,1.423219,-0.00416666666667
1985-01-03,29.75,29.75,29.5,29.75,271200,1.417264,0.0
1985-01-04,29.75,29.75,29.5,29.625,96800,1.411309,-0.00420168067227
1985-01-07,29.75,29.875,29.5,29.875,92400,1.423219,0.00420168067227
1985-01-08,29.625,29.875,29.625,29.875,357200,1.423219,0.0084388185654
1985-01-09,30.0,30.25,29.875,30.25,261600,1.441083,0.00833333333333
1985-01-10,30.125,30.625,30.125,30.5,57200,1.452993,0.0124481327801
1985-01-11,30.625,30.625,30.5,30.5,145600,1.452993,-0.00408163265306
1985-01-14,30.5,31.0,30.5,30.75,61600,1.464903,0.00819672131148
1985-01-15,30.75,30.875,30.625,30.875,63200,1.470858,0.00406504065041
1985-01-16,30.625,30.875,30.625,30.75,83600,1.464903,0.00408163265306
1985-01-17,30.75,30.75,30.625,30.625,52800,1.458948,-0.00406504065041
1985-01-18,30.75,31.25,30.75,31.125,298800,1.482768,0.0121951219512
1985-01-21,31.125,31.375,31.125,31.125,98800,1.482768,0.0
1985-01-22,31.25,31.5,31.25,31.5,127600,1.500632,0.008
1985-01-23,31.5,31.625,31.25,31.375,2562400,1.494677,-0.00396825396825
1985-01-24,31.25,31.5,31.25,31.375,782800,1.494677,0.004
1985-01-25,31.375,31.5,31.25,31.5,311600,1.500632,0.00398406374502
1985-01-28,30.75,30.75,30.375,30.625,169200,1.484874,-0.00406504065041
1985-01-29,30.375,30.75,30.375,30.625,251200,1.484874,0.0082304526749
1985-01-30,30.75,30.875,30.75,30.875,207200,1.496996,0.00406504065041
1985-01-31,30.625,30.875,30.5,30.625,348000,1.484874,0.0
1985-02-01,30.75,30.875,30.625,30.625,108400,1.484874,-0.00406504065041
1985-02-04,30.75,30.75,30.5,30.5,182000,1.478814,-0.00813008130081
1985-02-05,30.5,30.625,30.5,30.5,246000,1.478814,0.0
1985-02-06,30.375,30.5,30.25,30.25,142400,1.466692,-0.00411522633745
1985-02-07,30.125,30.25,29.875,30.125,101600,1.460632,0.0
1985-02-08,30.125,30.125,29.75,30.0,199200,1.454571,-0.00414937759336
1985-02-11,30.0,30.0,29.375,29.5,522000,1.430328,-0.0166666666667
1985-02-12,29.5,29.5,29.125,29.375,923200,1.424267,-0.00423728813559
1985-02-13,29.375,29.625,29.25,29.5,158000,1.430328,0.00425531914894
1985-02-14,29.625,29.625,29.0,29.25,1166800,1.418207,-0.0126582278481
1985-02-15,28.75,28.875,28.5,28.625,466000,1.387903,-0.00434782608696
