Date,Open,High,Low,Close,Volume,Adj Close,Returns
1988-01-05,16.5,16.87504,16.5,16.87504,878400,0.428876,
1988-01-06,17.12496,18.0,17.12496,18.0,976000,0.457467,0.0510973456288
1988-01-07,17.87504,17.87504,17.24992,17.37504,1220800,0.441583,-0.0279719653774
1988-01-08,17.5,17.62496,16.5,16.5,508800,0.419344,-0.0571428571429
1988-01-11,16.5,16.5,16.0,16.0,371200,0.406637,-0.030303030303
1988-01-12,16.24992,16.24992,15.62496,15.75008,171200,0.400285,-0.0307595360469
1988-01-13,15.5,15.75008,15.5,15.75008,89600,0.400285,0.0161341935484
1988-01-14,15.5,15.75008,15.5,15.5,672000,0.39393,0.0
1988-01-15,15.75008,15.75008,15.12496,15.12496,374400,0.384398,-0.0396899571304
1988-01-18,15.0,15.0,15.0,15.0,376000,0.381222,0.0
1988-01-19,15.0,15.24992,15.0,15.0,75200,0.381222,0.0
1988-01-20,15.0,15.24992,15.0,15.12496,54400,0.384398,0.00833066666667
1988-01-21,15.12496,15.12496,14.87504,14.87504,1262400,0.378046,-0.0165236800626
1988-01-22,14.87504,15.0,14.87504,15.0,20800,0.381222,0.00840064967893
1988-01-25,15.24992,15.37504,15.24992,15.37504,60800,0.390754,0.00820463320463
1988-01-26,15.37504,15.87504,15.37504,15.87504,289600,0.403461,0.0325202405977
1988-01-27,16.0,16.0,16.0,16.0,24000,0.406637,0.0
1988-01-28,15.75008,16.62496,15.62496,16.62496,297600,0.42252,0.0555476543611
1988-01-29,16.62496,16.87504,16.62496,16.87504,17600,0.428876,0.0150424422074
1988-02-01,17.0,18.0,17.0,17.62496,425600,0.447935,0.0367623529412
1988-02-02,17.5,17.62496,17.37504,17.62496,299200,0.447935,0.00714057142857
1988-02-03,17.5,17.87504,17.5,17.87504,201600,0.499649,0.0214308571429
1988-02-04,18.0,18.75008,18.0,18.12496,640000,0.506635,0.00694222222222
1988-02-05,18.12496,18.12496,17.87504,17.87504,11200,0.499649,-0.0137887200855
1988-02-08,17.24992,17.24992,17.0,17.0,308800,0.47519,-0.0144881831336
1988-02-09,17.12496,17.24992,17.12496,17.24992,64000,0.482176,0.00729695135054
1988-02-10,17.24992,17.5,17.24992,17.5,176000,0.489166,0.0144974585389
1988-02-11,17.24992,17.5,17.12496,17.24992,454400,0.482176,0.0
1988-02-12,17.0,17.12496,16.87504,17.0,3340800,0.47519,0.0
1988-02-16,17.24992,17.24992,17.0,17.0,396800,0.47519,-0.0144881831336
1988-02-17,17.24992,17.5,17.0,17.12496,163200,0.478683,-0.0072440915668
1988-02-18,17.12496,17.12496,16.75008,16.75008,84800,0.468204,-0.0218908540516
1988-02-19,16.75008,17.0,16.75008,17.0,561600,0.47519,0.0149205257527
1988-02-22,16.87504,17.24992,16.75008,17.12496,275200,0.478683,0.0148100389688
1988-02-23,17.24992,17.5,17.12496,17.5,139200,0.489166,0.0144974585389
1988-02-24,17.75008,18.24992,17.75008,18.24992,532800,0.510128,0.0281598730823
1988-02-25,18.24992,19.0,18.24992,18.62496,1380800,0.520611,0.0205502270695
1988-02-26,18.87504,18.87504,18.5,18.5,705600,0.517118,-0.0198696267664
1988-02-29,18.75008,19.12496,18.75008,19.12496,515200,0.534587,0.0199935146943
1988-03-01,19.12496,19.24992,19.0,19.0,209600,0.531094,-0.00653386987476
1988-03-02,19.0,19.24992,18.37504,18.62496,1294400,0.520611,-0.0197389473684
1988-03-03,18.37504,18.37504,17.75008,17.87504,827200,0.499649,-0.0272108251193
1988-03-04,17.75008,17.75008,17.5,17.62496,868800,0.492659,-0.00704898231445
1988-03-07,17.5,17.5,17.37504,17.5,401600,0.489166,0.0
1988-03-08,17.75008,17.75008,17.75008,17.75008,102400,0.496156,0.0
1988-03-09,17.75008,17.75008,17.62496,17.75008,208000,0.496156,0.0
1988-03-10,17.62496,17.62496,17.5,17.5,49600,0.489166,-0.00708994516867
1988-03-11,17.5,17.75008,17.5,17.5,195200,0.489166,0.0
1988-03-14,17.75008,17.75008,17.5,17.62496,214400,0.492659,-0.00704898231445
1988-03-15,17.62496,18.0,17.62496,17.87504,379200,0.499649,0.0141889683721
1988-03-16,17.87504,18.0,17.87504,17.87504,222400,0.499649,0.0
1988-03-17,17.87504,18.24992,17.87504,18.24992,254400,0.510128,0.0209722607614
1988-03-18,18.37504,18.62496,18.37504,18.37504,104000,0.513625,0.0
1988-03-21,18.5,18.5,17.87504,18.0,742400,0.503142,-0.027027027027
1988-03-22,18.0,18.12496,17.87504,17.87504,548800,0.499649,-0.00694222222222
1988-03-23,18.0,18.12496,17.87504,17.87504,382400,0.499649,-0.00694222222222
1988-03-24,17.87504,18.12496,17.75008,17.75008,1016000,0.496156,-0.00699075358712
1988-03-25,17.87504,17.87504,17.5,17.5,56000,0.489166,-0.0209812117903
