Date,Open,High,Low,Close,Volume,Adj Close,Returns
1986-07-09,43.5,44.25,43.5,43.75,1478000,4.650679,
1986-07-10,44.0,44.5,43.875,44.25,589200,4.70383,0.00568181818182
1986-07-11,44.25,44.25,43.75,44.0,320400,4.677254,-0.00564971751412
1986-07-14,43.75,44.0,43.0,43.0,434000,4.570953,-0.0171428571429
1986-07-15,43.25,43.5,41.25,41.25,741600,4.384926,-0.0462427745665
1986-07-16,41.25,42.25,41.25,42.0,606400,4.464652,0.0181818181818
1986-07-17,42.5,43.25,42.25,43.0,584000,4.570953,0.0117647058824
1986-07-18,43.0,43.5,42.75,42.75,246800,4.544378,-0.00581395348837
1986-07-21,43.25,43.25,42.75,42.75,168000,4.544378,-0.0115606936416
1986-07-22,42.75,43.5,42.75,43.25,286400,4.597528,0.0116959064327
1986-07-23,43.25,43.5,43.0,43.0,480000,4.570953,-0.00578034682081
1986-07-24,43.25,43.75,43.0,43.0,516800,4.570953,-0.00578034682081
1986-07-25,42.75,43.25,42.75,43.0,288800,4.570953,0.00584795321637
1986-07-28,43.0,43.0,42.0,42.0,512400,4.464652,-0.0232558139535
1986-07-29,42.0,42.0,41.25,41.25,363600,4.384926,-0.0178571428571
1986-07-30,41.25,41.75,40.5,41.25,1024800,4.384926,0.0
1986-07-31,41.25,41.25,38.5,40.25,3426000,4.278625,-0.0242424242424
1986-08-01,40.0,41.0,40.0,40.5,1432400,4.3052,0.0125
1986-08-04,40.5,41.25,39.25,39.5,812400,4.198899,-0.0246913580247
1986-08-05,39.5,40.25,39.5,39.75,990000,4.225474,0.00632911392405
1986-08-06,40.0,40.0,38.5,39.5,1485600,4.198899,-0.0125
1986-08-07,39.0,39.5,39.0,39.25,1701200,4.172323,0.00641025641026
1986-08-08,39.25,40.0,37.75,38.25,2858400,4.066022,-0.0254777070064
1986-08-11,38.5,39.5,38.25,38.625,1228800,4.105885,0.00324675324675
1986-08-12,39.0,39.0,37.5,38.25,2822800,4.066022,-0.0192307692308
1986-08-13,38.25,39.75,38.0,39.5,4560000,4.198899,0.0326797385621
1986-08-14,39.0,39.75,39.0,39.5,2767600,4.198899,0.0128205128205
1986-08-15,39.5,40.5,39.375,40.5,1017200,4.3052,0.0253164556962
1986-08-18,40.5,40.75,39.75,40.0,765200,4.252049,-0.0123456790123
1986-08-19,40.0,40.0,38.75,39.5,1069600,4.198899,-0.0125
1986-08-20,39.5,39.75,39.25,39.5,625600,4.198899,0.0
1986-08-21,39.75,39.875,39.0,39.25,1936800,4.172323,-0.0125786163522
1986-08-22,39.5,39.75,39.25,39.75,583600,4.225474,0.00632911392405
1986-08-25,39.75,39.75,38.75,38.75,627200,4.119173,-0.0251572327044
1986-08-26,39.25,40.25,39.0,40.25,1796800,4.278625,0.0254777070064
1986-08-27,40.5,41.75,40.0,41.5,1865200,4.411501,0.0246913580247
1986-08-28,41.75,43.0,41.5,42.75,1195200,4.544378,0.0239520958084
1986-08-29,42.75,43.0,42.25,43.0,1402400,4.570953,0.00584795321637
1986-09-02,43.0,43.5,42.75,42.75,1400000,4.544378,-0.00581395348837
1986-09-03,42.5,42.625,41.75,42.0,1788800,4.464652,-0.0117647058824
1986-09-04,42.25,42.5,42.0,42.5,1042800,4.517802,0.00591715976331
1986-09-05,42.25,42.5,41.125,41.25,2570800,4.384926,-0.0236686390533
1986-09-08,41.0,41.0,39.25,39.25,1161600,4.172323,-0.0426829268293
1986-09-09,39.75,40.5,39.5,40.0,2043200,4.252049,0.0062893081761
1986-09-10,40.0,40.25,39.75,40.25,826400,4.278625,0.00625
1986-09-11,40.125,40.25,38.5,38.5,1991200,4.092597,-0.0404984423676
1986-09-12,38.5,38.75,36.25,36.25,1473200,3.85342,-0.0584415584416
1986-09-15,36.5,36.75,36.25,36.5,661200,3.879995,0.0
1986-09-16,37.0,37.25,36.5,37.25,220000,3.959721,0.00675675675676
1986-09-17,37.5,38.25,37.25,37.75,786800,4.012872,0.00666666666667
1986-09-18,38.25,38.25,37.75,38.25,816000,4.066022,0.0
1986-09-19,38.0,39.75,38.0,39.5,868000,4.198899,0.0394736842105
1986-09-22,39.75,39.75,38.75,39.0,1065200,4.145748,-0.0188679245283
1986-09-23,39.0,39.5,39.0,39.125,1162000,4.159036,0.00320512820513
1986-09-24,39.0,39.25,38.875,39.0,717200,4.145748,0.0
1986-09-25,39.0,39.0,38.0,38.25,646000,4.066022,-0.0192307692308
1986-09-26,38.0,38.25,37.25,37.75,636800,4.012872,-0.00657894736842
1986-09-29,37.25,37.25,35.75,36.75,965600,3.90657,-0.0134228187919
1986-09-30,36.5,37.75,36.5,37.5,790000,3.986296,0.027397260274
1986-10-01,37.75,39.0,37.5,39.0,509600,4.145748,0.0331125827815
1986-10-02,38.5,39.25,38.5,38.5,1281600,4.092597,0.0
1986-10-03,38.75,39.0,38.25,38.5,620000,4.092597,-0.00645161290323
1986-10-06,38.5,39.0,38.25,38.625,166000,4.105885,0.00324675324675
1986-10-07,38.75,39.25,38.75,39.0,160800,4.145748,0.00645161290323
1986-10-08,39.0,40.25,38.75,39.5,314400,4.198899,0.0128205128205
1986-10-09,39.75,40.0,39.5,39.875,967200,4.238762,0.00314465408805
1986-10-10,39.875,40.0,39.5,39.5,1108000,4.198899,-0.00940438871473
1986-10-13,39.5,39.75,39.5,39.75,516000,4.225474,0.00632911392405
1986-10-14,39.75,39.75,39.5,39.75,309600,4.225474,0.0
1986-10-15,39.5,40.25,39.5,40.25,339200,4.278625,0.0189873417722
1986-10-16,40.75,41.0,40.25,40.5,438800,4.3052,-0.00613496932515
1986-10-17,40.25,40.25,39.25,39.75,2217200,4.225474,-0.0124223602484
1986-10-20,39.5,39.75,39.0,39.25,233600,4.172323,-0.00632911392405
1986-10-21,39.25,39.25,38.75,38.75,516400,4.119173,-0.0127388535032
1986-10-22,38.75,39.5,38.25,39.5,476000,4.198899,0.0193548387097
1986-10-23,38.75,39.25,38.5,39.25,483200,4.172323,0.0129032258065
1986-10-24,38.75,39.75,38.75,39.5,345200,4.198899,0.0193548387097
1986-10-27,39.25,39.25,38.5,39.0,789600,4.145748,-0.00636942675159
1986-10-28,38.75,39.0,38.5,38.75,531200,4.119173,0.0
1986-10-29,38.75,39.0,38.5,39.0,544000,4.145748,0.00645161290323
1986-10-30,39.0,40.75,38.75,40.25,1017600,4.278625,0.0320512820513
1986-10-31,40.0,40.25,39.0,39.25,2062800,4.172323,-0.01875
1986-11-03,39.0,39.25,38.5,38.5,2111600,4.092597,-0.0128205128205
1986-11-04,38.75,38.75,38.0,38.25,1223200,4.066022,-0.0129032258065
1986-11-05,38.0,38.5,37.75,38.25,854000,4.066022,0.00657894736842
1986-11-06,38.25,39.0,38.25,39.0,1211600,4.145748,0.0196078431373
1986-11-07,38.75,39.0,38.5,39.0,460800,4.145748,0.00645161290323
1986-11-10,38.5,39.5,38.5,38.75,450800,4.119173,0.00649350649351
1986-11-11,38.75,39.0,38.75,39.0,213200,4.145748,0.00645161290323
1986-11-12,38.75,39.25,38.25,38.375,434000,4.07931,-0.00967741935484
1986-11-13,38.5,38.5,37.5,37.75,2206800,4.012872,-0.0194805194805
1986-11-14,37.5,38.0,37.25,37.25,920400,3.959721,-0.00666666666667
1986-11-17,37.0,37.25,36.5,37.25,834400,3.959721,0.00675675675676
1986-11-18,37.25,37.5,36.75,36.75,1300400,3.90657,-0.0134228187919
1986-11-19,36.75,37.5,36.75,37.0,1251600,3.933146,0.00680272108844
1986-11-20,37.75,38.0,37.25,38.0,636000,4.039447,0.00662251655629
1986-11-21,37.75,38.25,37.5,38.0,674800,4.039447,0.00662251655629
1986-11-24,37.5,38.0,37.25,38.0,566800,4.039447,0.0133333333333
1986-11-25,38.0,38.25,37.75,38.0,945200,4.039447,0.0
1986-11-26,38.25,39.5,38.25,39.25,450800,4.172323,0.0261437908497
1986-11-28,39.5,39.5,39.0,39.0,191200,4.145748,-0.0126582278481
1986-12-01,39.25,39.25,38.5,39.25,868800,4.172323,0.0
1986-12-02,39.25,40.75,39.25,40.75,788000,4.331775,0.0382165605096
1986-12-03,40.75,42.75,40.75,42.375,721600,4.504515,0.0398773006135
1986-12-04,42.25,43.0,42.0,42.5,867600,4.517802,0.00591715976331
1986-12-05,42.5,43.0,41.75,41.875,1048400,4.451364,-0.0147058823529
1986-12-08,41.625,42.25,41.25,41.75,466400,4.438076,0.003003003003
1986-12-09,41.75,42.5,41.75,42.25,543600,4.491227,0.0119760479042
1986-12-10,42.25,42.25,41.75,42.0,636000,4.464652,-0.00591715976331
1986-12-11,41.75,42.0,40.25,41.25,545600,4.384926,-0.0119760479042
1986-12-12,41.25,41.25,40.75,40.875,475200,4.345063,-0.00909090909091
1986-12-15,40.75,41.0,40.5,40.75,216000,4.331775,0.0
1986-12-16,40.75,41.0,40.5,41.0,268400,4.358351,0.00613496932515
1986-12-17,41.25,41.5,41.0,41.25,153200,4.384926,0.0
1986-12-18,41.25,41.625,41.0,41.25,439600,4.384926,0.0
1986-12-19,41.5,41.75,40.5,41.5,1172800,4.411501,0.0
1986-12-22,41.75,41.75,41.0,41.25,453200,4.384926,-0.0119760479042
1986-12-23,41.25,41.25,40.5,40.75,680800,4.331775,-0.0121212121212
1986-12-24,40.5,40.75,40.125,40.5,684400,4.3052,0.0
1986-12-26,40.75,40.75,40.25,40.75,69200,4.331775,0.0
1986-12-29,40.75,40.75,40.0,40.25,533600,4.278625,-0.0122699386503
1986-12-30,40.0,40.5,39.5,39.875,262800,4.238762,-0.003125
1986-12-31,40.25,41.0,40.0,40.25,698400,4.278625,0.0
1987-01-02,40.25,40.75,40.25,40.75,450800,4.331775,0.0124223602484
1987-01-05,41.0,42.25,41.0,42.0,1230000,4.464652,0.0243902439024
1987-01-06,42.25,42.25,41.75,42.25,755200,4.491227,0.0
1987-01-07,42.25,42.75,42.0,42.75,640000,4.544378,0.0118343195266
1987-01-08,42.75,44.25,42.5,43.75,948800,4.650679,0.0233918128655
1987-01-09,43.5,43.75,43.25,43.75,412000,4.650679,0.00574712643678
1987-01-12,43.75,44.25,43.5,44.25,421600,4.70383,0.0114285714286
1987-01-13,44.25,44.25,44.0,44.25,297200,4.70383,0.0
1987-01-14,44.5,45.0,44.25,44.25,556400,4.70383,-0.00561797752809
1987-01-15,44.75,45.0,44.0,44.5,569600,4.730405,-0.00558659217877
1987-01-16,44.5,44.5,44.0,44.5,558800,4.730405,0.0
1987-01-19,44.0,44.5,44.0,44.5,428400,4.730405,0.0113636363636
1987-01-20,44.25,44.5,43.25,43.5,588800,4.624104,-0.0169491525424
1987-01-21,43.75,43.75,42.5,42.875,745600,4.557665,-0.02
1987-01-22,42.75,43.25,42.125,43.0,1131200,4.570953,0.00584795321637
1987-01-23,43.25,45.0,43.0,44.0,1085200,4.677254,0.0173410404624
1987-01-26,43.75,44.0,43.25,43.25,439200,4.597528,-0.0114285714286
1987-01-27,43.25,44.25,43.25,44.25,1154400,4.70383,0.0231213872832
1987-01-28,44.5,44.75,43.75,43.75,851600,4.650679,-0.0168539325843
1987-01-29,43.75,44.75,43.75,44.25,1627200,4.70383,0.0114285714286
1987-01-30,44.75,45.75,44.5,45.75,1752800,4.863281,0.0223463687151
1987-02-02,45.5,46.5,45.5,46.25,2467600,4.916432,0.0164835164835
1987-02-03,46.25,46.25,45.0,45.0,940400,4.783555,-0.027027027027
1987-02-04,45.5,45.75,45.25,45.75,1445200,4.863281,0.00549450549451
1987-02-05,45.25,47.5,45.25,47.375,2094400,5.036021,0.0469613259669
1987-02-06,47.25,48.0,47.25,47.625,1468400,5.062596,0.00793650793651
1987-02-09,47.5,47.5,46.75,47.5,678400,5.049309,0.0
1987-02-10,47.5,47.5,46.75,47.25,970800,5.022733,-0.00526315789474
1987-02-11,47.25,49.5,47.0,49.5,2182800,5.261911,0.047619047619
1987-02-12,49.5,49.5,47.75,48.25,519600,5.129035,-0.0252525252525
1987-02-13,48.25,48.75,48.0,48.75,1517600,5.182185,0.0103626943005
1987-02-17,48.25,51.5,48.25,51.5,1435200,5.474514,0.0673575129534
1987-02-18,51.5,52.5,51.25,52.0,1281600,5.527664,0.00970873786408
1987-02-19,52.25,55.0,52.0,54.75,2645200,5.819993,0.0478468899522
1987-02-20,54.5,54.75,54.0,54.25,994000,5.766842,-0.0045871559633
1987-02-23,54.25,54.375,53.25,53.625,2378000,5.700404,-0.0115207373272
1987-02-24,53.5,53.75,52.625,53.25,1096400,5.660541,-0.00467289719626
1987-02-25,53.75,54.0,53.25,53.75,1774000,5.713691,0.0
1987-02-26,53.5,54.0,53.25,53.25,734800,5.660541,-0.00467289719626
1987-02-27,53.5,53.625,53.0,53.5,911200,5.687116,0.0
1987-03-02,53.25,53.5,52.25,52.5,1644400,5.580815,-0.0140845070423
1987-03-03,52.25,53.25,51.75,52.625,876400,5.594102,0.00717703349282
1987-03-04,53.125,53.75,53.0,53.25,968000,5.660541,0.00235294117647
1987-03-05,53.25,54.0,53.25,53.5,1276400,5.687116,0.00469483568075
1987-03-06,53.5,53.5,52.5,52.75,324400,5.60739,-0.0140186915888
1987-03-09,52.75,52.75,50.75,51.5,602000,5.474514,-0.0236966824645
1987-03-10,51.5,51.5,50.75,51.25,414400,5.447938,-0.00485436893204
1987-03-11,51.25,51.25,50.0,50.0,706400,5.315062,-0.0243902439024
1987-03-12,50.25,50.25,49.5,49.5,1836000,5.261911,-0.0149253731343
1987-03-13,49.75,49.75,48.25,48.25,539200,5.129035,-0.0301507537688
1987-03-16,48.25,48.5,47.75,48.0,705200,5.102459,-0.00518134715026
1987-03-17,47.75,48.0,47.75,48.0,581600,5.102459,0.00523560209424
1987-03-18,48.0,48.5,47.75,48.5,968400,5.15561,0.0104166666667
1987-03-19,48.5,48.5,48.0,48.25,1107600,5.129035,-0.00515463917526
1987-03-20,48.5,49.75,48.25,49.5,804000,5.261911,0.020618556701
1987-03-23,49.5,50.5,49.25,49.5,710400,5.261911,0.0
1987-03-24,50.0,50.25,49.5,50.25,607600,5.341637,0.005
1987-03-25,49.75,50.375,49.75,49.75,1760000,5.288486,0.0
1987-03-26,50.0,50.0,49.75,49.75,264400,5.288486,-0.005
1987-03-27,50.0,50.0,49.0,49.0,1056800,5.20876,-0.02
1987-03-30,48.5,49.0,47.25,47.25,651200,5.022733,-0.0257731958763
1987-03-31,47.5,47.75,46.25,47.25,2702400,5.022733,-0.00526315789474
1987-04-01,47.0,47.25,46.75,46.75,2132400,4.969583,-0.00531914893617
1987-04-02,47.0,47.0,46.75,46.875,1041600,4.98287,-0.00265957446809
1987-04-03,47.0,48.25,46.75,47.75,2615600,5.075884,0.0159574468085
1987-04-06,47.75,48.25,47.75,48.0,1564000,5.102459,0.00523560209424
1987-04-07,48.0,48.0,47.25,47.5,651600,5.049309,-0.0104166666667
1987-04-08,47.5,47.5,47.25,47.5,1070000,5.049309,0.0
1987-04-09,47.25,47.5,45.0,45.25,2094400,4.810131,-0.042328042328
1987-04-10,45.0,45.75,45.0,45.25,606400,4.810131,0.00555555555556
1987-04-13,45.25,45.5,43.5,43.5,1309200,4.624104,-0.0386740331492
1987-04-14,43.25,43.25,41.25,41.75,2617200,4.438076,-0.0346820809249
1987-04-15,42.25,42.75,41.25,42.0,1612000,4.464652,-0.00591715976331
1987-04-16,42.25,43.25,42.0,42.75,2504000,4.544378,0.0118343195266
1987-04-20,43.0,43.5,42.75,43.25,440000,4.597528,0.00581395348837
