Date,Open,High,Low,Close,Volume,Adj Close,Returns
1984-10-24,40.0,43.5,40.0,41.0,17392000,2.523012,
1984-10-25,41.0,41.375038,38.875038,39.0,9512000,2.399938,-0.0487804878049
1984-10-26,38.0,38.5,36.75,37.25,5972800,2.292249,-0.0197368421053
1984-10-29,37.75,37.875038,36.0,36.75,5658400,2.26148,-0.0264900662252
1984-10-30,36.875038,39.0,36.624962,36.875038,4671200,2.269175,0.0
1984-10-31,37.5,37.875038,35.75,36.5,7843200,2.246096,-0.0266666666667
1984-11-01,36.5,37.75,36.5,37.75,2288000,2.323017,0.0342465753425
1984-11-02,37.5,38.25,37.5,37.624962,1428000,2.315323,0.00333232
1984-11-05,38.0,38.124962,37.25,37.25,971200,2.292249,-0.0197368421053
1984-11-06,37.375038,38.25,37.25,38.25,2307200,2.353786,0.0234103307132
1984-11-07,38.0,38.25,37.75,38.0,888800,2.338401,0.0
1984-11-08,38.0,38.875038,38.0,38.75,1760800,2.384554,0.0197368421053
1984-11-09,38.5,38.75,37.25,37.375038,1597600,2.299943,-0.0292197922078
1984-11-12,37.5,37.75,37.124962,37.75,351200,2.323017,0.00666666666667
1984-11-13,37.624962,37.75,36.875038,37.25,1725600,2.292249,-0.00996577750696
1984-11-14,37.5,37.624962,37.124962,37.25,386400,2.292249,-0.00666666666667
1984-11-15,37.124962,37.375038,36.25,36.375038,1172000,2.238406,-0.0201999937401
1984-11-16,36.124962,36.124962,34.875038,35.25,2438400,2.169175,-0.0242204268616
1984-11-19,35.375038,35.5,34.624962,34.875038,336000,2.146101,-0.0141342604353
1984-11-20,35.25,35.75,35.25,35.75,264000,2.199943,0.0141843971631
1984-11-21,35.75,36.0,35.5,36.0,396800,2.215328,0.00699300699301
1984-11-23,35.75,36.124962,35.5,36.0,460800,2.215328,0.00699300699301
1984-11-26,36.25,36.25,35.75,36.0,168800,2.215328,-0.00689655172414
1984-11-27,35.75,35.875038,34.75,35.5,838400,2.184559,-0.00699300699301
1984-11-28,35.375038,35.624962,35.124962,35.124962,256800,2.161481,-0.00706927862523
1984-11-29,35.124962,35.25,34.75,34.75,453600,2.138407,-0.0106750862819
1984-11-30,32.75,34.0,32.5,33.624962,10840000,2.069175,0.0267163969466
1984-12-03,32.0,33.0,32.0,32.124962,3474400,1.97687,0.0039050625
1984-12-04,32.124962,32.75,32.0,32.375038,1960000,1.992259,0.00778447613417
1984-12-05,32.75,32.75,32.5,32.624962,1814400,2.007638,-0.00381795419847
1984-12-06,32.875038,33.124962,32.5,32.624962,1164000,2.007638,-0.00760686573199
1984-12-07,32.875038,33.5,32.75,33.0,1740800,2.030717,0.00380112108159
1984-12-10,32.5,32.5,32.0,32.124962,3161600,2.0042,-0.0115396307692
1984-12-11,31.87504,32.0,31.62496,31.75,492000,1.980807,-0.00392281860666
1984-12-12,32.0,32.0,31.37504,31.5,503200,1.96521,-0.015625
1984-12-13,31.37504,31.62496,31.0,31.62496,1376000,1.973006,0.00796556753394
1984-12-14,31.62496,31.87504,31.5,31.5,468000,1.96521,-0.00395130934553
1984-12-17,31.75,31.87504,31.62496,31.87504,562400,1.988608,0.00393826771654
1984-12-18,31.87504,32.5,31.75,32.5,834400,2.027598,0.019606563631
1984-12-19,32.5,33.0,32.5,32.624962,1343200,2.035394,0.00384498461538
1984-12-20,32.75,33.25,32.624962,33.0,2442400,2.058791,0.00763358778626
1984-12-21,33.0,33.124962,32.875038,33.124962,1355200,2.066587,0.00378672727273
1984-12-24,32.875038,33.124962,32.875038,33.0,512000,2.058791,0.00380112108159
1984-12-26,33.0,33.124962,32.875038,32.875038,1364000,2.050995,-0.00378672727273
1984-12-27,32.875038,33.124962,32.75,32.75,804800,2.043194,-0.00380343286599
1984-12-28,32.875038,33.375038,32.75,33.375038,827200,2.082189,0.0152091078952
1984-12-31,33.124962,33.875038,33.0,33.875038,436000,2.113383,0.0226438297499
1985-01-02,34.0,34.0,33.25,33.375038,576800,2.082189,-0.0183812352941
1985-01-03,33.25,33.25,32.5,32.5,425600,2.027598,-0.0225563909774
1985-01-04,32.5,32.75,32.375038,32.75,221600,2.043194,0.00769230769231
1985-01-07,32.875038,33.375038,32.875038,33.0,934400,2.058791,0.00380112108159
1985-01-08,33.75,34.0,33.25,33.75,12408000,2.105582,0.0
1985-01-09,33.75,33.875038,33.5,33.5,1196000,2.089985,-0.00740740740741
1985-01-10,33.624962,34.0,33.5,34.0,1504000,2.121179,0.0111535590732
1985-01-11,34.0,34.25,33.75,33.75,876000,2.105582,-0.00735294117647
1985-01-14,33.75,34.75,33.624962,34.75,973600,2.16797,0.0296296296296
1985-01-15,35.0,35.25,34.624962,34.75,606400,2.16797,-0.00714285714286
1985-01-16,36.0,36.0,35.25,35.375038,1909600,2.206964,-0.0173600555556
1985-01-17,35.375038,36.0,35.375038,35.875038,824800,2.238158,0.0141342604353
1985-01-18,35.875038,36.124962,35.75,36.0,452000,2.245954,0.00348325763446
1985-01-21,36.0,36.875038,36.0,36.75,1003200,2.292745,0.0208333333333
1985-01-22,36.75,37.25,36.5,36.875038,1021600,2.300546,0.00340239455782
1985-01-23,36.875038,37.375038,36.75,37.124962,602400,2.316138,0.00677759301563
1985-01-24,37.375038,38.875038,37.25,37.25,1772000,2.323939,-0.00334549492632
1985-01-25,37.375038,38.0,37.375038,37.75,769600,2.355132,0.0100324178935
1985-01-28,38.0,38.0,38.0,38.0,1134400,2.370729,0.0
1985-01-29,37.875038,38.124962,37.5,38.124962,1075200,2.378525,0.00659864684492
1985-01-30,37.875038,38.0,37.0,37.375038,1555200,2.33174,-0.0132013068871
1985-01-31,37.75,38.25,37.624962,38.0,2124800,2.370729,0.00662251655629
1985-02-01,37.75,38.0,37.375038,37.5,372000,2.339536,-0.00662251655629
1985-02-04,37.375038,38.375038,37.25,38.25,1477600,2.386326,0.0234103307132
1985-02-05,38.5,38.875038,38.375038,38.75,1935200,2.41752,0.00649350649351
1985-02-06,39.0,40.124962,39.0,39.875038,2886400,2.487709,0.0224368717949
1985-02-07,40.0,40.124962,39.75,40.0,870400,2.495505,0.0
1985-02-08,40.124962,40.624962,40.0,40.624962,3303200,2.534494,0.0124610709912
1985-02-11,40.5,40.5,40.0,40.5,2262400,2.526698,0.0
1985-02-12,40.375038,40.75,40.375038,40.624962,1504800,2.534494,0.00619006228551
1985-02-13,41.375038,42.624962,41.0,42.5,3928000,2.651474,0.0271893889258
1985-02-14,43.0,43.0,42.5,42.75,1480800,2.667071,-0.00581395348837
1985-02-15,42.5,43.0,42.375038,42.624962,1140800,2.65927,0.00294028235294
1985-02-19,42.5,42.5,42.0,42.375038,787200,2.643678,-0.00294028235294
1985-02-20,42.375038,43.25,42.375038,43.0,1648800,2.682667,0.014748352556
1985-02-21,43.25,43.875038,43.25,43.624962,1415200,2.721657,0.0086696416185
1985-02-22,43.624962,43.75,42.624962,42.875038,1564000,2.674871,-0.0171902499308
1985-02-25,42.875038,42.875038,41.624962,42.25,602400,2.635877,-0.014578132852
1985-02-26,42.124962,42.624962,42.0,42.375038,650400,2.643678,0.0059365276104
1985-02-27,42.375038,42.5,41.75,41.75,1659200,2.604683,-0.0147501460648
1985-02-28,41.75,42.0,40.75,41.875038,1233600,2.612484,0.00299492215569
1985-03-01,41.875038,42.624962,41.875038,42.5,2338400,2.651474,0.0149244521283
1985-03-04,42.75,43.0,42.25,42.25,1445600,2.635877,-0.0116959064327
1985-03-05,42.375038,42.624962,42.25,42.624962,1579200,2.65927,0.00589790621545
1985-03-06,42.5,42.624962,41.75,41.875038,1260000,2.612484,-0.0147049882353
1985-03-07,41.875038,41.875038,41.375038,41.624962,1307200,2.596882,-0.00597195875977
1985-03-08,41.624962,41.624962,41.124962,41.25,4240800,2.573489,-0.00900810431971
1985-03-11,40.5,40.624962,39.75,40.0,3798400,2.523029,-0.0123456790123
1985-03-12,40.375038,41.0,40.25,40.875038,776800,2.578222,0.0123838892734
1985-03-13,40.875038,41.875038,40.624962,41.5,2200000,2.617642,0.0152895759999
1985-03-14,41.375038,41.75,41.0,41.0,2148000,2.586104,-0.0090643542128
1985-03-15,41.124962,41.124962,40.0,40.0,2246400,2.523029,-0.0273547243642
1985-03-18,40.25,40.624962,40.0,40.25,1084800,2.538797,0.0
1985-03-19,40.375038,41.75,40.124962,41.5,1127200,2.617642,0.0278628096895
1985-03-20,41.5,41.624962,41.25,41.5,334400,2.617642,0.0
1985-03-21,41.5,42.0,41.25,41.5,1786400,2.617642,0.0
1985-03-22,41.5,42.0,41.375038,42.0,628800,2.64918,0.0120481927711
1985-03-25,41.624962,42.0,41.375038,41.624962,393600,2.625524,0.0
1985-03-26,41.624962,43.5,41.5,43.5,2944000,2.743794,0.045045999081
1985-03-27,44.0,44.75,43.875038,44.75,2653600,2.822638,0.0170454545455
1985-03-28,44.75,45.75,44.75,45.624962,3849600,2.877827,0.0195522234637
1985-03-29,45.5,45.75,45.25,45.375038,2352000,2.862063,-0.00274641758242
1985-04-01,44.0,45.375038,44.0,45.375038,1452800,2.862063,0.0312508636364
1985-04-02,45.5,46.25,45.5,46.0,1062400,2.901483,0.010989010989
1985-04-03,45.75,45.875038,45.375038,45.75,939200,2.885714,0.0
1985-04-04,45.5,45.75,45.124962,45.25,486400,2.854176,-0.00549450549451
1985-04-08,45.0,45.25,44.375038,44.375038,954400,2.798987,-0.0138880444444
1985-04-09,44.0,44.0,43.5,43.5,517600,2.743794,-0.0113636363636
1985-04-10,43.5,44.375038,43.5,44.375038,529600,2.798987,0.020115816092
1985-04-11,44.5,45.25,44.5,45.0,1427200,2.838407,0.0112359550562
1985-04-12,44.75,45.0,44.5,44.5,482400,2.806869,-0.00558659217877
1985-04-15,44.624962,44.624962,43.875038,43.875038,555200,2.767449,-0.016805033918
1985-04-16,43.624962,44.375038,43.624962,44.25,828800,2.7911,0.0143275311048
1985-04-17,44.25,44.624962,44.124962,44.624962,613600,2.814751,0.00847371751412
1985-04-18,44.624962,44.624962,43.875038,43.875038,581600,2.767449,-0.016805033918
1985-04-19,43.624962,43.624962,43.25,43.375038,426400,2.735911,-0.00572892189568
1985-04-22,43.375038,44.0,43.25,44.0,308000,2.775331,0.0144083331985
1985-04-23,44.0,44.624962,43.75,44.5,1678400,2.806869,0.0113636363636
1985-04-24,44.375038,46.75,44.375038,46.25,1764000,2.917252,0.0422526286062
1985-04-25,46.5,47.124962,46.5,47.0,1155200,2.964559,0.010752688172
1985-04-26,47.0,47.375038,46.875038,47.25,868000,2.980327,0.00531914893617
1985-04-29,47.375038,47.375038,47.0,47.25,704800,2.980327,-0.00263932242123
1985-04-30,47.5,47.5,46.75,47.0,1083200,2.964559,-0.0105263157895
1985-05-01,47.0,47.375038,46.624962,46.624962,489600,2.940903,-0.00797953191489
