Date,Open,High,Low,Close,Volume,Adj Close,Returns
1990-03-07,16.375,16.375,16.0,16.25,7600,1.549055,
1990-03-08,16.0,16.375,16.0,16.375,30200,1.56097,0.0234375
1990-03-09,16.375,16.375,16.0,16.0,26600,1.525223,-0.0229007633588
1990-03-12,16.0,16.375,16.0,16.0,99400,1.525223,0.0
1990-03-13,16.25,16.25,16.0,16.0,27000,1.525223,-0.0153846153846
1990-03-14,16.25,16.25,16.0,16.25,18800,1.549055,0.0
1990-03-15,16.25,16.25,16.0,16.0,92600,1.525223,-0.0153846153846
1990-03-16,15.875,16.125,15.625,15.625,22600,1.489475,-0.0157480314961
1990-03-19,15.625,16.125,15.625,16.0,16800,1.525223,0.024
1990-03-20,16.0,16.0,15.75,16.0,20800,1.525223,0.0
1990-03-21,16.0,16.0,15.875,16.0,7600,1.525223,0.0
1990-03-22,16.0,16.125,15.875,15.875,43200,1.513307,-0.0078125
1990-03-23,16.125,16.125,15.875,16.125,51600,1.537139,0.0
1990-03-26,16.125,16.25,15.875,16.25,42800,1.549055,0.0077519379845
1990-03-27,16.0,16.25,16.0,16.25,4400,1.549055,0.015625
1990-03-28,16.25,16.25,16.0,16.25,5200,1.549055,0.0
1990-03-29,16.0,16.125,16.0,16.125,6400,1.537139,0.0078125
1990-03-30,16.25,16.25,15.875,16.0,10200,1.525223,-0.0153846153846
1990-04-02,15.875,16.125,15.875,16.125,5800,1.537139,0.0157480314961
1990-04-03,16.125,16.125,15.875,16.0,200600,1.525223,-0.0077519379845
1990-04-04,16.125,16.25,15.875,16.25,100800,1.549055,0.0077519379845
1990-04-05,16.25,16.25,15.875,16.125,25600,1.537139,-0.00769230769231
1990-04-06,15.875,16.125,15.75,16.0,32600,1.55512,0.00787401574803
1990-04-09,16.0,16.0,15.75,15.75,8200,1.530821,-0.015625
1990-04-10,15.75,16.0,15.75,15.75,19000,1.530821,0.0
1990-04-11,15.75,16.0,15.625,15.625,22800,1.518672,-0.00793650793651
1990-04-12,15.75,15.875,15.5,15.875,44400,1.54297,0.00793650793651
1990-04-16,15.875,15.875,15.5,15.875,13200,1.54297,0.0
1990-04-17,15.5,15.875,15.5,15.5,24000,1.506522,0.0
1990-04-18,15.875,15.875,15.5,15.875,18200,1.54297,0.0
1990-04-19,15.5,15.875,15.5,15.5,17200,1.506522,0.0
1990-04-20,15.5,15.875,15.5,15.875,80200,1.54297,0.0241935483871
1990-04-23,15.875,15.875,15.5,15.625,25400,1.518672,-0.0157480314961
1990-04-24,15.75,15.75,15.5,15.75,108600,1.530821,0.0
1990-04-25,15.75,15.75,15.5,15.75,52000,1.530821,0.0
1990-04-26,15.5,15.625,15.5,15.625,34400,1.518672,0.00806451612903
1990-04-27,15.625,15.625,15.5,15.5,14400,1.506522,-0.008
1990-04-30,15.625,15.625,15.5,15.625,54200,1.518672,0.0
1990-05-01,15.625,15.625,15.5,15.625,62600,1.518672,0.0
1990-05-02,15.625,15.75,15.5,15.5,103200,1.506522,-0.008
1990-05-03,15.75,15.75,15.5,15.75,71400,1.530821,0.0
1990-05-04,15.5,15.75,15.5,15.5,46800,1.506522,0.0
1990-05-07,15.5,15.5,15.25,15.25,16400,1.482224,-0.0161290322581
1990-05-08,15.25,15.25,15.125,15.125,22200,1.470074,-0.00819672131148
1990-05-09,15.25,15.25,15.125,15.125,24000,1.470074,-0.00819672131148
1990-05-10,15.125,15.25,14.875,15.0,19800,1.457925,-0.00826446280992
1990-05-11,15.0,15.0,14.875,14.875,15800,1.445776,-0.00833333333333
1990-05-14,14.875,15.0,14.75,14.875,29000,1.445776,0.0
1990-05-15,14.875,15.0,14.75,14.75,37200,1.433626,-0.00840336134454
1990-05-16,14.75,15.0,14.625,14.625,48200,1.421477,-0.00847457627119
1990-05-17,14.625,15.0,14.625,14.75,42000,1.433626,0.00854700854701
1990-05-18,14.75,15.0,14.75,14.875,56800,1.445776,0.00847457627119
