Date,Open,High,Low,Close,Volume,Adj Close,Returns
1998-01-30,20.75,26.25,20.5,25.5,18256800,5.413338,
1998-02-02,27.375,37.25,26.5,31.0,10127200,6.580921,0.132420091324
1998-02-03,33.0,35.125,32.0,33.0,6244800,7.005496,0.0
1998-02-04,32.875,33.125,30.5,31.625,2106800,6.713601,-0.0380228136882
1998-02-05,32.25,33.0,30.5,30.562481,890800,6.488041,-0.0523261705426
1998-02-06,30.687519,30.875,27.5,27.875,2846800,5.917522,-0.0916502569009
1998-02-09,27.5,28.0,25.625,27.0,1944800,5.73177,-0.0181818181818
1998-02-10,26.75,29.5,26.125,28.0,1001200,5.944058,0.0467289719626
1998-02-11,28.125,29.75,27.625,29.75,842400,6.315561,0.0577777777778
1998-02-12,29.625,31.625,29.125,31.125,1111600,6.607457,0.0506329113924
1998-02-13,31.375,32.0,30.75,31.0,544800,6.580921,-0.0119521912351
1998-02-17,31.375,32.0,30.75,31.25,441600,6.633993,-0.00398406374502
1998-02-18,31.375,31.5,30.875,31.25,246000,6.633993,-0.00398406374502
1998-02-19,31.5,31.875,30.75,30.75,318400,6.527849,-0.0238095238095
1998-02-20,30.75,32.0,30.75,31.875,349200,6.766673,0.0365853658537
1998-02-23,30.75,30.875,28.875,29.0,1409600,6.156345,-0.0569105691057
1998-02-24,29.625,29.687519,26.75,27.375,2599200,5.811378,-0.0759493670886
1998-02-25,28.0,29.0,27.25,29.0,1143200,6.156345,0.0357142857143
1998-02-26,29.125,29.125,28.25,28.875,491200,6.129809,-0.00858369098712
1998-02-27,28.5,28.875,28.5,28.625,573600,6.076737,0.00438596491228
1998-03-02,28.625,28.812481,28.375,28.437519,466400,6.036937,-0.00654955458515
1998-03-03,28.5,28.5,28.0,28.5,642400,6.050201,0.0
1998-03-04,28.75,28.75,27.25,27.59376,377600,5.857818,-0.0402170434783
1998-03-05,26.875,27.5,26.5,26.687519,836800,5.665434,-0.0069760372093
1998-03-06,27.125,28.5,26.75,28.312481,454000,6.010393,0.0437781013825
1998-03-09,27.875,31.75,27.875,30.25,1732400,6.421705,0.085201793722
1998-03-10,30.75,33.125,30.25,33.062481,1844000,7.01876,0.0752026341463
1998-03-11,33.625,36.75,33.375,35.875,2708000,7.615824,0.0669144981413
1998-03-12,36.375,38.625,36.0,38.5,1700000,8.173079,0.0584192439863
1998-03-13,38.75,39.75,36.125,37.875,1345600,8.040399,-0.0225806451613
1998-03-16,38.25,45.75,37.875,44.75,3122800,9.499878,0.169934640523
1998-03-17,44.5,46.875,42.437519,44.343761,1907200,9.413638,-0.00351098876404
1998-03-18,43.5,44.5,42.625,43.062481,800000,9.141638,-0.010057908046
1998-03-19,43.25,43.937519,42.125,43.125,312400,9.15491,-0.0028901734104
1998-03-20,42.625,43.5,40.562481,41.187519,405200,8.743607,-0.0337238944282
1998-03-23,40.75,44.875,40.75,43.125,1090800,9.15491,0.058282208589
1998-03-24,44.5,46.125,42.875,44.5,1063600,9.446806,0.0
1998-03-25,44.875,45.0,42.437519,43.0,441600,9.128374,-0.041782729805
1998-03-26,43.0,43.5,41.5,42.0,473600,8.916086,-0.0232558139535
1998-03-27,42.25,43.5,41.625,42.5,884400,9.02223,0.00591715976331
1998-03-30,42.5,44.75,42.0,43.5,868400,9.234518,0.0235294117647
1998-03-31,44.25,44.5,43.25,44.0,714400,9.340662,-0.00564971751412
1998-04-01,44.375,48.5,44.0,48.0,1110000,10.189813,0.0816901408451
1998-04-02,47.25,49.0,44.125,44.25,1066400,9.393734,-0.0634920634921
1998-04-03,45.75,46.375,42.375,42.5,1367200,9.02223,-0.0710382513661
1998-04-06,43.125,43.125,40.875,40.875,656000,8.677263,-0.0521739130435
1998-04-07,40.625,40.75,37.0,38.937519,1047200,8.265959,-0.0415379938462
1998-04-08,38.875,43.25,38.875,40.75,977200,8.650727,0.048231511254
1998-04-09,43.5,44.875,42.875,44.0,922800,9.340662,0.0114942528736
