Date,Open,High,Low,Close,Volume,Adj Close,Returns
1983-06-10,50.0,50.75,49.75,50.5,133200,10.033417,
1983-06-13,50.5,51.0,50.25,51.0,237400,10.132757,0.00990099009901
1983-06-14,51.625,52.625,51.5,52.125,290400,10.356274,0.00968523002421
1983-06-15,53.25,57.0,53.25,54.75,274200,10.877813,0.0281690140845
1983-06-16,54.25,55.25,54.0,55.125,246800,10.952319,0.0161290322581
1983-06-17,55.25,55.25,53.25,53.75,190400,10.679132,-0.027149321267
1983-06-20,54.0,54.5,53.125,53.625,61600,10.654296,-0.00694444444444
1983-06-21,53.375,53.75,53.25,53.25,143600,10.579791,-0.00234192037471
1983-06-22,53.0,53.5,52.5,52.75,86000,10.48045,-0.00471698113208
1983-06-23,52.75,52.75,51.625,52.25,82800,10.381109,-0.00947867298578
1983-06-24,52.25,52.5,52.0,52.0,170600,10.331439,-0.00478468899522
1983-06-27,51.625,52.0,51.5,51.875,47200,10.306604,0.00484261501211
1983-06-28,51.5,51.75,50.625,50.875,125800,10.107922,-0.0121359223301
1983-06-29,51.125,51.125,50.125,50.375,164800,10.008581,-0.0146699266504
1983-06-30,50.5,52.0,50.5,52.0,215000,10.331439,0.029702970297
1983-07-01,52.0,52.0,51.25,52.0,38800,10.331439,0.0
1983-07-05,51.75,51.75,51.0,51.25,123200,10.182428,-0.00966183574879
1983-07-06,51.25,53.0,51.25,52.5,51400,10.43078,0.0243902439024
1983-07-07,52.625,52.75,52.125,52.25,175600,10.381109,-0.00712589073634
1983-07-08,52.0,52.0,51.0,51.0,225200,10.132757,-0.0192307692308
1983-07-11,51.25,51.375,50.75,51.0,246200,10.132757,-0.00487804878049
1983-07-12,51.0,51.25,50.0,50.0,87200,9.934076,-0.0196078431373
1983-07-13,50.25,50.5,50.0,50.125,59000,9.958911,-0.00248756218905
1983-07-14,50.625,51.375,50.375,51.125,275600,10.157593,0.00987654320988
1983-07-15,51.125,51.75,51.125,51.25,130200,10.182428,0.00244498777506
1983-07-18,51.0,51.25,50.375,51.25,513200,10.182428,0.00490196078431
1983-07-19,51.5,51.75,51.375,51.625,287200,10.256933,0.00242718446602
1983-07-20,51.875,53.25,51.875,52.875,98200,10.505285,0.0192771084337
1983-07-21,53.5,54.0,53.25,54.0,281200,10.728802,0.00934579439252
1983-07-22,53.125,54.0,52.75,53.0,96200,10.53012,-0.00235294117647
1983-07-25,53.0,54.375,52.75,54.0,69000,10.728802,0.0188679245283
1983-07-26,54.0,54.75,54.0,54.75,200800,10.877813,0.0138888888889
1983-07-27,54.25,54.75,53.0,53.0,126000,10.53012,-0.0230414746544
1983-07-28,52.25,52.5,52.0,52.125,100600,10.356274,-0.00239234449761
1983-07-29,51.25,51.25,50.75,51.0,330800,10.132757,-0.00487804878049
1983-08-01,50.75,51.5,50.25,51.25,235800,10.182428,0.00985221674877
1983-08-02,51.125,52.0,51.0,51.0,63600,10.132757,-0.00244498777506
1983-08-03,51.25,51.625,50.75,51.625,209600,10.256933,0.00731707317073
1983-08-04,51.75,51.75,49.5,50.25,298400,9.983746,-0.0289855072464
1983-08-05,50.0,50.0,49.375,49.5,165000,9.834735,-0.01
1983-08-08,49.5,49.5,48.25,48.25,150600,9.586383,-0.0252525252525
1983-08-09,46.0,47.25,46.0,46.5,524400,9.238691,0.0108695652174
1983-08-10,45.5,46.625,45.0,46.625,705600,9.263526,0.0247252747253
1983-08-11,46.75,47.25,45.75,45.75,94600,9.089679,-0.0213903743316
1983-08-12,46.0,46.5,45.75,45.75,55000,9.089679,-0.0054347826087
1983-08-15,46.75,47.0,46.375,46.625,222000,9.263526,-0.00267379679144
1983-08-16,46.375,46.375,45.5,45.875,116800,9.114515,-0.010781671159
1983-08-17,45.625,46.75,45.625,46.5,188400,9.238691,0.0191780821918
1983-08-18,46.75,47.5,46.5,46.5,189800,9.238691,-0.00534759358289
1983-08-19,46.5,46.5,46.25,46.25,48800,9.18902,-0.00537634408602
1983-08-22,46.5,46.5,46.0,46.25,36600,9.18902,-0.00537634408602
1983-08-23,46.25,46.25,45.5,45.5,71600,9.040009,-0.0162162162162
1983-08-24,45.0,45.5,45.0,45.375,237800,9.105226,0.00833333333333
1983-08-25,45.25,45.25,44.25,44.625,336400,8.954726,-0.0138121546961
1983-08-26,44.25,44.75,43.75,44.625,116600,8.954726,0.00847457627119
1983-08-29,44.375,44.75,44.25,44.75,72000,8.979809,0.00845070422535
1983-08-30,44.75,45.5,44.75,45.5,37000,9.130309,0.0167597765363
1983-08-31,45.125,46.375,45.0,46.375,125200,9.305892,0.0277008310249
1983-09-01,46.5,47.0,46.25,47.0,53400,9.431308,0.010752688172
1983-09-02,46.75,49.25,46.75,48.375,90000,9.707224,0.0347593582888
1983-09-06,49.25,50.0,49.0,49.375,104200,9.90789,0.00253807106599
1983-09-07,49.5,49.5,47.625,48.0,220200,9.631974,-0.030303030303
1983-09-08,48.0,48.0,47.25,47.75,423600,9.581808,-0.00520833333333
1983-09-09,47.625,48.0,47.5,47.625,39400,9.556724,0.0
1983-09-12,50.0,50.0,48.0,48.25,136800,9.682141,-0.035
1983-09-13,47.25,48.0,47.0,47.5,176400,9.531641,0.00529100529101
1983-09-14,47.5,47.625,47.125,47.125,107400,9.456391,-0.00789473684211
1983-09-15,47.375,47.5,46.75,46.75,74400,9.381142,-0.0131926121372
1983-09-16,46.5,47.375,46.375,46.875,60200,9.406225,0.00806451612903
1983-09-19,47.125,47.75,47.125,47.75,129600,9.581808,0.0132625994695
1983-09-20,48.0,49.0,47.75,49.0,305800,9.83264,0.0208333333333
1983-09-21,49.0,49.0,47.875,47.875,129400,9.606891,-0.0229591836735
1983-09-22,47.375,48.25,47.375,47.875,191000,9.606891,0.0105540897098
1983-09-23,48.0,48.0,46.25,46.75,310000,9.381142,-0.0260416666667
1983-09-26,46.75,49.25,46.0,46.5,252600,9.330975,-0.00534759358289
1983-09-27,46.25,46.25,45.625,45.875,131200,9.205559,-0.00810810810811
1983-09-28,46.0,46.75,46.0,46.75,124200,9.381142,0.0163043478261
1983-09-29,47.0,47.25,46.875,47.0,113200,9.431308,0.0
1983-09-30,46.75,46.875,46.375,46.375,209200,9.305892,-0.00802139037433
1983-10-03,46.375,46.75,46.25,46.375,229000,9.305892,0.0
1983-10-04,46.625,46.875,46.5,46.75,112800,9.381142,0.00268096514745
1983-10-05,46.5,46.75,45.75,46.5,152600,9.330975,0.0
1983-10-06,46.625,47.5,46.625,47.5,252600,9.531641,0.0187667560322
1983-10-07,47.5,47.75,47.0,47.25,96000,9.481475,-0.00526315789474
1983-10-10,47.0,47.5,46.75,47.5,23600,9.531641,0.0106382978723
1983-10-11,48.25,49.875,48.0,49.0,348000,9.83264,0.0155440414508
1983-10-12,48.75,49.625,48.5,48.75,454200,9.782474,0.0
1983-10-13,49.0,49.25,48.0,48.0,423600,9.631974,-0.0204081632653
1983-10-14,48.25,48.5,47.75,47.875,251200,9.606891,-0.00777202072539
1983-10-17,48.5,49.875,48.0,49.5,204400,9.932973,0.020618556701
1983-10-18,50.0,50.0,48.875,48.875,158400,9.807557,-0.0225
1983-10-19,48.875,49.25,48.125,48.125,171400,9.657057,-0.0153452685422
1983-10-20,48.0,48.75,48.0,48.25,129800,9.682141,0.00520833333333
1983-10-21,47.875,48.625,46.875,47.0,62200,9.431308,-0.0182767624021
1983-10-24,46.875,48.125,46.875,48.125,78200,9.657057,0.0266666666667
1983-10-25,48.125,48.5,48.0,48.5,148600,9.732307,0.00779220779221
1983-10-26,48.875,49.5,48.375,48.5,31600,9.732307,-0.0076726342711
1983-10-27,48.25,48.375,47.0,47.125,736800,9.456391,-0.0233160621762
1983-10-28,47.25,47.375,47.0,47.0,171000,9.431308,-0.00529100529101
1983-10-31,46.75,47.0,46.25,46.5,92000,9.330975,-0.00534759358289
1983-11-01,46.75,46.75,45.25,46.125,205400,9.255725,-0.0133689839572
1983-11-02,46.375,46.5,46.0,46.25,791600,9.280808,-0.00269541778976
1983-11-03,46.375,46.375,45.625,45.625,34200,9.155392,-0.0161725067385
1983-11-04,45.625,45.75,45.25,45.25,211800,9.080142,-0.00821917808219
1983-11-07,45.375,45.375,45.0,45.25,151600,9.080142,-0.00275482093664
1983-11-08,45.25,46.125,45.25,46.0,349200,9.230642,0.0165745856354
1983-11-09,46.0,46.25,45.5,45.625,157600,9.155392,-0.00815217391304
1983-11-10,45.0,46.25,44.875,45.75,771400,9.180475,0.0166666666667
1983-11-11,45.5,46.25,45.25,46.25,425400,9.280808,0.0164835164835
1983-11-14,46.5,48.25,46.5,47.25,498800,9.481475,0.0161290322581
1983-11-15,47.5,47.5,47.25,47.375,113800,9.506558,-0.00263157894737
1983-11-16,47.375,47.75,47.25,47.75,82200,9.581808,0.00791556728232
1983-11-17,47.75,48.0,47.625,47.75,111200,9.581808,0.0
1983-11-18,48.0,48.125,47.5,47.5,277800,9.531641,-0.0104166666667
1983-11-21,47.5,47.75,47.125,47.75,125800,9.581808,0.00526315789474
1983-11-22,48.25,49.25,48.25,48.5,432000,9.732307,0.00518134715026
1983-11-23,48.75,48.75,48.25,48.375,108800,9.707224,-0.00769230769231
1983-11-25,48.125,49.5,48.125,49.5,55400,9.932973,0.0285714285714
1983-11-28,49.5,51.0,49.25,50.5,324400,10.13364,0.020202020202
1983-11-29,50.875,51.0,50.625,50.875,215400,10.208889,0.0
1983-11-30,51.0,51.125,50.25,50.5,345200,10.13364,-0.00980392156863
1983-12-01,49.75,50.25,49.75,50.125,105200,10.158974,0.00753768844221
1983-12-02,50.125,50.125,49.0,49.125,78400,9.956301,-0.0199501246883
1983-12-05,49.25,49.25,48.625,49.0,33000,9.930967,-0.00507614213198
1983-12-06,49.0,49.25,48.75,48.75,87200,9.880299,-0.00510204081633
1983-12-07,48.875,49.375,48.25,48.375,131200,9.804296,-0.0102301790281
1983-12-08,48.25,49.0,48.125,48.5,759600,9.829631,0.00518134715026
1983-12-09,48.75,49.0,48.625,49.0,180600,9.930967,0.00512820512821
1983-12-12,49.25,49.75,48.75,49.75,390600,10.082972,0.010152284264
1983-12-13,49.75,49.75,49.125,49.25,26600,9.981635,-0.0100502512563
1983-12-14,49.5,49.875,49.0,49.0,261000,9.930967,-0.010101010101
1983-12-15,48.25,48.375,47.25,47.875,80800,9.70296,-0.00777202072539
1983-12-16,47.625,47.75,46.875,46.875,129400,9.500287,-0.0157480314961
1983-12-19,46.875,48.0,46.75,48.0,217800,9.728294,0.024
1983-12-20,48.0,48.0,47.375,47.5,151600,9.626958,-0.0104166666667
1983-12-21,48.0,48.25,47.75,48.0,490600,9.728294,0.0
1983-12-22,49.0,49.375,48.5,48.625,46400,9.854965,-0.00765306122449
1983-12-23,48.875,48.875,48.5,48.75,226400,9.880299,-0.00255754475703
1983-12-27,48.5,48.75,48.5,48.5,123800,9.829631,0.0
1983-12-28,48.5,48.75,48.5,48.625,170400,9.854965,0.00257731958763
1983-12-29,48.75,48.75,48.0,48.375,79600,9.804296,-0.00769230769231
1983-12-30,48.5,48.5,48.125,48.5,91200,9.829631,0.0
1984-01-03,48.5,48.75,48.0,48.5,29600,9.829631,0.0
1984-01-04,48.5,49.25,48.0,49.25,97600,9.981635,0.0154639175258
1984-01-05,49.5,49.75,49.25,49.75,368600,10.082972,0.00505050505051
1984-01-06,49.5,49.75,49.125,49.75,323000,10.082972,0.00505050505051
1984-01-09,49.75,50.0,49.625,49.75,354200,10.082972,0.0
1984-01-10,49.625,50.0,49.375,49.375,255400,10.006969,-0.00503778337531
1984-01-11,49.375,49.5,49.0,49.25,56200,9.981635,-0.00253164556962
1984-01-12,49.0,49.375,48.5,48.625,51400,9.854965,-0.00765306122449
1984-01-13,49.25,49.25,47.125,47.875,56200,9.70296,-0.0279187817259
1984-01-16,48.0,48.0,47.75,47.875,79600,9.70296,-0.00260416666667
1984-01-17,47.75,48.0,47.625,47.625,28200,9.652292,-0.00261780104712
1984-01-18,47.625,47.625,45.625,46.25,194600,9.373617,-0.0288713910761
1984-01-19,46.5,47.375,46.5,47.0,213000,9.525621,0.010752688172
1984-01-20,47.25,47.5,46.75,46.75,186200,9.474953,-0.010582010582
1984-01-23,46.5,46.625,45.5,45.875,396800,9.297614,-0.0134408602151
1984-01-24,46.125,46.25,45.5,45.5,342800,9.221612,-0.0135501355014
1984-01-25,45.5,46.125,45.5,45.5,152400,9.221612,0.0
1984-01-26,45.0,45.125,44.0,44.625,1247400,9.044273,-0.00833333333333
1984-01-27,44.875,45.0,44.5,44.875,144000,9.094942,0.0
1984-01-30,44.75,44.75,43.875,43.875,165400,8.892269,-0.0195530726257
1984-01-31,44.0,44.5,43.5,44.5,583200,9.018939,0.0113636363636
1984-02-01,44.5,44.75,44.0,44.25,355400,8.968271,-0.00561797752809
1984-02-02,44.0,44.0,42.75,43.125,347000,8.740264,-0.0198863636364
1984-02-03,42.75,44.0,42.75,43.25,285600,8.765598,0.0116959064327
1984-02-06,43.0,43.625,42.75,43.0,343800,8.71493,0.0
1984-02-07,42.875,43.25,42.625,42.875,236200,8.689596,0.0
1984-02-08,42.875,43.25,42.625,42.875,124800,8.689596,0.0
1984-02-09,42.5,42.875,42.0,42.75,254400,8.664262,0.00588235294118
1984-02-10,42.75,43.5,42.75,43.5,345000,8.816267,0.0175438596491
1984-02-13,43.25,43.25,42.25,42.25,127400,8.562926,-0.0231213872832
1984-02-14,42.25,42.5,42.0,42.375,226800,8.58826,0.00295857988166
1984-02-15,42.25,43.5,42.25,43.0,454200,8.71493,0.0177514792899
1984-02-16,43.125,43.25,42.75,42.75,294400,8.664262,-0.00869565217391
1984-02-17,42.75,43.0,41.5,41.75,148000,8.461589,-0.0233918128655
1984-02-21,41.25,41.25,40.0,40.375,189800,8.182914,-0.0212121212121
1984-02-22,40.375,41.5,40.375,40.625,177600,8.233582,0.0061919504644
1984-02-23,40.875,41.25,40.5,41.25,189600,8.360253,0.00917431192661
1984-02-24,41.0,42.25,41.0,42.25,32200,8.562926,0.030487804878
1984-02-27,42.125,43.75,42.125,43.5,111000,8.921851,0.0326409495549
1984-02-28,43.75,43.75,42.0,42.25,195400,8.665476,-0.0342857142857
1984-02-29,42.0,42.875,41.0,41.0,182800,8.409101,-0.0238095238095
1984-03-01,41.0,41.25,40.625,40.75,132600,8.357826,-0.00609756097561
1984-03-02,40.75,41.25,40.75,41.125,454200,8.434738,0.00920245398773
1984-03-05,41.25,41.25,40.75,41.0,96000,8.409101,-0.00606060606061
1984-03-06,41.0,41.0,40.5,40.625,83000,8.332188,-0.00914634146341
1984-03-07,40.625,40.75,40.125,40.75,127200,8.357826,0.00307692307692
1984-03-08,40.75,40.75,38.75,39.0,376000,7.998901,-0.0429447852761
1984-03-09,39.25,40.125,39.25,39.875,371600,8.178363,0.015923566879
1984-03-12,40.5,41.25,40.25,41.25,370600,8.460376,0.0185185185185
1984-03-13,42.0,42.125,41.125,41.5,307200,8.511651,-0.0119047619048
1984-03-14,41.625,42.0,41.125,42.0,181800,8.614201,0.00900900900901
1984-03-15,42.25,43.5,42.25,43.5,187800,8.921851,0.0295857988166
1984-03-16,44.25,45.0,43.75,43.75,279800,8.973126,-0.0112994350282
1984-03-19,43.75,43.75,42.375,42.5,58000,8.716751,-0.0285714285714
1984-03-20,43.0,43.0,42.625,42.875,184800,8.793663,-0.00290697674419
1984-03-21,42.75,42.75,42.25,42.5,265200,8.716751,-0.00584795321637
1984-03-22,42.125,42.5,42.125,42.125,177600,8.639838,0.0
1984-03-23,42.25,42.375,40.5,41.75,367000,8.562926,-0.0118343195266
1984-03-26,41.5,41.625,40.875,41.125,496600,8.434738,-0.00903614457831
1984-03-27,40.875,41.0,40.625,40.625,21600,8.332188,-0.00611620795107
1984-03-28,41.0,41.375,41.0,41.375,365800,8.486013,0.00914634146341
1984-03-29,41.5,41.75,41.375,41.5,325000,8.511651,0.0
1984-03-30,41.5,41.5,40.875,41.0,48400,8.409101,-0.0120481927711
1984-04-02,41.0,41.625,41.0,41.0,251000,8.409101,0.0
1984-04-03,41.25,41.25,39.125,39.75,402200,8.152726,-0.0363636363636
1984-04-04,39.75,40.125,39.625,40.125,287400,8.229638,0.00943396226415
1984-04-05,40.125,40.125,39.0,39.0,149400,7.998901,-0.0280373831776
1984-04-06,38.75,39.125,38.5,39.125,270400,8.024538,0.00967741935484
1984-04-09,40.375,41.125,40.125,40.375,292200,8.280913,0.0
1984-04-10,40.5,41.0,40.375,40.5,98800,8.306551,0.0
1984-04-11,40.75,40.875,40.5,40.75,73000,8.357826,0.0
1984-04-12,40.75,40.75,40.0,40.5,129200,8.306551,-0.00613496932515
1984-04-13,40.75,41.0,40.0,40.125,57800,8.229638,-0.0153374233129
1984-04-16,39.5,40.0,39.25,39.5,64800,8.101451,0.0
1984-04-17,39.625,39.875,39.5,39.75,120200,8.152726,0.00315457413249
1984-04-18,39.875,40.25,39.75,40.25,53000,8.255276,0.00940438871473
1984-04-19,40.0,40.25,39.5,39.75,101600,8.152726,-0.00625
1984-04-23,39.875,39.875,39.25,39.25,168000,8.050176,-0.0156739811912
1984-04-24,39.25,39.375,38.875,38.875,179400,7.973263,-0.00955414012739
1984-04-25,38.875,40.25,38.875,39.0,292800,7.998901,0.0032154340836
1984-04-26,39.0,39.25,39.0,39.25,321200,8.050176,0.00641025641026
1984-04-27,39.375,40.0,39.25,39.875,66800,8.178363,0.0126984126984
1984-04-30,40.0,41.0,39.625,41.0,105800,8.409101,0.025
1984-05-01,41.0,41.5,40.625,41.375,120400,8.486013,0.00914634146341
1984-05-02,41.375,42.25,41.375,41.875,402400,8.588563,0.012084592145
1984-05-03,41.75,42.0,40.5,40.75,519200,8.357826,-0.0239520958084
1984-05-04,40.75,40.75,39.5,40.5,193400,8.306551,-0.00613496932515
1984-05-07,40.5,40.75,40.375,40.75,101800,8.357826,0.00617283950617
1984-05-08,40.75,41.25,40.75,41.25,73200,8.460376,0.0122699386503
1984-05-09,41.25,41.25,40.0,41.25,146000,8.460376,0.0
1984-05-10,41.25,41.25,40.25,40.75,145400,8.357826,-0.0121212121212
1984-05-11,40.5,40.5,39.5,39.625,234800,8.127088,-0.0216049382716
1984-05-14,38.875,38.875,38.0,38.0,821000,7.893402,-0.0225080385852
1984-05-15,38.0,38.0,37.5,37.625,333400,7.815506,-0.00986842105263
1984-05-16,37.5,37.75,37.25,37.375,867400,7.763576,-0.00333333333333
1984-05-17,37.25,38.0,37.125,38.0,581800,7.893402,0.0201342281879
1984-05-18,37.625,38.25,37.625,38.25,106600,7.945332,0.0166112956811
1984-05-21,38.5,38.875,36.5,38.25,183800,7.945332,-0.00649350649351
1984-05-22,38.25,39.0,38.0,38.5,224600,7.997262,0.00653594771242
1984-05-23,38.5,38.875,38.5,38.75,339800,8.049193,0.00649350649351
1984-05-24,38.75,38.875,37.75,38.125,227600,7.919367,-0.0161290322581
1984-05-25,37.875,38.625,37.875,38.25,100400,7.945332,0.00990099009901
1984-05-29,38.25,38.25,37.5,37.5,222400,7.789541,-0.0196078431373
1984-05-30,37.5,37.5,36.75,37.5,209000,7.789541,0.0
1984-05-31,37.25,37.25,36.75,36.75,255800,7.63375,-0.0134228187919
1984-06-01,36.75,37.25,36.75,37.0,150600,7.685681,0.00680272108844
1984-06-04,37.125,37.625,37.125,37.25,143400,7.737611,0.003367003367
1984-06-05,37.25,37.75,37.25,37.5,47200,7.789541,0.00671140939597
1984-06-06,37.5,38.0,37.25,37.875,138800,7.867437,0.01
1984-06-07,37.75,39.0,37.625,38.25,108200,7.945332,0.0132450331126
1984-06-08,38.125,38.75,37.0,38.75,81000,8.049193,0.016393442623
1984-06-11,37.375,37.75,36.75,37.0,73600,7.685681,-0.0100334448161
1984-06-12,37.0,37.375,36.875,37.0,51200,7.685681,0.0
1984-06-13,37.375,37.5,37.0,37.375,40000,7.763576,0.0
1984-06-14,37.5,37.75,36.75,37.25,96200,7.737611,-0.00666666666667
1984-06-15,37.5,38.25,37.5,37.75,62000,7.841471,0.00666666666667
1984-06-18,38.125,38.5,37.875,38.25,31600,7.945332,0.00327868852459
1984-06-19,38.25,39.125,38.25,39.125,131400,8.127088,0.0228758169935
1984-06-20,38.5,39.375,38.125,39.375,107200,8.179018,0.0227272727273
1984-06-21,39.5,39.625,38.375,39.25,48800,8.153053,-0.00632911392405
1984-06-22,39.25,39.375,38.5,39.0,257000,8.101123,-0.00636942675159
1984-06-25,39.25,39.25,38.5,38.875,87400,8.075158,-0.00955414012739
1984-06-26,38.875,38.875,37.75,38.0,192200,7.893402,-0.0225080385852
1984-06-27,38.125,38.5,38.125,38.25,45800,7.945332,0.00327868852459
1984-06-28,38.375,38.625,38.125,38.5,85200,7.997262,0.00325732899023
1984-06-29,38.75,39.5,38.75,39.125,38000,8.127088,0.00967741935484
1984-07-02,39.375,39.375,38.5,39.0,118800,8.101123,-0.00952380952381
1984-07-03,39.25,40.0,39.25,39.75,224800,8.256914,0.0127388535032
1984-07-05,39.875,39.875,38.75,38.75,44800,8.049193,-0.0282131661442
1984-07-06,38.75,39.125,38.5,39.0,33000,8.101123,0.00645161290323
1984-07-09,38.625,39.75,38.625,39.75,142800,8.256914,0.0291262135922
1984-07-10,39.75,39.75,38.5,38.75,169400,8.049193,-0.0251572327044
1984-07-11,38.75,39.375,38.625,39.25,371400,8.153053,0.0129032258065
1984-07-12,39.25,39.75,38.875,39.375,365600,8.179018,0.0031847133758
1984-07-13,39.625,39.625,39.0,39.625,145600,8.230949,0.0
1984-07-16,39.625,39.625,39.125,39.5,26400,8.204983,-0.00315457413249
1984-07-17,39.125,40.0,39.125,39.625,178400,8.230949,0.0127795527157
1984-07-18,39.625,39.75,39.25,39.375,75000,8.179018,-0.00630914826498
1984-07-19,39.25,39.5,39.0,39.0,136000,8.101123,-0.00636942675159
1984-07-20,39.0,39.375,39.0,39.375,23400,8.179018,0.00961538461538
1984-07-23,39.25,39.5,38.875,39.0,132800,8.101123,-0.00636942675159
1984-07-24,39.25,39.25,38.875,39.25,53200,8.153053,0.0
1984-07-25,39.125,40.0,38.75,39.875,135200,8.282879,0.0191693290735
1984-07-26,39.625,40.0,39.625,40.0,70600,8.308844,0.00946372239748
1984-07-27,40.625,42.25,40.5,42.0,164800,8.724286,0.0338461538462
1984-07-30,41.75,42.0,41.625,41.75,134800,8.672356,0.0
1984-07-31,42.0,42.25,41.125,41.625,117200,8.646391,-0.00892857142857
1984-08-01,41.75,42.0,41.75,41.875,100600,8.698321,0.00299401197605
1984-08-02,42.25,42.875,42.0,42.75,746000,8.880077,0.0118343195266
1984-08-03,44.25,45.5,42.75,44.25,575200,9.191659,0.0
1984-08-06,44.625,45.875,43.5,43.875,195600,9.113763,-0.0168067226891
1984-08-07,43.875,43.875,43.0,43.625,194600,9.061833,-0.00569800569801
1984-08-08,43.5,44.125,43.5,43.875,179000,9.113763,0.00862068965517
1984-08-09,44.0,44.25,43.625,44.125,343000,9.165694,0.00284090909091
1984-08-10,45.0,45.375,44.75,45.25,399000,9.39938,0.00555555555556
1984-08-13,45.0,45.0,44.25,44.75,63800,9.295519,-0.00555555555556
1984-08-14,45.0,45.0,44.5,44.5,28800,9.243589,-0.0111111111111
1984-08-15,44.5,44.625,43.25,43.5,32000,9.035868,-0.0224719101124
1984-08-16,43.5,43.875,43.375,43.875,46600,9.113763,0.00862068965517
1984-08-17,43.75,44.125,43.375,43.375,93600,9.009903,-0.00857142857143
1984-08-20,43.125,43.75,43.125,43.75,79000,9.087798,0.0144927536232
1984-08-21,43.5,44.25,43.0,43.75,88200,9.087798,0.00574712643678
1984-08-22,44.5,44.75,43.25,43.25,80200,8.983938,-0.0280898876404
1984-08-23,43.25,44.0,43.125,44.0,163800,9.139728,0.0173410404624
1984-08-24,43.75,44.25,43.75,44.0,55800,9.139728,0.00571428571429
1984-08-27,43.5,44.125,43.5,44.0,178400,9.244783,0.0114942528736
1984-08-28,44.5,44.625,44.125,44.125,147800,9.271046,-0.00842696629213
1984-08-29,44.25,44.5,44.0,44.25,139400,9.29731,0.0
1984-08-30,44.25,44.375,43.625,43.875,44000,9.218519,-0.00847457627119
1984-08-31,43.75,43.875,43.5,43.875,28400,9.218519,0.00285714285714
1984-09-04,43.25,43.75,42.875,43.25,120200,9.087201,0.0
1984-09-05,43.0,43.0,42.375,42.375,21000,8.903356,-0.0145348837209
1984-09-06,42.375,42.875,42.25,42.875,292800,9.00841,0.0117994100295
1984-09-07,42.75,43.0,42.25,42.25,21000,8.877092,-0.0116959064327
1984-09-10,42.5,42.75,42.25,42.5,57600,8.92962,0.0
1984-09-11,42.25,44.0,42.25,43.375,302800,9.113465,0.0266272189349
1984-09-12,43.375,43.375,42.5,42.75,81800,8.982147,-0.014409221902
1984-09-13,42.375,42.875,42.0,42.875,88400,9.00841,0.0117994100295
1984-09-14,43.5,43.75,43.25,43.375,207200,9.113465,-0.00287356321839
