Date,Open,High,Low,Close,Volume,Adj Close,Returns
2015-06-24,63.450001,63.450001,63.380001,63.380001,3300,61.209835,
2015-06-25,62.900002,62.900002,61.900002,61.900002,3700,59.780512,-0.0158982506869
2015-06-26,61.900002,61.900002,61.900002,61.900002,100,59.780512,0.0
2015-06-29,60.919998,60.919998,60.799999,60.799999,300,58.718174,-0.00196978010406
2015-06-30,61.330002,61.400002,60.330002,60.900002,1815500,58.814752,-0.00701125038281
2015-07-01,60.740002,62.400002,60.630001,62.400002,192400,60.263392,0.0273296006806
2015-07-02,63.0,65.0,62.400002,64.989998,1745000,62.764705,0.0315872698413
2015-07-06,65.120003,66.400002,62.990002,63.75,2092300,61.567165,-0.0210381286377
2015-07-07,63.91,63.990002,61.540001,62.470001,3053100,60.330994,-0.0225316695353
2015-07-08,62.5,63.900002,59.5,59.709999,3784300,57.665496,-0.044640016
2015-07-09,59.5,60.93,58.509998,59.509998,2284200,57.472344,0.000168033613445
2015-07-10,59.970001,61.599998,59.400002,61.400002,2237000,59.297632,0.0238452722387
2015-07-13,62.040001,62.25,61.610001,62.119999,1249000,59.992976,0.00128945839314
2015-07-14,62.099998,63.049999,61.439999,62.189999,994800,60.060579,0.00144929151205
2015-07-15,62.25,62.93,61.130001,61.619999,1209900,59.510097,-0.010120497992
2015-07-16,61.700001,63.68,61.535999,62.32,1365900,60.186129,0.010048605996
2015-07-17,62.619999,63.25,61.639999,61.75,1213200,59.635646,-0.0138933090689
2015-07-20,62.0,62.93,61.5,61.549999,1977000,59.442494,-0.00725808064516
2015-07-21,61.84,62.860001,59.619999,59.849998,1801000,57.800702,-0.032179851229
2015-07-22,60.349998,61.139999,59.57,60.139999,900100,58.080773,-0.00347968528516
2015-07-23,59.77,60.779999,59.349998,59.849998,1124700,57.800702,0.00133843065083
2015-07-24,59.549999,59.950001,57.66,58.91,1154600,56.892889,-0.0107472545885
2015-07-27,58.450001,59.419998,57.865002,58.189999,1255200,56.197541,-0.00444828050559
2015-07-28,58.52,59.75,57.490002,59.34,1636700,57.308166,0.014012303486
2015-07-29,58.880001,59.73,58.080002,59.389999,1790200,57.356454,0.00866165066811
2015-07-30,61.360001,63.189999,61.040001,62.830002,3530100,60.678668,0.023956991135
2015-07-31,61.5,63.75,61.16,63.060001,1624900,60.900793,0.0253658699187
2015-08-03,63.369999,64.739998,62.389999,63.169998,2128000,61.007023,-0.00315608336999
2015-08-04,62.25,63.450001,62.240002,62.57,703000,60.427569,0.005140562249
2015-08-05,63.290001,63.959999,62.220001,62.75,1499400,60.601406,-0.00853216924424
2015-08-06,62.0,62.5,60.48,61.740002,2536800,59.62599,-0.00419351612903
2015-08-07,61.68,62.610001,60.98,62.560001,2060900,60.417913,0.0142672016861
2015-08-10,62.990002,63.5,61.900002,62.98,1424100,61.19032,-0.000158787104023
2015-08-11,64.0,64.0,61.709999,63.400002,1726300,61.598387,-0.00937496875
2015-08-12,63.400002,63.869999,61.709999,63.310001,1389100,61.510944,-0.00141957408771
2015-08-13,63.259998,63.798,62.349998,63.130001,844300,61.336059,-0.00205496370708
2015-08-14,63.130001,63.810001,61.959,63.23,938700,61.433216,0.00158401708246
