Date,Open,High,Low,Close,Volume,Adj Close,Returns
1985-09-24,46.875,46.875,46.5,46.75,7500000,2.269738,
1985-09-25,46.625,46.875,46.625,46.875,6840000,2.275807,0.00536193029491
1985-09-26,45.625,45.75,44.875,45.125,26000,2.23276,-0.0109589041096
1985-09-30,45.125,45.5,45.0,45.5,94000,2.251315,0.00831024930748
1985-10-01,45.25,46.0,45.125,45.625,170800,2.2575,0.00828729281768
1985-10-02,45.375,46.125,45.375,45.75,122400,2.263685,0.00826446280992
1985-10-03,45.75,45.875,45.5,45.875,34400,2.26987,0.00273224043716
1985-10-04,45.625,46.0,45.5,46.0,149200,2.276055,0.00821917808219
1985-10-07,45.75,46.25,45.625,46.0,336400,2.276055,0.00546448087432
1985-10-08,45.875,46.375,45.875,46.0,24000,2.276055,0.00272479564033
1985-10-09,45.875,46.625,45.875,46.25,282000,2.288424,0.00817438692098
1985-10-10,46.0,46.5,46.0,46.25,36800,2.288424,0.0054347826087
1985-10-11,46.0,46.375,46.0,46.25,42400,2.288424,0.0054347826087
1985-10-14,46.125,46.5,46.0,46.5,47600,2.300794,0.00813008130081
1985-10-15,46.75,46.875,46.375,46.625,87600,2.306979,-0.00267379679144
1985-10-16,46.375,46.625,46.25,46.375,40400,2.294609,0.0
1985-10-17,46.25,46.75,46.25,46.5,38400,2.300794,0.00540540540541
1985-10-18,46.375,46.375,46.25,46.375,13600,2.294609,0.0
1985-10-21,46.625,46.75,46.625,46.625,94800,2.306979,0.0
1985-10-22,46.625,47.25,46.625,47.125,47600,2.331719,0.0107238605898
1985-10-23,46.875,47.75,46.875,47.5,56800,2.350274,0.0133333333333
1985-10-24,47.25,47.375,46.75,46.875,200000,2.319349,-0.00793650793651
1985-10-25,47.125,48.0,47.0,47.75,136800,2.362644,0.0132625994695
1985-10-28,47.75,47.75,47.0,47.5,266800,2.350274,-0.00523560209424
1985-10-29,47.25,47.75,47.0,47.625,96800,2.356459,0.00793650793651
1985-10-30,47.375,47.75,47.25,47.375,91600,2.344089,0.0
1985-10-31,47.5,48.0,47.25,47.875,321200,2.368829,0.00789473684211
1985-11-01,47.625,48.875,47.625,48.375,295200,2.393568,0.0157480314961
1985-11-04,48.625,48.875,48.125,48.375,225200,2.393568,-0.00514138817481
