Date,Open,High,Low,Close,Volume,Adj Close,Returns
1991-04-25,17.00004,17.75004,17.00004,17.625,208800,1.285743,
1991-04-26,17.625,18.24996,17.25,18.12504,453600,1.322221,0.0283710638298
1991-04-29,18.12504,18.99996,18.0,18.0,369600,1.313099,-0.00689874339588
1991-04-30,18.0,18.0,17.00004,17.75004,320400,1.294865,-0.0138866666667
1991-05-01,17.75004,17.75004,17.00004,17.25,14400,1.258387,-0.0281712041212
1991-05-02,17.25,17.49996,17.25,17.49996,314400,1.276621,0.0144904347826
1991-05-03,17.49996,17.75004,17.25,17.25,235200,1.258387,-0.0142834612193
1991-05-06,17.25,17.75004,17.25,17.37504,196800,1.267508,0.00724869565217
1991-05-07,17.37504,17.75004,17.00004,17.00004,115200,1.240152,-0.0215826841262
1991-05-08,17.00004,17.75004,17.00004,17.75004,16800,1.294865,0.0441175432528
1991-05-09,17.75004,17.75004,17.00004,17.00004,130800,1.240152,-0.0422534259078
1991-05-10,17.00004,17.75004,17.00004,17.00004,30000,1.240152,0.0
1991-05-13,17.00004,17.49996,17.00004,17.49996,20400,1.276621,0.0294069896306
1991-05-14,17.00004,17.00004,16.5,16.5,64800,1.203674,-0.0294140484375
1991-05-15,16.5,17.25,16.5,16.5,159600,1.203674,0.0
1991-05-16,16.5,17.25,16.5,16.62504,122400,1.212796,0.00757818181818
1991-05-17,16.62504,17.00004,16.5,16.875,157200,1.23103,0.0150351517951
1991-05-20,16.875,17.25,16.74996,17.25,45600,1.258387,0.0222222222222
1991-05-21,17.25,17.25,16.5,16.5,63600,1.203674,-0.0434782608696
1991-05-22,16.5,17.00004,16.5,16.5,32400,1.203674,0.0
1991-05-23,16.5,17.25,16.5,16.74996,38400,1.221909,0.0151490909091
1991-05-24,16.74996,17.25,16.5,17.25,234000,1.258387,0.0298532056196
1991-05-28,17.25,17.75004,17.00004,17.37504,283200,1.267508,0.00724869565217
1991-05-29,17.37504,18.99996,17.25,18.50004,666000,1.349577,0.0647480523786
1991-05-30,18.50004,18.99996,18.24996,18.99996,57600,1.386046,0.0270226442754
1991-05-31,18.75,18.75,18.24996,18.24996,39600,1.331334,-0.0266688
1991-06-03,18.24996,18.50004,17.75004,17.87496,379200,1.303977,-0.0205479902422
1991-06-04,17.87496,18.24996,17.75004,17.87496,34800,1.303977,0.0
1991-06-05,17.87496,18.24996,17.75004,18.24996,10800,1.331334,0.0209790679252
1991-06-06,18.24996,18.24996,17.75004,18.0,16800,1.313099,-0.0136964683758
1991-06-07,18.0,18.24996,17.75004,17.87496,50400,1.303977,-0.00694666666667
1991-06-10,17.87496,18.24996,17.75004,17.75004,19200,1.294865,-0.00698854710724
1991-06-11,17.75004,18.24996,17.75004,17.75004,57600,1.294865,0.0
1991-06-12,17.75004,18.24996,17.75004,17.87496,358800,1.303977,0.0070377306192
1991-06-13,17.87496,17.87496,17.75004,17.75004,30000,1.294865,-0.00698854710724
1991-06-14,17.75004,18.24996,17.75004,18.24996,74400,1.331334,0.0281644435731
1991-06-17,18.24996,18.24996,18.24996,18.24996,1200,1.331334,0.0
1991-06-18,18.24996,18.24996,18.24996,18.24996,0,1.331334,0.0
1991-06-19,18.12504,18.12504,17.49996,17.75004,123600,1.294865,-0.0206896095126
1991-06-20,17.75004,18.0,17.49996,17.49996,48000,1.276621,-0.0140889823347
1991-06-21,17.49996,17.49996,17.00004,17.00004,135600,1.240152,-0.0285669224387
1991-06-24,17.00004,17.25,15.99996,16.62504,154800,1.212796,-0.0220587716264
1991-06-25,16.74996,16.74996,16.74996,16.74996,13200,1.221909,0.0
1991-06-26,16.74996,17.00004,16.25004,16.5,86400,1.203674,-0.0149230207117
1991-06-27,16.5,17.00004,15.99996,16.25004,32400,1.18544,-0.0151490909091
1991-06-28,16.25004,17.00004,15.99996,15.99996,97200,1.167196,-0.0153895005797
1991-07-01,16.25004,17.00004,16.25004,17.00004,492000,1.240152,0.0461537325447
1991-07-02,17.00004,17.00004,17.00004,17.00004,4800,1.240152,0.0
1991-07-03,17.00004,17.00004,16.5,17.00004,6000,1.240152,0.0
1991-07-05,17.00004,17.00004,17.00004,17.00004,0,1.240152,0.0
1991-07-08,16.74996,16.74996,16.74996,16.74996,6000,1.221909,0.0
1991-07-09,16.74996,16.74996,16.74996,16.74996,0,1.221909,0.0
1991-07-10,17.00004,17.75004,17.00004,17.25,176400,1.258387,0.0147034948153
1991-07-11,17.25,17.75004,17.25,17.625,18000,1.285743,0.0217391304348
1991-07-12,17.25,17.25,17.25,17.25,19200,1.258387,0.0
1991-07-15,17.25,18.0,17.25,17.25,52800,1.258387,0.0
1991-07-16,17.25,18.0,17.25,17.75004,38400,1.294865,0.028987826087
1991-07-17,17.75004,18.24996,17.25,18.24996,210000,1.331334,0.0281644435731
1991-07-18,18.24996,18.50004,17.75004,18.24996,842400,1.331334,0.0
1991-07-19,18.24996,18.99996,17.75004,18.99996,86400,1.386046,0.0410959804843
1991-07-22,18.99996,19.25004,18.50004,18.75,247200,1.367812,-0.0131558171701
1991-07-23,18.75,19.25004,18.75,19.25004,165600,1.404289,0.0266688
1991-07-24,19.25004,20.49996,18.75,19.74996,127200,1.440759,0.0259698161666
1991-07-25,19.74996,20.49996,19.74996,20.00004,230400,1.459002,0.0126623041262
1991-07-26,20.00004,20.49996,19.5,19.5,177600,1.422524,-0.0250019499961
1991-07-29,19.5,20.25,19.5,20.25,132000,1.477237,0.0384615384615
1991-07-30,20.25,20.25,19.74996,20.25,55200,1.477237,0.0
1991-07-31,20.25,20.25,19.74996,20.25,85200,1.477237,0.0
1991-08-01,20.25,20.25,19.74996,19.74996,1033200,1.440759,-0.0246933333333
