Date,Open,High,Low,Close,Volume,Adj Close,Returns
1990-03-26,27.25,27.75,27.25,27.75,21600,2.14245,
1990-03-27,27.75,27.75,27.75,27.75,0,2.170609,0.0
1990-03-28,27.75,28.0,27.25,27.75,46400,2.170609,0.0
1990-03-29,28.0,28.0,27.75,27.75,26400,2.170609,-0.00892857142857
1990-03-30,27.25,27.25,27.25,27.25,800,2.131499,0.0
1990-04-02,27.87504,27.87504,27.75,27.75,72000,2.170609,-0.00448573347339
1990-04-03,27.75,27.75,27.75,27.75,0,2.170609,0.0
1990-04-04,28.5,28.5,27.5,27.5,65600,2.151054,-0.0350877192982
1990-04-05,28.0,28.0,27.5,27.5,98400,2.151054,-0.0178571428571
1990-04-06,27.5,27.5,27.0,27.0,285600,2.111944,-0.0181818181818
1990-04-09,27.0,27.0,27.0,27.0,10400,2.111944,0.0
1990-04-10,27.5,27.5,27.0,27.0,6400,2.111944,-0.0181818181818
1990-04-11,27.5,27.75,27.0,27.75,171200,2.170609,0.00909090909091
1990-04-12,27.5,28.0,27.5,27.5,53600,2.151054,0.0
1990-04-16,27.5,27.87504,27.5,27.75,33600,2.170609,0.00909090909091
1990-04-17,27.5,27.75,27.5,27.5,72000,2.151054,0.0
1990-04-18,28.0,28.12496,27.5,28.0,258400,2.190164,0.0
1990-04-19,28.0,28.0,27.5,27.87504,441600,2.180389,-0.00446285714286
1990-04-20,28.0,28.0,27.25,27.5,124800,2.151054,-0.0178571428571
1990-04-23,27.25,27.75,27.25,27.75,18400,2.170609,0.0183486238532
1990-04-24,27.62496,27.62496,27.5,27.5,16000,2.151054,-0.00452344546381
1990-04-25,27.75,27.75,27.5,27.62496,1924800,2.160828,-0.00450594594595
1990-04-26,29.0,29.0,29.0,29.0,1600,2.268384,0.0
1990-04-27,27.75,29.0,27.75,28.25,20000,2.209719,0.018018018018
1990-04-30,29.0,29.5,29.0,29.5,20000,2.307494,0.0172413793103
1990-05-01,28.25,29.75,28.25,29.25,132000,2.287939,0.0353982300885
1990-05-02,29.75,30.25,29.5,30.25,87200,2.366159,0.0168067226891
1990-05-03,29.5,30.25,29.0,29.0,160000,2.268384,-0.0169491525424
1990-05-04,30.0,30.0,29.0,29.12496,72800,2.278158,-0.029168
1990-05-07,29.0,29.12496,29.0,29.12496,7200,2.278158,0.00430896551724
1990-05-08,29.0,29.0,29.0,29.0,56800,2.268384,0.0
1990-05-09,29.0,29.25,28.0,28.75,29600,2.248829,-0.00862068965517
1990-05-10,28.0,28.37504,28.0,28.37504,139200,2.2195,0.0133942857143
1990-05-11,28.37504,28.5,28.0,28.37504,38400,2.2195,0.0
1990-05-14,28.37504,29.25,28.0,29.25,30400,2.287939,0.030835551245
1990-05-15,28.0,29.25,28.0,28.25,21600,2.209719,0.00892857142857
1990-05-16,28.25,28.5,28.25,28.5,45600,2.229274,0.00884955752212
1990-05-17,28.25,28.62496,28.25,28.5,115200,2.229274,0.00884955752212
1990-05-18,28.25,28.87504,28.25,28.25,20000,2.209719,0.0
1990-05-21,28.25,28.5,28.25,28.25,12800,2.209719,0.0
1990-05-22,29.0,29.0,28.5,28.5,12000,2.229274,-0.0172413793103
1990-05-23,28.5,28.5,28.5,28.5,1600,2.229274,0.0
1990-05-24,28.5,28.5,28.5,28.5,8800,2.229274,0.0
1990-05-25,28.5,28.5,28.5,28.5,800,2.229274,0.0
1990-05-29,28.5,28.5,28.5,28.5,4000,2.229274,0.0
1990-05-30,28.5,29.0,28.5,28.62496,56000,2.239048,0.00438456140351
1990-05-31,29.12496,29.5,28.87504,29.5,21600,2.307494,0.0128769275563
1990-06-01,28.5,28.5,28.5,28.5,16000,2.229274,0.0
1990-06-04,28.5,28.5,28.5,28.5,11200,2.229274,0.0
1990-06-05,28.5,28.87504,28.5,28.75,25600,2.248829,0.00877192982456
